# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 29.2994
100 29.3282
200 29.3557
300 29.397
400 29.4214
500 29.4342
600 29.4662
700 29.5014
800 29.5095
900 29.5186
1000 29.5225
1100 29.5529
1200 29.5704
1300 29.6125
1400 29.6448
1500 29.6817
1600 29.7006
1700 29.7084
1800 29.7488
1900 29.7652
2000 29.7963
2100 29.8135
2200 29.8432
2300 29.8458
2400 29.8526
2500 29.8658
2600 29.8821
2700 29.9071
2800 29.9389
2900 29.9871
3000 30.0291
3100 30.0605
3200 30.0753
3300 30.0939
3400 30.1106
3500 30.1246
3600 30.1532
3700 30.1911
3800 30.2192
3900 30.2487
4000 30.2779
4100 30.2981
4200 30.3179
4300 30.3157
4400 30.336
4500 30.3478
4600 30.3839
4700 30.4221
4800 30.4395
4900 30.4433
5000 30.4562
5100 30.4664
5200 30.4834
5300 30.5007
5400 30.5033
5500 30.5261
5600 30.5457
5700 30.5554
5800 30.5684
5900 30.6008
6000 30.6151
6100 30.6246
6200 30.6305
6300 30.6248
6400 30.6467
6500 30.6611
6600 30.6671
6700 30.6968
6800 30.6991
6900 30.7026
7000 30.7042
7100 30.7401
7200 30.78
7300 30.821
7400 30.8411
7500 30.8583
7600 30.8903
7700 30.9002
7800 30.9137
7900 30.907
8000 30.913
8100 30.9515
8200 30.9711
8300 31.0034
8400 31.0232
8500 31.0293
8600 31.0386
8700 31.0434
8800 31.0688
8900 31.1136
9000 31.1558
9100 31.1808
9200 31.1958
9300 31.2209
9400 31.256
9500 31.2983
9600 31.3214
9700 31.3469
9800 31.3765
9900 31.416
10000 31.4561
10100 31.4658
10200 31.4681
10300 31.4653
10400 31.456
10500 31.46
10600 31.4798
10700 31.5137
10800 31.5459
10900 31.5923
11000 31.6263
11100 31.6582
11200 31.6767
11300 31.69
11400 31.6977
11500 31.6988
11600 31.7172
11700 31.7372
11800 31.7613
11900 31.7947
12000 31.8026
12100 31.8323
12200 31.8691
12300 31.9007
12400 31.9128
12500 31.933
12600 31.9495
12700 31.9789
12800 31.9976
12900 32.0006
13000 32.0028
13100 31.9936
13200 31.9973
13300 32.011
13400 32.0149
13500 32.0388
13600 32.0446
13700 32.0457
13800 32.0661
13900 32.0713
14000 32.0856
14100 32.1162
14200 32.1259
14300 32.107
14400 32.0911
14500 32.0852
14600 32.1089
14700 32.1676
14800 32.172
14900 32.1641
15000 32.1551
15100 32.1673
15200 32.183
15300 32.1772
15400 32.189
15500 32.1874
15600 32.1941
15700 32.1951
15800 32.1904
15900 32.2037
16000 32.2107
16100 32.2234
16200 32.2301
16300 32.2428
16400 32.2526
16500 32.2588
16600 32.2592
16700 32.2849
16800 32.3196
16900 32.3362
17000 32.3606
17100 32.371
17200 32.3829
17300 32.4099
17400 32.4386
17500 32.453
17600 32.4808
17700 32.4987
17800 32.5262
17900 32.538
18000 32.5449
18100 32.5579
18200 32.5633
18300 32.5533
18400 32.5712
18500 32.5839
18600 32.5892
18700 32.5937
18800 32.5808
18900 32.5699
19000 32.5692
19100 32.5737
19200 32.5987
19300 32.6058
19400 32.622
19500 32.653
19600 32.6823
19700 32.7076
19800 32.7211
19900 32.7404
20000 32.7337
20100 32.7356
20200 32.7602
20300 32.7659
20400 32.7525
20500 32.7626
20600 32.7966
20700 32.8269
20800 32.858
20900 32.8553
21000 32.8341
21100 32.8196
21200 32.8218
21300 32.8383
21400 32.8497
21500 32.8537
21600 32.8566
21700 32.8656
21800 32.8891
21900 32.9014
22000 32.911
22100 32.9359
22200 32.9448
22300 32.9409
22400 32.9475
22500 32.9668
22600 32.9778
22700 32.972
22800 32.9897
22900 33.0011
23000 33.0212
23100 33.0429
23200 33.0527
23300 33.0674
23400 33.0977
23500 33.1122
23600 33.1097
23700 33.1203
23800 33.1311
23900 33.1404
24000 33.145
24100 33.1457
24200 33.1468
24300 33.1512
24400 33.1627
24500 33.1713
24600 33.1763
24700 33.1836
24800 33.1878
24900 33.2111
25000 33.2473
25100 33.2744
25200 33.2946
25300 33.3223
25400 33.3501
25500 33.3824
25600 33.4104
25700 33.4127
25800 33.4156
25900 33.4107
26000 33.416
26100 33.4317
26200 33.4482
26300 33.4503
26400 33.4637
26500 33.4733
26600 33.4938
26700 33.5051
26800 33.5273
26900 33.5377
27000 33.5505
27100 33.5666
27200 33.5682
27300 33.5597
27400 33.564
27500 33.5993
27600 33.6145
27700 33.6342
27800 33.6461
27900 33.6502
28000 33.6613
28100 33.6684
28200 33.6663
28300 33.6763
28400 33.7006
28500 33.7085
28600 33.754
28700 33.7712
28800 33.8109
28900 33.8404
29000 33.8515
29100 33.8688
29200 33.8694
29300 33.8791
29400 33.9046
29500 33.9226
29600 33.9306
29700 33.9266
29800 33.9335
29900 33.9506
30000 33.9452
30100 33.9387
30200 33.9343
30300 33.9292
30400 33.9444
30500 33.9631
30600 33.9587
30700 33.9804
30800 34.0164
30900 34.0404
31000 34.0498
31100 34.0691
31200 34.0948
31300 34.1009
31400 34.1034
31500 34.1115
31600 34.1167
31700 34.125
31800 34.1256
31900 34.137
32000 34.1249
32100 34.1259
32200 34.1226
32300 34.1284
32400 34.1405
32500 34.1644
32600 34.1928
32700 34.2002
32800 34.2084
32900 34.222
33000 34.229
33100 34.2362
33200 34.2411
33300 34.2522
33400 34.2574
33500 34.2708
33600 34.2645
33700 34.2894
33800 34.3118
33900 34.3069
34000 34.315
34100 34.3333
34200 34.3291
34300 34.3263
34400 34.3306
34500 34.3388
34600 34.3533
34700 34.3708
34800 34.4029
34900 34.4263
35000 34.4463
35100 34.4688
35200 34.4844
35300 34.4952
35400 34.4941
35500 34.5128
35600 34.5391
35700 34.5618
35800 34.582
35900 34.6003
36000 34.6193
36100 34.6322
36200 34.654
36300 34.679
36400 34.7144
36500 34.7558
36600 34.785
36700 34.8054
36800 34.8196
36900 34.8207
37000 34.8437
37100 34.8495
37200 34.8492
37300 34.8549
37400 34.8852
37500 34.8846
37600 34.8972
37700 34.9109
37800 34.93
37900 34.9271
38000 34.9253
38100 34.9342
38200 34.948
38300 34.9731
38400 35.0089
38500 35.031
38600 35.0316
38700 35.0572
38800 35.0763
38900 35.108
39000 35.1205
39100 35.1286
39200 35.1497
39300 35.1728
39400 35.1929
39500 35.2073
39600 35.2349
39700 35.251
39800 35.2514
39900 35.2555
40000 35.2586
40100 35.2655
40200 35.2837
40300 35.297
40400 35.3118
40500 35.3247
40600 35.3359
40700 35.3476
40800 35.3565
40900 35.362
41000 35.3682
41100 35.3622
41200 35.3742
41300 35.3823
41400 35.3989
41500 35.4199
41600 35.4448
41700 35.455
41800 35.4543
41900 35.4713
42000 35.4604
42100 35.4762
42200 35.4853
42300 35.5025
