# Time-averaged data for fix rg_avg_A
# TimeStep c_rg_A
0 25.0479
100 25.0608
200 25.0684
300 25.0813
400 25.0874
500 25.106
600 25.1017
700 25.0911
800 25.074
900 25.077
1000 25.0832
1100 25.1075
1200 25.0923
1300 25.1046
1400 25.1056
1500 25.1014
1600 25.1079
1700 25.1175
1800 25.1135
1900 25.0977
2000 25.0762
2100 25.0636
2200 25.0389
2300 25.0315
2400 25.0335
2500 25.0346
2600 25.0283
2700 24.9846
2800 24.949
2900 24.9399
3000 24.9262
3100 24.9111
3200 24.9001
3300 24.9211
3400 24.9377
3500 24.9552
3600 24.9724
3700 24.9508
3800 24.9048
3900 24.892
4000 24.8865
4100 24.8758
4200 24.8657
4300 24.8456
4400 24.8449
4500 24.8599
4600 24.8784
4700 24.8723
4800 24.8574
4900 24.8424
5000 24.7985
5100 24.7786
5200 24.7822
5300 24.8024
5400 24.8386
5500 24.8861
5600 24.9032
5700 24.929
5800 24.9333
5900 24.9313
6000 24.9394
6100 24.9356
6200 24.9078
6300 24.9324
6400 24.931
6500 24.9521
6600 24.9309
6700 24.9438
6800 24.9423
6900 24.9268
7000 24.9354
7100 24.9298
7200 24.9322
7300 24.9447
7400 24.9265
7500 24.9411
7600 24.9466
7700 24.9208
7800 24.9315
7900 24.9391
8000 24.9425
8100 24.9501
8200 24.9708
8300 24.9865
8400 24.9727
8500 24.9808
8600 24.9895
8700 25.0151
8800 25.0433
8900 25.0457
9000 25.0544
9100 25.0316
9200 25.0091
9300 24.9913
9400 24.9848
9500 24.9552
9600 24.9469
9700 24.9469
9800 24.9593
9900 24.977
10000 24.9505
10100 24.9346
10200 24.92
10300 24.9176
10400 24.9154
10500 24.8916
10600 24.8515
10700 24.8188
10800 24.8024
10900 24.788
11000 24.7637
11100 24.7502
11200 24.7462
11300 24.7517
11400 24.7592
11500 24.7417
11600 24.7316
11700 24.7138
11800 24.675
11900 24.6352
12000 24.6187
12100 24.5943
12200 24.5564
12300 24.5141
12400 24.4714
12500 24.4437
12600 24.4308
12700 24.427
12800 24.4534
12900 24.4693
13000 24.4743
13100 24.4761
13200 24.4635
13300 24.4577
13400 24.4654
13500 24.4533
13600 24.4739
13700 24.4721
13800 24.4582
13900 24.4508
14000 24.4586
14100 24.4612
14200 24.4748
14300 24.4846
14400 24.4817
14500 24.4984
14600 24.5046
14700 24.4979
14800 24.4856
14900 24.4867
15000 24.5011
15100 24.4986
15200 24.502
15300 24.5058
15400 24.5075
15500 24.5159
15600 24.5138
15700 24.4901
15800 24.4833
15900 24.479
16000 24.4563
16100 24.4483
16200 24.4346
16300 24.4113
16400 24.3816
16500 24.3484
16600 24.3425
16700 24.3615
16800 24.3658
16900 24.363
17000 24.3325
17100 24.3264
17200 24.3436
17300 24.3509
17400 24.338
17500 24.3378
17600 24.3419
17700 24.3244
17800 24.3061
17900 24.3141
18000 24.3304
18100 24.3586
18200 24.3554
18300 24.3692
18400 24.3553
18500 24.3735
18600 24.3761
18700 24.3808
18800 24.4171
18900 24.4159
19000 24.417
19100 24.3814
19200 24.3469
19300 24.3253
19400 24.3032
