# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
0 5.70741e-29
100 0.234029
200 0.5366
300 0.851547
400 1.13981
500 1.39055
600 1.63035
700 1.82627
800 2.02064
900 2.22999
1000 2.42076
1100 2.6242
1200 2.80186
1300 2.87225
1400 3.00069
1500 3.16459
1600 3.23412
1700 3.41044
1800 3.53323
1900 3.71496
2000 3.87838
2100 3.96789
2200 4.10043
2300 4.18872
2400 4.27777
2500 4.4156
2600 4.54586
2700 4.67105
2800 4.74946
2900 4.85467
3000 4.94599
3100 5.07188
3200 5.13944
3300 5.2812
3400 5.43596
3500 5.5872
3600 5.83015
3700 5.86428
3800 5.81164
3900 5.81866
4000 5.74699
4100 5.72461
4200 5.84464
4300 5.96587
4400 6.11116
4500 6.21401
4600 6.30623
4700 6.42953
4800 6.65468
4900 6.80773
5000 6.85488
5100 6.999
5200 7.04247
5300 7.12264
5400 7.19253
5500 7.29738
5600 7.4717
5700 7.7144
5800 7.74707
5900 7.69261
6000 7.67053
6100 7.70703
6200 7.79208
6300 7.77246
6400 7.63157
6500 7.62646
6600 7.76886
6700 7.95167
6800 8.16335
6900 8.34668
7000 8.53293
7100 8.79646
7200 8.91014
7300 9.00772
7400 9.01835
7500 8.91432
7600 8.85387
7700 8.745
7800 8.89115
7900 8.95622
8000 9.02798
8100 9.07623
8200 9.18031
8300 9.32527
8400 9.48368
8500 9.57857
8600 9.72636
8700 10.0414
8800 10.2589
8900 10.413
9000 10.5378
9100 10.7154
9200 10.6936
9300 10.7523
9400 10.7637
9500 10.8937
9600 11.0141
9700 11.1985
9800 11.338
9900 11.4155
10000 11.375
10100 11.6037
10200 11.8994
10300 12.2554
10400 12.688
10500 12.8163
10600 12.7499
10700 12.6511
10800 12.849
10900 12.9081
11000 12.848
11100 12.97
11200 12.9906
11300 13.1729
11400 13.2059
11500 13.2445
11600 13.3289
11700 13.4681
11800 13.5966
11900 13.459
12000 13.3144
12100 13.3953
12200 13.3706
12300 13.3793
12400 13.4831
12500 13.5919
12600 13.8096
12700 13.9121
12800 13.841
12900 13.9518
13000 14.2255
13100 14.3151
13200 14.3908
13300 14.4489
13400 14.5043
13500 14.7698
13600 14.8836
13700 14.9981
13800 15.2139
13900 15.3684
14000 15.2318
14100 15.188
14200 15.2389
14300 15.4075
14400 15.5163
14500 15.7959
14600 15.8652
14700 15.9687
14800 16.015
14900 16.145
15000 16.1288
15100 16.1264
15200 16.1414
15300 16.3301
15400 16.407
15500 16.5334
15600 16.7292
15700 16.9348
15800 17.0754
15900 17.2788
16000 17.4386
16100 17.505
16200 17.7322
16300 17.9847
16400 18.1156
16500 18.1575
16600 18.2154
16700 18.4228
16800 18.7304
16900 18.9722
17000 19.2408
17100 19.5779
17200 19.7196
17300 19.6715
17400 19.7696
17500 19.8057
17600 19.7747
17700 19.9052
17800 20.2203
17900 20.5468
18000 20.9745
18100 21.4297
18200 21.6822
18300 21.7986
18400 22.0127
18500 22.2071
18600 22.4
18700 22.6095
18800 22.8773
18900 23.0767
19000 23.3448
19100 23.5776
19200 23.8525
19300 24.1387
19400 24.2793
19500 24.3495
19600 24.4995
19700 24.7381
19800 24.6563
19900 24.5964
20000 24.6899
20100 24.8206
20200 25.0115
20300 25.1452
20400 25.5564
20500 25.702
20600 25.733
20700 25.7051
20800 25.8889
20900 26.1702
21000 26.2916
21100 26.4639
21200 26.5165
21300 26.6061
21400 26.9868
21500 27.1267
21600 27.0811
21700 27.1691
21800 27.3847
21900 27.6518
22000 27.6861
22100 27.7126
22200 27.8531
22300 28.1806
22400 28.204
22500 28.2761
22600 28.3977
22700 28.5633
22800 28.49
22900 28.6837
23000 28.9246
23100 29.2912
23200 29.5218
23300 29.6391
23400 29.5799
23500 29.901
23600 30.0353
23700 29.994
23800 30.0627
23900 29.9814
24000 29.8783
24100 29.8538
24200 30.0789
24300 30.3045
24400 30.3226
24500 30.2395
24600 30.4206
24700 30.7041
24800 30.7306
24900 30.3425
25000 30.216
25100 30.4936
25200 30.5716
25300 30.5005
25400 30.6478
25500 30.6751
25600 31.141
25700 31.3099
25800 31.5792
25900 31.9571
26000 32.3412
26100 32.4379
26200 32.5287
26300 32.8278
26400 32.9698
26500 32.9046
26600 33.1615
26700 33.3122
26800 33.3031
26900 33.4336
27000 33.4583
27100 33.7385
27200 34.0136
27300 34.4084
27400 34.7658
27500 34.8402
27600 35.1016
27700 35.5047
27800 35.5048
27900 35.5411
28000 35.4898
28100 35.3531
28200 35.189
28300 35.1152
28400 35.146
28500 35.3338
28600 35.8309
28700 36.0123
28800 35.9001
28900 35.8408
29000 35.9999
29100 36.0597
29200 36.2331
29300 36.4749
29400 36.7807
29500 36.9593
29600 36.925
29700 37.107
29800 37.2666
29900 37.2212
30000 37.2949
30100 37.2087
30200 37.2197
30300 37.3912
30400 37.3856
30500 37.6546
30600 37.9187
30700 37.674
30800 37.6015
30900 37.5587
31000 37.4465
31100 37.0696
31200 36.788
31300 36.6235
31400 36.7666
31500 36.8458
31600 36.9026
31700 36.8708
31800 36.9412
31900 36.9145
32000 36.8393
32100 36.5877
32200 36.7921
32300 36.9062
32400 36.7454
32500 36.7189
32600 36.7493
32700 36.7488
32800 36.7944
32900 36.8038
33000 36.8155
33100 36.9232
33200 36.8905
33300 36.8576
33400 37.0256
33500 37.1381
33600 37.1182
33700 37.0584
33800 37.3279
33900 37.4027
34000 37.402
34100 37.2686
34200 37.0229
34300 36.762
34400 37.0194
34500 37.163
34600 37.0633
34700 37.1352
34800 36.9598
34900 37.011
35000 37.1134
35100 37.2072
35200 37.353
35300 37.6302
35400 37.9165
35500 37.9
35600 37.7853
35700 37.6156
35800 37.4562
35900 37.4414
36000 37.375
36100 37.165
36200 37.0722
36300 36.9213
36400 36.9373
36500 37.0647
36600 37.2076
36700 37.3959
36800 37.5148
36900 37.5188
37000 37.535
37100 37.3739
37200 37.4023
37300 37.5265
37400 37.9622
37500 38.1766
37600 38.2647
37700 38.5688
37800 38.6247
37900 38.7702
38000 38.9896
38100 38.9135
38200 39.0975
38300 39.422
38400 39.7505
38500 39.9335
38600 40.0316
38700 40.4595
38800 40.8204
38900 41.1066
39000 41.2292
39100 41.282
39200 41.2003
39300 41.2975
39400 41.3859
39500 41.656
39600 41.8225
39700 41.9827
39800 42.0699
39900 42.4221
40000 42.5558
40100 42.813
40200 42.7769
40300 42.9439
40400 42.8289
40500 42.7567
40600 43.0391
40700 43.3727
40800 43.7636
40900 44.0156
41000 44.0389
41100 44.0769
41200 44.213
41300 44.4659
41400 44.7271
41500 44.9663
41600 44.8508
41700 44.6492
41800 44.5368
41900 44.9044
42000 45.3295
42100 45.4093
42200 45.5867
42300 45.6715
42400 45.7391
42500 45.904
42600 46.253
42700 46.5192
42800 46.7421
42900 46.7738
43000 47.0017
43100 47.0539
43200 47.0483
43300 47.1266
43400 47.1858
43500 47.596
43600 47.8798
43700 47.9193
43800 48.4054
43900 48.8076
44000 48.7349
44100 48.7936
44200 49.0658
44300 49.1262
44400 49.138
44500 49.3576
44600 49.4906
44700 49.4113
44800 49.332
44900 49.4105
45000 49.3431
45100 49.4041
45200 49.5082
45300 49.6637
45400 49.8253
45500 50.0387
45600 50.2291
45700 50.2515
45800 50.3719
45900 50.6626
46000 50.5817
46100 50.7215
46200 50.6438
46300 50.2861
46400 50.5559
46500 50.924
46600 50.9015
46700 51.3195
46800 51.6027
46900 51.9883
47000 52.3055
47100 52.1908
47200 51.9736
47300 51.6713
47400 51.7321
47500 52.1431
47600 52.3208
47700 52.6835
47800 52.7552
47900 52.8571
48000 53.2731
48100 53.4224
48200 53.2217
48300 53.1166
48400 53.3253
48500 53.2361
48600 53.336
48700 53.8071
48800 53.928
48900 53.9643
49000 53.9798
49100 54.5019
49200 54.873
49300 55.0722
49400 55.0079
49500 54.7255
49600 54.8359
49700 54.9378
49800 55.1058
49900 55.1058
50000 55.2685
50100 55.5778
50200 55.8948
50300 56.0893
50400 56.441
50500 56.8138
50600 56.9831
50700 57.0293
50800 57.2449
50900 57.5121
51000 57.6518
51100 57.987
51200 58.0563
51300 58.2197
51400 58.4196
51500 58.3419
51600 57.9001
51700 57.5688
51800 57.6496
51900 57.8693
52000 57.9076
52100 57.5464
52200 57.2254
52300 57.5636
52400 57.8264
52500 57.9143
52600 57.9475
52700 58.1696
52800 58.1314
52900 57.9129
53000 57.9657
53100 57.876
53200 57.8203
53300 57.7741
53400 57.6632
53500 57.6162
53600 57.6452
53700 57.791
53800 57.8324
53900 57.7843
54000 57.2015
54100 57.254
54200 57.5701
54300 57.7834
54400 57.726
54500 57.7738
54600 57.5465
54700 57.7904
54800 58.0748
54900 58.4836
55000 58.3632
55100 58.3429
55200 58.3131
55300 58.3721
55400 58.4428
55500 58.4325
55600 58.4522
55700 58.367
55800 58.3213
55900 58.6746
56000 59.2483
56100 59.2636
56200 59.2534
56300 59.3429
56400 59.297
56500 59.6362
56600 60.1339
56700 60.5556
56800 61.0411
56900 60.9998
57000 60.9092
57100 60.5863
57200 60.3976
57300 60.3921
57400 60.3854
57500 60.3486
57600 60.3168
57700 60.6628
57800 60.8785
57900 60.8826
58000 61.0051
58100 61.0277
58200 61.0612
58300 60.9342
58400 60.8426
58500 60.932
58600 61.0665
58700 61.1246
58800 61.1474
58900 60.958
59000 60.9467
59100 61.1824
59200 61.2634
59300 61.403
59400 61.3013
59500 61.15
59600 61.6669
59700 62.0374
59800 62.4531
59900 62.6455
60000 62.9164
60100 62.8798
60200 63.2255
60300 63.7314
60400 64.0976
60500 64.054
60600 63.8523
60700 63.6299
60800 63.5517
60900 63.7964
61000 64.0309
61100 64.2208
61200 64.4835
61300 64.2928
61400 64.4894
61500 64.5813
61600 65.1277
61700 65.5472
61800 65.6876
61900 65.7535
62000 65.6807
62100 65.3803
62200 64.9749
62300 64.6928
62400 64.7303
62500 64.8215
62600 65.0861
62700 65.6274
62800 65.8751
62900 65.8839
63000 65.5445
63100 64.9442
63200 64.6556
63300 64.6283
63400 64.9008
63500 65.2208
63600 65.3312
63700 65.1074
63800 64.8739
63900 64.7766
64000 65.0515
64100 64.9084
64200 64.8581
64300 64.9455
64400 65.1568
64500 65.1482
64600 64.9574
64700 64.8343
64800 64.9735
64900 65.4712
65000 65.6005
65100 65.5112
65200 65.7696
65300 66.1588
65400 66.0778
65500 65.9254
65600 65.9063
65700 65.8088
65800 65.6117
65900 65.4391
66000 65.6287
66100 65.5562
66200 65.3318
66300 65.376
66400 65.4726
66500 65.4065
66600 65.9355
66700 66.2864
66800 66.4321
66900 66.7179
67000 66.6379
67100 66.8647
67200 66.7913
67300 66.6519
67400 66.6317
67500 66.6679
67600 66.7792
67700 66.8345
67800 66.6291
67900 67.0604
68000 67.2863
68100 67.2829
68200 67.3904
68300 67.626
68400 68.1191
68500 68.1415
68600 68.3404
68700 68.4373
68800 68.5413
68900 68.5566
69000 68.9708
69100 69.2256
69200 69.326
69300 69.5061
69400 69.5059
69500 69.3953
69600 69.2938
69700 69.2301
69800 69.2362
69900 68.9903
70000 69.4138
70100 69.6322
70200 69.2879
70300 68.9481
70400 69.0122
70500 69.7008
70600 69.8615
70700 70.1768
70800 70.2154
70900 70.5022
71000 70.6913
71100 70.649
71200 70.5681
71300 70.7135
71400 70.7353
71500 70.6377
71600 70.6231
71700 70.6635
71800 70.5537
71900 70.612
72000 70.5808
72100 70.8642
72200 70.8284
72300 70.5504
72400 70.2632
72500 70.1841
72600 70.6774
72700 71.1699
72800 71.5484
72900 71.569
73000 71.5922
73100 71.3437
73200 71.3632
73300 71.6848
73400 71.9497
73500 71.8099
73600 71.9093
73700 71.9609
73800 72.2761
73900 72.6704
74000 72.7344
74100 72.3389
74200 71.9469
74300 71.7918
74400 72.1247
74500 72.2354
74600 72.2229
74700 72.3959
74800 72.4679
74900 72.7575
75000 72.584
75100 72.8006
75200 72.8367
75300 73.0428
75400 73.178
75500 73.0316
75600 73.2304
75700 73.2897
75800 73.2124
75900 73.6013
76000 73.6975
76100 73.5652
76200 73.648
76300 73.7588
76400 73.5235
76500 73.5747
76600 73.6352
76700 73.5781
76800 73.4212
76900 73.0652
77000 73.0681
77100 73.2105
77200 72.7923
77300 72.7846
77400 72.9646
77500 72.7611
77600 72.1188
77700 72.1294
77800 71.8814
77900 71.4483
78000 71.1684
78100 71.2847
78200 71.1271
78300 70.8242
78400 70.622
78500 70.4382
78600 70.3482
78700 70.0939
78800 69.9859
78900 69.6536
79000 69.382
79100 69.608
79200 69.8922
79300 69.7131
79400 69.3692
79500 69.2024
79600 69.2507
79700 69.2548
79800 69.1056
79900 68.932
80000 68.6989
80100 68.5931
80200 68.5592
80300 68.8428
80400 69.2068
80500 69.2416
80600 69.3079
80700 69.5841
80800 69.7768
80900 69.8775
81000 69.8975
81100 69.6353
81200 69.4135
81300 69.1072
81400 68.8782
81500 68.5993
81600 67.8994
81700 68.0618
81800 68.1035
81900 67.7041
82000 67.2789
82100 66.9641
