# Time-averaged data for fix rg_avg_B
# TimeStep c_rg_B
0 25.3797
100 25.4061
200 25.4134
300 25.4233
400 25.4109
500 25.4014
600 25.4203
700 25.4437
800 25.4618
900 25.4736
1000 25.4772
1100 25.5044
1200 25.5204
1300 25.5332
1400 25.5502
1500 25.5852
1600 25.6194
1700 25.6413
1800 25.641
1900 25.6274
2000 25.647
2100 25.6745
2200 25.7042
2300 25.7269
2400 25.7397
2500 25.7751
2600 25.8082
2700 25.8467
2800 25.8821
2900 25.8856
3000 25.8847
3100 25.9063
3200 25.9138
3300 25.9377
3400 25.9772
3500 26.0081
3600 26.023
3700 26.0285
3800 26.0344
3900 26.0499
4000 26.0428
4100 26.0279
4200 26.0328
4300 26.0456
4400 26.0536
4500 26.0745
4600 26.1069
4700 26.1313
4800 26.1669
4900 26.1817
5000 26.1977
5100 26.2133
5200 26.2024
5300 26.211
5400 26.1971
5500 26.1976
5600 26.2059
5700 26.2251
5800 26.2383
5900 26.2575
6000 26.2809
6100 26.2777
6200 26.2939
6300 26.3148
6400 26.3416
6500 26.36
6600 26.3576
6700 26.3532
6800 26.3755
6900 26.3748
7000 26.3536
7100 26.3509
7200 26.3404
7300 26.3245
7400 26.3322
7500 26.3301
7600 26.34
7700 26.3669
7800 26.3815
7900 26.3741
8000 26.3603
8100 26.3774
8200 26.3815
8300 26.3622
8400 26.3671
8500 26.395
8600 26.4076
8700 26.4208
8800 26.4272
8900 26.4414
9000 26.4694
9100 26.4974
9200 26.532
9300 26.5458
9400 26.5582
9500 26.5553
9600 26.5594
9700 26.5618
9800 26.5627
9900 26.5688
10000 26.5746
10100 26.5862
10200 26.5929
10300 26.5872
10400 26.5895
10500 26.603
10600 26.6106
10700 26.5956
10800 26.5869
10900 26.5744
11000 26.577
11100 26.5963
11200 26.6287
11300 26.651
11400 26.6667
11500 26.6681
11600 26.6636
11700 26.6605
11800 26.6756
11900 26.6975
12000 26.7268
12100 26.7436
12200 26.7791
12300 26.793
12400 26.8002
12500 26.8223
12600 26.8519
12700 26.8597
12800 26.8802
12900 26.8955
13000 26.9019
13100 26.9092
13200 26.9344
13300 26.9543
13400 26.9617
13500 26.959
13600 26.9786
13700 26.9955
13800 26.9882
13900 26.9856
14000 26.9893
14100 26.9854
14200 26.9756
14300 27.0151
14400 27.0253
14500 27.0199
14600 27.0149
14700 27.0255
14800 27.047
14900 27.058
15000 27.0667
15100 27.0509
15200 27.0561
15300 27.0842
15400 27.1114
15500 27.1015
15600 27.0964
15700 27.0799
15800 27.0742
15900 27.0833
16000 27.0647
16100 27.0592
16200 27.0516
16300 27.0604
16400 27.0648
16500 27.0648
16600 27.0441
16700 27.0254
16800 27.0349
16900 27.026
17000 27.0129
17100 27.0089
17200 27.0064
17300 26.9935
17400 26.9855
17500 26.9949
17600 27.0048
17700 27.0176
17800 27.0094
17900 27.0166
18000 27.0231
18100 27.0075
18200 27.0174
18300 27.0252
18400 27.024
18500 27.0258
18600 27.0431
18700 27.0492
18800 27.0506
18900 27.0542
19000 27.0459
19100 27.0376
19200 27.0114
19300 27.0182
19400 27.0315
19500 27.0304
19600 27.0149
19700 27.0108
19800 27.0149
19900 27.0084
20000 27.0233
20100 27.0244
20200 27.0256
20300 27.0194
20400 27.0082
20500 27.0113
20600 27.027
20700 27.0431
20800 27.0428
20900 27.0303
21000 27.0112
21100 27.008
21200 27.0292
21300 27.0245
21400 27.043
21500 27.0404
21600 27.0448
21700 27.0529
21800 27.0263
21900 26.993
22000 26.9543
22100 26.9335
22200 26.9263
22300 26.9122
22400 26.9021
22500 26.8875
22600 26.8682
22700 26.8671
22800 26.8616
22900 26.8461
23000 26.8449
23100 26.8464
23200 26.8411
23300 26.8262
23400 26.8184
23500 26.7994
23600 26.7999
23700 26.8063
23800 26.8119
23900 26.8246
24000 26.8244
24100 26.8308
24200 26.8364
24300 26.8391
24400 26.849
24500 26.8494
24600 26.8484
24700 26.8604
24800 26.8615
24900 26.8694
25000 26.8805
25100 26.8635
25200 26.8567
25300 26.8875
25400 26.8933
25500 26.8922
25600 26.8941
25700 26.8945
25800 26.8964
25900 26.8971
26000 26.8815
26100 26.8676
26200 26.8801
26300 26.9114
26400 26.9133
26500 26.8949
26600 26.8945
26700 26.8918
26800 26.8792
26900 26.8546
27000 26.8532
27100 26.8535
27200 26.8446
27300 26.8473
27400 26.8581
27500 26.8548
27600 26.8529
27700 26.8528
27800 26.8529
27900 26.8609
28000 26.862
28100 26.8705
28200 26.8544
28300 26.8608
28400 26.8655
28500 26.8921
28600 26.8942
28700 26.8879
28800 26.8951
28900 26.9036
29000 26.9243
29100 26.9493
29200 26.9626
29300 26.9763
29400 26.9902
29500 26.9988
29600 26.9966
29700 26.9889
29800 26.9688
29900 26.9663
30000 26.9688
30100 26.9787
30200 26.9843
30300 26.9606
30400 26.9443
30500 26.9289
30600 26.9329
30700 26.9294
30800 26.9307
30900 26.9374
31000 26.9347
31100 26.9317
31200 26.9281
31300 26.9318
31400 26.9539
31500 26.9459
31600 26.9642
31700 26.9636
31800 26.9529
31900 26.9571
32000 26.9646
32100 26.959
32200 26.9677
32300 26.9911
32400 27.0134
32500 27.0188
32600 27.0112
32700 27.017
32800 27.0378
32900 27.0474
33000 27.0649
33100 27.0835
33200 27.1087
33300 27.1118
33400 27.0993
33500 27.096
33600 27.0952
33700 27.1011
33800 27.1091
33900 27.0985
34000 27.1013
34100 27.0916
34200 27.1036
34300 27.1084
34400 27.0932
34500 27.0937
34600 27.0929
34700 27.1075
34800 27.0994
34900 27.1027
35000 27.0931
35100 27.0673
35200 27.05
35300 27.0281
35400 27.0061
35500 26.9928
35600 26.9742
35700 26.9743
35800 26.9831
35900 27.0043
36000 27.0061
36100 27.0135
36200 26.9992
36300 26.994
36400 27.0231
36500 27.0304
36600 27.0299
36700 27.0363
36800 27.0117
36900 27.0036
37000 26.9906
37100 26.9908
37200 27.0025
37300 27.0221
37400 27.0714
37500 27.0933
37600 27.0964
37700 27.1181
37800 27.1338
37900 27.1233
38000 27.1306
38100 27.1095
38200 27.0959
38300 27.0981
38400 27.1237
38500 27.1447
38600 27.163
38700 27.1473
38800 27.1605
38900 27.1557
39000 27.1574
39100 27.1567
39200 27.1494
39300 27.1403
39400 27.137
39500 27.1251
39600 27.1042
39700 27.0954
39800 27.0927
39900 27.1082
40000 27.1173
40100 27.1181
40200 27.11
40300 27.1168
40400 27.133
40500 27.1309
40600 27.1171
40700 27.1197
40800 27.1343
40900 27.1377
41000 27.1587
41100 27.1711
41200 27.1851
41300 27.2004
41400 27.206
41500 27.2159
41600 27.2336
41700 27.2502
41800 27.2553
41900 27.2592
42000 27.2463
42100 27.2454
42200 27.2437
42300 27.2362
42400 27.2017
42500 27.1718
42600 27.1732
42700 27.1885
42800 27.1951
42900 27.2028
43000 27.1857
43100 27.175
43200 27.1668
43300 27.1663
43400 27.168
43500 27.1617
43600 27.1615
43700 27.1512
43800 27.15
43900 27.1502
44000 27.1584
44100 27.1639
44200 27.16
44300 27.1654
44400 27.171
44500 27.1783
44600 27.1835
44700 27.1779
44800 27.1607
44900 27.16
45000 27.1134
45100 27.0938
45200 27.0936
45300 27.1034
45400 27.1181
45500 27.1129
45600 27.1166
45700 27.1248
45800 27.1453
45900 27.1579
46000 27.1635
46100 27.1658
46200 27.1484
46300 27.1467
46400 27.1428
46500 27.135
46600 27.1185
46700 27.1103
46800 27.1258
46900 27.1451
47000 27.1462
47100 27.1421
47200 27.1395
