# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.50875e-28
100 0.280796
200 0.623227
300 0.936413
400 1.20999
500 1.45716
600 1.68252
700 1.92547
800 2.09758
900 2.24503
1000 2.43345
1100 2.60895
1200 2.75008
1300 2.88761
1400 3.06783
1500 3.24434
1600 3.3762
1700 3.49021
1800 3.6217
1900 3.75074
2000 3.90188
2100 4.02253
2200 4.25894
2300 4.47712
2400 4.75182
2500 5.05687
2600 5.26124
2700 5.39277
2800 5.53787
2900 5.63666
3000 5.83706
3100 5.96775
3200 6.11241
3300 6.22686
3400 6.33965
3500 6.48273
3600 6.61318
3700 6.71391
3800 6.86082
3900 7.03168
4000 7.17076
4100 7.26682
4200 7.43018
4300 7.59786
4400 7.79118
4500 7.88448
4600 7.97805
4700 8.12763
4800 8.25588
4900 8.42933
5000 8.60371
5100 8.68045
5200 8.82574
5300 8.98005
5400 9.16689
5500 9.38184
5600 9.61996
5700 9.87097
5800 10.1402
5900 10.334
6000 10.5608
6100 10.7394
6200 11.0533
6300 11.293
6400 11.4127
6500 11.4326
6600 11.4556
6700 11.5465
6800 11.6962
6900 11.8036
7000 11.9725
7100 12.0991
7200 12.2448
7300 12.4702
7400 12.6756
7500 12.9215
7600 13.124
7700 13.3643
7800 13.6456
7900 13.7893
8000 13.9604
8100 14.1977
8200 14.437
8300 14.7052
8400 14.9246
8500 15.2382
8600 15.444
8700 15.6257
8800 15.7627
8900 15.9192
9000 16.0698
9100 16.2612
9200 16.4054
9300 16.6471
9400 16.892
9500 17.0222
9600 17.1427
9700 17.2884
9800 17.3912
9900 17.6531
10000 17.7782
10100 17.9674
10200 18.3001
10300 18.5247
10400 18.7803
10500 19.0981
10600 19.3646
10700 19.5337
10800 19.6572
10900 19.8772
11000 20.1412
11100 20.4407
11200 20.759
11300 21.1096
11400 21.3242
11500 21.5541
11600 21.8527
11700 22.1567
11800 22.4237
11900 22.7289
12000 22.9788
12100 23.2867
12200 23.5875
12300 23.8002
12400 24.054
12500 24.3998
12600 24.7276
12700 25.0803
12800 25.3396
12900 25.6418
13000 25.8042
13100 26.031
13200 26.3796
13300 26.7583
13400 27.1298
13500 27.4829
13600 27.7108
13700 27.8963
13800 28.0391
13900 28.2403
14000 28.444
14100 28.633
14200 29.0069
14300 29.3733
14400 29.7252
14500 30.0223
14600 30.2275
14700 30.3579
14800 30.6046
14900 30.9501
15000 31.2734
15100 31.4937
15200 31.7761
15300 32.145
15400 32.6383
15500 32.8772
15600 33.104
15700 33.3024
15800 33.487
15900 33.7114
16000 33.873
16100 34.0874
16200 34.394
16300 34.7705
16400 34.9208
16500 35.2114
16600 35.5629
16700 35.8818
16800 36.2241
16900 36.4607
17000 36.7286
17100 36.9091
17200 37.2383
17300 37.544
17400 37.9072
17500 38.3393
17600 38.7408
17700 39.1912
17800 39.5955
17900 39.87
18000 39.9936
18100 40.1404
18200 40.3987
18300 40.591
18400 40.8009
18500 40.9508
18600 41.2034
18700 41.2387
18800 41.3099
18900 41.5364
19000 41.7687
19100 41.873
19200 42.1102
19300 42.3265
19400 42.5358
19500 42.6793
19600 42.734
19700 42.8065
19800 42.9315
19900 43.0722
20000 43.1326
20100 43.2802
20200 43.3909
20300 43.4792
20400 43.6676
20500 43.784
20600 43.8275
20700 43.9541
20800 43.9876
20900 44.0688
21000 44.1669
21100 44.3256
21200 44.3954
21300 44.5388
21400 44.617
21500 44.6769
21600 44.656
21700 44.7331
21800 44.7895
21900 44.8109
22000 44.8308
22100 44.9107
22200 44.849
22300 44.673
22400 44.6219
22500 44.5087
22600 44.5769
22700 44.6738
22800 44.7781
22900 44.8439
23000 44.8816
23100 44.8826
23200 44.912
23300 45.0244
23400 45.2292
23500 45.3738
23600 45.5738
23700 45.8655
23800 46.139
23900 46.2571
24000 46.3666
24100 46.4423
24200 46.6898
24300 46.8683
24400 46.9751
24500 47.1135
24600 47.3543
24700 47.5644
24800 47.6943
24900 47.686
25000 47.8286
25100 47.8992
25200 47.8968
25300 48.0719
25400 48.2631
25500 48.2669
25600 48.1892
25700 48.2311
25800 48.2421
25900 48.3073
26000 48.2766
26100 48.2694
26200 48.3654
26300 48.544
26400 48.7636
26500 48.9153
26600 48.828
26700 48.8788
26800 49.086
26900 49.169
27000 49.2509
27100 49.35
27200 49.3623
27300 49.4149
27400 49.6068
27500 49.8263
27600 49.9963
27700 49.9902
27800 50.0108
27900 50.2039
28000 50.437
28100 50.5511
28200 50.7013
28300 50.9746
28400 51.1192
28500 51.2493
28600 51.2564
28700 51.3668
28800 51.5618
28900 51.7013
29000 51.902
29100 52.1498
29200 52.4464
29300 52.6571
29400 52.8424
29500 53.1211
29600 53.3691
29700 53.4378
29800 53.5225
29900 53.7978
30000 53.9522
30100 54.149
30200 54.1639
30300 54.189
30400 54.3464
30500 54.423
30600 54.4207
30700 54.2497
30800 54.2148
30900 54.3395
31000 54.3523
31100 54.4511
31200 54.4517
31300 54.4741
31400 54.4414
31500 54.5063
31600 54.6354
31700 54.6091
31800 54.5683
31900 54.6758
32000 54.7363
32100 54.6824
32200 54.6113
32300 54.6952
32400 54.8979
32500 55.1119
32600 55.1027
32700 55.0195
32800 54.951
32900 55.0864
33000 55.3492
33100 55.5348
33200 55.4632
33300 55.5486
33400 55.5919
33500 55.5526
33600 55.5708
33700 55.6106
33800 55.602
33900 55.5123
34000 55.4024
34100 55.2964
34200 55.32
34300 55.3759
34400 55.4863
34500 55.4769
34600 55.5279
34700 55.6031
34800 55.6401
34900 55.6006
35000 55.6667
35100 55.717
35200 55.6019
35300 55.541
35400 55.44
35500 55.276
35600 55.1648
35700 55.0922
35800 55.0464
35900 55.1041
36000 55.0721
36100 54.7973
36200 54.5215
36300 54.3549
36400 54.3179
36500 54.3102
36600 54.257
36700 54.2392
36800 54.0711
36900 53.9492
37000 53.8861
37100 53.782
37200 53.689
37300 53.8729
37400 54.0734
37500 54.1503
37600 54.2481
37700 54.1678
37800 54.0568
37900 53.9572
38000 53.8705
38100 53.7612
38200 53.6482
38300 53.5865
38400 53.8439
38500 54.0338
38600 54.0298
38700 54.0549
38800 54.0713
38900 53.9958
39000 53.9837
39100 53.9691
39200 53.731
39300 53.6445
39400 53.7477
39500 53.722
39600 53.4778
39700 53.3579
39800 53.4965
39900 53.6664
40000 53.7212
40100 53.653
40200 53.5598
40300 53.5201
40400 53.5348
40500 53.6258
40600 53.7529
40700 53.8436
40800 53.7578
40900 53.6946
41000 53.7649
41100 53.8035
41200 53.9104
41300 54.1158
41400 54.0972
41500 54.1246
41600 54.2428
41700 54.2218
41800 54.1027
41900 54.0152
42000 53.9897
42100 54.0502
42200 53.9421
42300 53.7505
42400 53.6225
42500 53.5563
42600 53.6072
42700 53.7047
42800 53.7162
42900 53.7274
43000 53.6536
43100 53.4052
43200 53.2653
43300 53.0515
43400 53.0848
43500 53.0948
43600 53.0802
43700 52.874
43800 52.8043
43900 52.8622
