LAMMPS data file for polymer chains

1800 atoms
1740 bonds

2 atom types
1 bond types

0.0 32.0 xlo xhi
0.0 32.0 ylo yhi
0.0 32.0 zlo zhi

Masses

1 1.0  # Type A
2 1.0  # Type B

Atoms # molecular

1 1 1 0.000 0.000 0.000
2 1 1 0.000 0.000 0.492
3 1 1 0.000 0.000 0.985
4 1 1 0.000 0.000 1.477
5 1 1 0.000 0.000 1.969
6 1 1 0.000 0.000 2.462
7 1 1 0.000 0.000 2.954
8 1 1 0.000 0.000 3.446
9 1 1 0.000 0.000 3.938
10 1 1 0.000 0.000 4.431
11 1 1 0.000 0.000 4.923
12 1 1 0.000 0.000 5.415
13 1 1 0.000 0.000 5.908
14 1 1 0.000 0.000 6.400
15 1 1 0.000 0.000 6.892
16 1 1 0.000 0.000 7.385
17 1 1 0.000 0.000 7.877
18 1 1 0.000 0.000 8.369
19 1 1 0.000 0.000 8.862
20 1 1 0.000 0.000 9.354
21 1 1 0.000 0.000 9.846
22 1 1 0.000 0.000 10.338
23 1 1 0.000 0.000 10.831
24 1 1 0.000 0.000 11.323
25 1 1 0.000 0.000 11.815
26 1 1 0.000 0.000 12.308
27 1 1 0.000 0.000 12.800
28 1 1 0.000 0.000 13.292
29 1 1 0.000 0.000 13.785
30 1 1 0.000 0.000 14.277
31 2 1 5.079 0.000 0.000
32 2 1 5.079 0.000 0.492
33 2 1 5.079 0.000 0.985
34 2 1 5.079 0.000 1.477
35 2 1 5.079 0.000 1.969
36 2 1 5.079 0.000 2.462
37 2 1 5.079 0.000 2.954
38 2 1 5.079 0.000 3.446
39 2 1 5.079 0.000 3.938
40 2 1 5.079 0.000 4.431
41 2 1 5.079 0.000 4.923
42 2 1 5.079 0.000 5.415
43 2 1 5.079 0.000 5.908
44 2 1 5.079 0.000 6.400
45 2 1 5.079 0.000 6.892
46 2 1 5.079 0.000 7.385
47 2 1 5.079 0.000 7.877
48 2 1 5.079 0.000 8.369
49 2 1 5.079 0.000 8.862
50 2 1 5.079 0.000 9.354
51 2 1 5.079 0.000 9.846
52 2 1 5.079 0.000 10.338
53 2 1 5.079 0.000 10.831
54 2 1 5.079 0.000 11.323
55 2 1 5.079 0.000 11.815
56 2 1 5.079 0.000 12.308
57 2 1 5.079 0.000 12.800
58 2 1 5.079 0.000 13.292
59 2 1 5.079 0.000 13.785
60 2 1 5.079 0.000 14.277
61 3 1 10.159 0.000 0.000
62 3 1 10.159 0.000 0.492
63 3 1 10.159 0.000 0.985
64 3 1 10.159 0.000 1.477
65 3 1 10.159 0.000 1.969
66 3 1 10.159 0.000 2.462
67 3 1 10.159 0.000 2.954
68 3 1 10.159 0.000 3.446
69 3 1 10.159 0.000 3.938
70 3 1 10.159 0.000 4.431
71 3 1 10.159 0.000 4.923
72 3 1 10.159 0.000 5.415
73 3 1 10.159 0.000 5.908
74 3 1 10.159 0.000 6.400
75 3 1 10.159 0.000 6.892
76 3 1 10.159 0.000 7.385
77 3 1 10.159 0.000 7.877
78 3 1 10.159 0.000 8.369
79 3 1 10.159 0.000 8.862
80 3 1 10.159 0.000 9.354
81 3 1 10.159 0.000 9.846
82 3 1 10.159 0.000 10.338
83 3 1 10.159 0.000 10.831
84 3 1 10.159 0.000 11.323
85 3 1 10.159 0.000 11.815
86 3 1 10.159 0.000 12.308
87 3 1 10.159 0.000 12.800
88 3 1 10.159 0.000 13.292
89 3 1 10.159 0.000 13.785
90 3 1 10.159 0.000 14.277
91 4 1 15.238 0.000 0.000
92 4 1 15.238 0.000 0.492
93 4 1 15.238 0.000 0.985
94 4 1 15.238 0.000 1.477
95 4 1 15.238 0.000 1.969
96 4 1 15.238 0.000 2.462
97 4 1 15.238 0.000 2.954
98 4 1 15.238 0.000 3.446
99 4 1 15.238 0.000 3.938
100 4 1 15.238 0.000 4.431
101 4 1 15.238 0.000 4.923
102 4 1 15.238 0.000 5.415
103 4 1 15.238 0.000 5.908
104 4 1 15.238 0.000 6.400
105 4 1 15.238 0.000 6.892
106 4 1 15.238 0.000 7.385
107 4 1 15.238 0.000 7.877
108 4 1 15.238 0.000 8.369
109 4 1 15.238 0.000 8.862
110 4 1 15.238 0.000 9.354
111 4 1 15.238 0.000 9.846
112 4 1 15.238 0.000 10.338
113 4 1 15.238 0.000 10.831
114 4 1 15.238 0.000 11.323
115 4 1 15.238 0.000 11.815
116 4 1 15.238 0.000 12.308
117 4 1 15.238 0.000 12.800
118 4 1 15.238 0.000 13.292
119 4 1 15.238 0.000 13.785
120 4 1 15.238 0.000 14.277
121 5 1 20.317 0.000 0.000
122 5 1 20.317 0.000 0.492
123 5 1 20.317 0.000 0.985
124 5 1 20.317 0.000 1.477
125 5 1 20.317 0.000 1.969
126 5 1 20.317 0.000 2.462
127 5 1 20.317 0.000 2.954
128 5 1 20.317 0.000 3.446
129 5 1 20.317 0.000 3.938
130 5 1 20.317 0.000 4.431
131 5 1 20.317 0.000 4.923
132 5 1 20.317 0.000 5.415
133 5 1 20.317 0.000 5.908
134 5 1 20.317 0.000 6.400
135 5 1 20.317 0.000 6.892
