# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.27094e-29
100 0.276808
200 0.688884
300 1.06901
400 1.42787
500 1.77542
600 2.1063
700 2.5069
800 2.89303
900 3.24444
1000 3.55012
1100 3.83135
1200 4.10936
1300 4.42997
1400 4.83021
1500 5.19187
1600 5.50328
1700 5.84372
1800 6.24423
1900 6.57336
2000 6.90883
2100 7.37622
2200 7.75155
2300 8.12764
2400 8.46816
2500 8.87188
2600 9.16138
2700 9.49003
2800 9.85259
2900 10.3587
3000 10.7182
3100 11.1549
3200 11.6272
3300 12.1444
3400 12.5865
3500 12.9995
3600 13.5718
3700 14.1332
3800 14.6099
3900 15.1818
4000 15.4213
4100 15.6522
4200 16.0436
4300 16.5575
4400 16.8953
4500 17.1335
4600 17.5467
4700 18.034
4800 18.5855
4900 19.0548
5000 19.5606
5100 19.9608
5200 20.315
5300 20.829
5400 21.262
5500 21.8928
5600 22.2674
5700 22.6177
5800 23.2292
5900 23.7443
6000 24.1479
6100 24.6691
6200 25.2026
6300 25.8091
6400 26.4085
6500 27.0717
6600 27.7951
6700 28.3953
6800 28.8059
6900 29.5544
7000 30.2725
7100 30.8356
7200 31.2951
7300 31.7559
7400 32.2112
7500 32.6162
7600 33.1902
7700 33.7904
7800 34.4158
7900 35.1139
8000 35.9399
8100 36.7444
8200 37.2677
8300 37.981
8400 38.8498
8500 39.2373
8600 39.5685
8700 39.8622
8800 40.0434
8900 40.2218
9000 40.6206
9100 40.8392
9200 41.03
9300 41.5666
9400 42.2226
9500 42.9247
9600 43.6664
9700 44.1909
9800 44.6409
9900 45.3244
10000 45.939
10100 46.4
10200 47.1561
10300 47.635
10400 48.2544
10500 48.6436
10600 49.1509
10700 49.5204
10800 50.0068
10900 50.5067
11000 50.996
11100 51.4785
11200 51.8677
11300 52.058
11400 52.4549
11500 53.0256
11600 53.554
11700 54.028
11800 54.7153
11900 55.5379
12000 56.1034
12100 56.6097
12200 57.3643
12300 58.2665
12400 58.9262
12500 59.6801
12600 60.2935
12700 61.1233
12800 61.7123
12900 62.2995
13000 62.5424
13100 62.9867
13200 63.3884
13300 63.7925
13400 64.1956
13500 64.6292
13600 64.8883
13700 64.9655
13800 65.2628
13900 65.7237
14000 66.2357
14100 66.7264
14200 67.369
14300 68.1676
14400 68.558
14500 69.2455
14600 70.0666
14700 71.2342
14800 71.8454
14900 72.0232
15000 72.4343
15100 72.8586
15200 73.1723
15300 73.3267
15400 73.866
15500 74.01
15600 74.342
15700 74.4341
15800 74.9291
15900 75.4375
16000 75.907
16100 76.4906
16200 77.0705
16300 77.6458
16400 78.0292
16500 78.2978
16600 78.7967
16700 79.0992
16800 79.6766
16900 80.2897
17000 80.6601
17100 81.0964
17200 81.4617
17300 81.6115
17400 81.8383
17500 82.2998
17600 82.7634
17700 83.4178
17800 84.1321
17900 84.7508
18000 85.3273
18100 85.8558
18200 86.4634
18300 87.1364
18400 87.722
18500 88.2591
18600 88.5976
18700 89.4515
18800 90.0553
18900 90.5303
19000 90.8026
19100 91.5813
19200 92.409
19300 92.9532
19400 93.4949
19500 94.0706
19600 94.5901
19700 95.3661
19800 95.6992
19900 96.1086
20000 96.796
20100 97.2036
20200 97.9533
20300 98.4791
20400 98.6693
20500 98.9866
20600 99.4034
20700 100.154
20800 100.922
20900 101.489
21000 101.85
21100 102.358
21200 103.21
21300 104.03
21400 104.657
21500 104.877
21600 105.211
21700 105.627
21800 106.08
21900 106.462
22000 107.152
22100 107.815
22200 108.252
22300 108.969
22400 109.797
22500 110.467
22600 111.019
22700 111.963
22800 112.886
22900 113.644
23000 114.762
23100 115.612
23200 116.073
23300 116.835
23400 117.842
23500 118.82
23600 119.207
23700 119.764
23800 120.318
23900 120.645
24000 121.011
24100 121.786
24200 122.409
24300 122.982
24400 123.497
24500 124.032
24600 124.755
24700 125.576
24800 126.27
24900 126.994
25000 127.725
25100 128.427
25200 129.387
25300 130.259
25400 130.897
25500 131.793
25600 132.547
25700 133.391
25800 134.28
25900 135.004
26000 135.889
26100 136.913
26200 137.682
26300 138.501
26400 139.195
26500 139.844
26600 140.74
26700 141.402
26800 142.351
26900 143.507
27000 144.708
27100 145.709
27200 146.579
27300 147.495
27400 148.88
27500 150.18
27600 151.113
27700 151.837
27800 152.594
27900 153.251
28000 154.085
28100 154.918
28200 155.66
28300 156.427
28400 157.576
28500 158.517
28600 159.44
28700 159.962
28800 160.753
28900 161.552
29000 162.438
29100 163.507
29200 164.368
29300 165.445
29400 166.414
29500 167.451
29600 168.294
29700 168.702
29800 168.735
29900 169.255
30000 169.833
30100 170.502
30200 171.357
30300 172.176
30400 172.818
30500 173.561
30600 174.241
30700 175.006
30800 175.625
30900 176.08
31000 176.469
31100 177.428
31200 178.596
31300 179.122
31400 179.879
31500 180.755
31600 181.408
31700 182.034
31800 182.896
31900 183.731
32000 184.381
32100 185.101
32200 185.665
32300 185.92
32400 186.024
32500 186.295
32600 186.756
32700 187.339
32800 188.029
32900 188.984
33000 189.698
33100 190.092
33200 190.42
33300 191.147
33400 191.598
33500 192.203
33600 192.42
33700 193.086
33800 193.722
33900 194.28
34000 194.915
34100 195.626
34200 196.444
34300 197.169
34400 197.632
34500 198.376
34600 198.741
34700 199.002
34800 199.388
34900 200.115
35000 200.588
35100 200.976
35200 201.422
35300 202.374
35400 203.05
35500 203.733
35600 204.708
35700 205.402
35800 206.299
35900 206.985
36000 208.092
36100 208.841
36200 209.486
36300 210.343
36400 210.981
36500 212.105
36600 213.475
36700 214.447
36800 215.122
36900 215.815
37000 216.805
37100 217.501
37200 217.733
