# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
0 1.68466e-29
100 0.27247
200 0.696864
300 1.06425
400 1.43809
500 1.80085
600 2.10306
700 2.47843
800 2.82759
900 3.08444
1000 3.34131
1100 3.54391
1200 3.70657
1300 3.91861
1400 4.12778
1500 4.39247
1600 4.66183
1700 4.8809
1800 5.21587
1900 5.41407
2000 5.56793
2100 5.90152
2200 6.11863
2300 6.16519
2400 6.20962
2500 6.39381
2600 6.49646
2700 6.64128
2800 6.8985
2900 7.21016
3000 7.43196
3100 7.88654
3200 8.29334
3300 8.76068
3400 9.15826
3500 9.30807
3600 9.73067
3700 10.1862
3800 10.4928
3900 10.9489
4000 11.1026
4100 11.2434
4200 11.3389
4300 11.6559
4400 11.8133
4500 11.9689
4600 12.2116
4700 12.5062
4800 12.9479
4900 13.4719
5000 13.8572
5100 14.0178
5200 14.2848
5300 14.8124
5400 15.1613
5500 15.5651
5600 15.8044
5700 15.9165
5800 16.46
5900 16.9359
6000 17.1593
6100 17.6172
6200 17.8164
6300 18.3452
6400 18.7536
6500 19.3978
6600 19.9934
6700 20.5072
6800 20.9673
6900 21.5301
7000 22.0587
7100 22.6982
7200 23.1845
7300 23.6804
7400 24.0053
7500 24.1012
7600 24.6034
7700 24.9316
7800 25.3498
7900 25.768
8000 26.3549
8100 26.9178
8200 27.3782
8300 27.8239
8400 28.5082
8500 28.6922
8600 28.7118
8700 28.9571
8800 29.2223
8900 29.4353
9000 29.8601
9100 30.0828
9200 30.5724
9300 31.0241
9400 31.4849
9500 31.9306
9600 32.3955
9700 32.7096
9800 32.9162
9900 33.5189
10000 33.9842
10100 34.2126
10200 34.9092
10300 35.0146
10400 35.0385
10500 34.8733
10600 34.9738
10700 35.4008
10800 35.9017
10900 36.1014
11000 36.3378
11100 36.9617
11200 37.206
11300 36.9773
11400 37.2693
11500 37.5271
11600 37.6708
11700 38.0054
11800 38.7747
11900 39.973
12000 40.3994
12100 40.8613
12200 41.5995
12300 42.3205
12400 42.7892
12500 43.1625
12600 43.6799
12700 44.6028
12800 44.9771
12900 45.7173
13000 45.8093
13100 45.7672
13200 45.7749
13300 45.7394
13400 46.0134
13500 46.0502
13600 46.0115
13700 45.9361
13800 46.056
13900 46.3572
14000 46.8419
14100 47.0175
14200 47.6566
14300 47.9913
14400 48.1448
14500 48.7535
14600 49.5259
14700 50.5729
14800 50.9254
14900 50.8645
15000 50.9166
15100 50.9439
15200 50.9268
15300 50.6067
15400 51.0293
15500 50.8796
15600 50.5889
15700 50.2058
15800 50.5584
15900 51.1212
16000 51.339
16100 51.5059
16200 51.6478
16300 52.2163
16400 52.6164
16500 53.0439
16600 53.5545
16700 53.9378
16800 54.4466
16900 54.6982
17000 55.0228
17100 54.8724
17200 54.5104
17300 54.3953
17400 54.3165
17500 54.968
17600 55.1968
17700 55.3767
17800 55.6208
17900 55.9307
18000 56.1385
18100 56.0223
18200 56.2086
18300 56.5598
18400 57.0603
18500 57.1411
18600 56.9045
18700 57.2742
18800 57.5613
18900 57.4016
19000 57.1621
19100 57.3625
19200 57.4172
19300 57.3703
19400 57.5915
19500 57.971
19600 58.1975
19700 58.4567
19800 58.2547
19900 57.7524
20000 57.6408
20100 57.8142
20200 58.3792
20300 58.5328
20400 57.9936
20500 57.4808
20600 57.2795
20700 57.4182
20800 57.7291
20900 57.4849
21000 57.1558
21100 57.0291
21200 57.2839
21300 57.7655
21400 58.104
21500 57.9944
21600 58.3289
21700 58.9476
21800 59.6519
21900 59.8669
22000 60.1858
22100 60.2204
22200 60.2573
22300 60.4472
22400 61.1114
22500 61.7629
22600 62.0358
22700 62.5002
22800 62.9088
22900 63.1501
23000 64.0267
23100 64.7768
23200 65.1028
23300 65.7486
23400 66.6055
23500 67.434
23600 67.7668
23700 67.6587
23800 67.9279
23900 68.2153
24000 68.3742
24100 68.6431
24200 68.8791
24300 68.702
24400 68.3933
24500 68.5233
24600 68.9362
24700 69.4947
24800 69.6437
24900 69.7478
25000 69.9111
25100 69.9768
25200 70.2993
25300 71.002
25400 71.526
25500 72.3806
25600 72.9674
25700 72.9438
25800 73.061
25900 73.2063
26000 73.66
26100 74.2811
26200 74.71
26300 75.1521
26400 75.3983
26500 75.6006
26600 76.0642
26700 76.2365
26800 77.0901
26900 78.1666
27000 78.8965
27100 79.118
27200 79.2729
27300 79.1575
27400 79.955
27500 80.8945
27600 81.4774
27700 81.419
27800 81.3007
27900 81.4761
28000 81.1542
28100 81.1873
28200 81.0671
28300 81.4497
28400 82.2205
28500 83.0731
28600 83.548
28700 83.7294
28800 84.5093
28900 85.4857
29000 86.3288
29100 87.2208
29200 87.198
29300 87.9247
29400 88.1203
29500 88.5318
29600 88.9657
29700 89.2106
29800 88.658
29900 88.3595
30000 88.608
30100 88.8709
30200 89.1697
30300 89.4294
30400 89.8321
30500 90.1358
30600 90.0205
30700 90.8107
30800 91.4075
30900 91.8905
31000 92.3008
31100 92.8517
31200 93.5273
31300 93.2395
31400 93.3788
31500 93.4767
31600 93.7454
31700 93.9235
31800 94.2927
31900 94.6279
32000 94.3469
32100 94.2337
32200 93.9147
32300 93.4409
32400 92.6735
32500 92.1752
32600 92.1583
32700 92.426
32800 92.9954
32900 93.4153
33000 93.7162
33100 93.6931
33200 93.644
33300 93.9363
33400 93.8188
33500 94.3014
33600 93.6312
33700 93.7857
33800 94.5721
33900 95.3419
34000 95.3085
34100 95.351
34200 95.1282
34300 94.4793
34400 94.3323
34500 94.8531
34600 94.9627
34700 94.5258
34800 94.3081
34900 94.4988
35000 94.3496
35100 93.68
35200 93.3521
35300 93.3276
35400 92.6458
35500 92.3549
35600 92.5778
35700 92.6887
35800 93.1833
35900 93.5379
36000 94.2435
36100 94.7961
36200 95.2475
36300 95.3624
36400 95.7548
36500 96.4851
36600 97.362
36700 98.0985
36800 98.1375
36900 97.925
37000 98.3458
37100 98.1682
37200 97.644
37300 97.4738
37400 98.4786
37500 98.939
37600 99.2648
37700 99.8314
37800 100.358
37900 100.026
38000 99.5568
38100 99.4046
38200 99.5507
38300 100.511
38400 101.18
38500 101.895
38600 102.079
38700 102.367
38800 102.785
38900 102.806
39000 102.705
39100 102.446
39200 102.599
39300 103.351
39400 103.618
39500 104.189
39600 104.27
39700 104.997
39800 104.838
39900 105.14
40000 105.679
40100 105.836
40200 106.31
40300 107.44
40400 107.692
40500 108.442
40600 108.619
40700 108.325
40800 108.136
40900 107.864
41000 107.106
41100 107.182
41200 107.164
41300 107.028
41400 107.013
41500 107.83
41600 108.415
41700 108.194
41800 108.116
41900 107.973
42000 108.423
42100 109.609
42200 110.066
42300 110.749
42400 111.411
