# Time-averaged data for fix rg_avg_B
# TimeStep c_rg_B
0 23.0875
100 23.0981
200 23.0875
300 23.1151
400 23.1411
500 23.146
600 23.1486
700 23.1692
800 23.1599
900 23.1536
1000 23.1616
1100 23.1905
1200 23.2138
1300 23.2606
1400 23.3139
1500 23.3576
1600 23.373
1700 23.4034
1800 23.4608
1900 23.5064
2000 23.5562
2100 23.5857
2200 23.634
2300 23.6416
2400 23.6555
2500 23.6879
2600 23.7026
2700 23.7522
2800 23.8074
2900 23.8541
3000 23.9096
3100 23.9587
3200 23.9991
3300 24.0585
3400 24.0601
3500 24.0897
3600 24.1102
3700 24.1403
3800 24.1468
3900 24.1839
4000 24.197
4100 24.2112
4200 24.2304
4300 24.2351
4400 24.2765
4500 24.3281
4600 24.3796
4700 24.4348
4800 24.4915
4900 24.5166
5000 24.5094
5100 24.5192
5200 24.5208
5300 24.5189
5400 24.5454
5500 24.5849
5600 24.588
5700 24.5978
5800 24.6149
5900 24.6393
6000 24.6611
6100 24.6976
6200 24.7125
6300 24.7066
6400 24.7471
6500 24.778
6600 24.7722
6700 24.7898
6800 24.7842
6900 24.7901
7000 24.809
7100 24.8408
7200 24.8705
7300 24.8821
7400 24.8947
7500 24.9182
7600 24.9317
7700 24.9451
7800 24.9875
7900 25.0153
8000 25.0511
8100 25.1034
8200 25.1379
8300 25.1683
8400 25.1892
8500 25.2099
8600 25.2658
8700 25.2685
8800 25.2685
8900 25.2902
9000 25.3101
9100 25.3322
9200 25.3316
9300 25.3552
9400 25.3934
9500 25.4246
9600 25.4685
9700 25.5186
9800 25.552
9900 25.5835
10000 25.6184
10100 25.6144
10200 25.5958
10300 25.579
10400 25.5588
10500 25.5455
10600 25.5761
10700 25.5747
10800 25.5739
10900 25.5956
11000 25.6229
11100 25.6396
11200 25.6497
11300 25.6708
11400 25.6872
11500 25.7271
11600 25.7477
11700 25.7728
11800 25.7986
11900 25.8143
12000 25.8054
12100 25.8104
12200 25.8309
12300 25.8582
12400 25.8679
12500 25.8732
12600 25.8649
12700 25.8555
12800 25.833
12900 25.8186
13000 25.7938
13100 25.7892
13200 25.814
13300 25.8443
13400 25.8586
13500 25.8856
13600 25.8936
13700 25.8984
13800 25.9102
13900 25.9136
14000 25.8965
14100 25.9195
14200 25.9416
14300 25.923
14400 25.8879
14500 25.8641
14600 25.8795
14700 25.9445
14800 25.946
14900 25.9066
15000 25.89
15100 25.9308
15200 25.9588
15300 25.9801
15400 25.999
15500 26.0237
15600 26.0619
15700 26.0627
15800 26.0405
15900 26.0308
16000 26.0078
16100 26.0233
16200 26.0454
16300 26.0447
16400 26.0441
16500 26.0366
16600 26.0267
16700 26.0349
16800 26.0592
16900 26.1043
17000 26.1549
17100 26.2012
17200 26.2376
17300 26.2618
17400 26.3
17500 26.2837
17600 26.282
17700 26.2999
17800 26.3217
17900 26.3093
