# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
0 0
100 0.199822
200 0.456864
300 0.753305
400 1.09533
500 1.4209
600 1.67034
700 1.89236
800 2.08745
900 2.28766
1000 2.47825
1100 2.65879
1200 2.90455
1300 3.13684
1400 3.36901
1500 3.60227
1600 3.86123
1700 4.12645
1800 4.44144
1900 4.68878
2000 5.01816
2100 5.3574
2200 5.72816
2300 6.03926
2400 6.32125
2500 6.73264
2600 7.00438
2700 7.25714
2800 7.54582
2900 7.81436
3000 8.00264
3100 8.46702
3200 8.8383
3300 9.13851
3400 9.34021
3500 9.6011
3600 9.67441
3700 9.92207
3800 10.2179
3900 10.4254
4000 10.71
4100 11.2336
4200 11.5749
4300 11.8734
4400 12.1706
4500 12.4218
4600 12.7062
4700 12.8943
4800 13.1822
4900 13.5703
5000 13.9071
5100 14.2189
5200 14.7069
5300 15.0667
5400 15.5163
5500 15.8674
5600 16.1354
5700 16.2649
5800 16.3652
5900 16.5345
6000 17.0066
6100 17.1889
6200 17.1767
6300 17.2421
6400 17.3986
6500 17.594
6600 17.8842
6700 18.2601
6800 18.6272
6900 18.6543
7000 18.8544
7100 19.1756
7200 19.8223
7300 20.0853
7400 20.2362
7500 20.4517
7600 20.5998
7700 21.1247
7800 21.4379
7900 21.7714
8000 22.2243
8100 22.7448
8200 23.1989
8300 23.6279
8400 24.0915
8500 24.2592
8600 24.4317
8700 24.8687
8800 25.3031
8900 25.5289
9000 25.594
9100 26.0468
9200 26.0885
9300 26.0861
9400 26.4975
9500 26.6873
9600 26.8178
9700 26.8309
9800 27.2821
9900 27.4277
10000 27.6815
10100 27.9887
10200 28.0253
10300 28.0633
10400 28.5193
10500 28.45
10600 28.6172
10700 29.1249
10800 29.5152
10900 29.8085
11000 30.4332
11100 30.619
11200 30.9472
11300 31.1492
11400 31.3036
11500 31.595
11600 31.642
11700 31.5838
11800 31.5858
11900 31.7665
12000 31.9337
12100 31.9883
12200 32.2379
12300 32.6037
12400 32.6198
12500 32.6626
12600 33.015
12700 33.4452
12800 33.6098
12900 33.9546
13000 34.2334
13100 34.4428
13200 34.5328
13300 34.6073
13400 35.1808
13500 35.1817
13600 35.1616
13700 35.4871
13800 35.636
13900 36.0274
14000 36.3603
14100 36.3814
14200 36.5979
14300 36.8533
14400 36.8455
14500 36.7201
14600 36.995
14700 37.301
14800 37.8133
14900 37.9011
15000 38.2935
15100 38.4482
15200 38.5006
15300 38.7735
15400 38.9324
15500 39.3838
15600 39.6784
15700 40.1437
15800 40.7272
15900 40.9952
16000 41.52
16100 42.2108
16200 42.5122
16300 43.218
16400 43.4789
16500 43.6899
16600 44.2182
16700 44.8493
16800 45.424
16900 45.3975
17000 45.686
17100 46.0258
17200 46.2936
17300 46.6892
17400 47.05
17500 47.5838
17600 47.808
17700 47.9355
17800 48.7062
17900 49.2219
18000 50.0584
18100 50.5023
18200 51.1181
18300 51.3271
18400 52.1074
18500 52.8072
18600 53.4945
18700 54.0631
18800 54.9196
18900 55.3655
19000 55.8645
19100 56.3348
19200 56.7893
19300 57.6759
19400 58.7965
19500 59.825
19600 60.6359
19700 61.5756
19800 62.378
19900 63.2428
20000 64.1333
20100 64.9746
20200 65.5944
20300 66.6353
20400 67.4538
20500 68.0388
20600 68.8079
20700 69.8218
20800 70.3202
20900 71.1605
21000 72.094
21100 72.7037
21200 73.5545
21300 74.0673
21400 74.3528
21500 75.1339
21600 76.0634
21700 76.9103
21800 77.3193
21900 78.0212
22000 78.7153
22100 79.105
22200 79.5394
22300 79.7549
22400 79.8881
22500 80.0824
22600 80.1873
22700 80.3981
22800 80.2866
22900 80.1838
23000 80.67
23100 81.203
23200 81.7794
23300 81.7475
23400 82.173
23500 82.9452
23600 83.7022
23700 84.0882
23800 84.2556
23900 84.5675
24000 85.0146
24100 85.7965
24200 86.819
24300 87.2755
24400 87.8697
24500 87.9607
24600 87.9626
24700 88.2731
24800 88.2304
24900 88.8365
25000 89.55
25100 89.7481
25200 90.112
25300 89.941
25400 90.2491
25500 90.1618
25600 90.2615
25700 90.2742
25800 90.4554
25900 90.585
26000 90.9013
26100 91.5604
26200 92.3911
26300 93.2266
26400 93.1777
26500 93.8753
26600 94.4996
26700 95.3268
26800 96.2752
26900 96.6321
27000 97.5501
27100 97.9582
27200 99.139
27300 100.474
27400 101.369
27500 102.398
27600 102.825
27700 103.41
27800 104.302
27900 104.952
28000 105.48
28100 105.94
28200 106.674
28300 107.424
28400 108.119
28500 109.011
28600 110.236
28700 111.385
28800 112.744
28900 113.395
29000 113.918
29100 114.37
29200 115.08
29300 116.128
29400 116.947
29500 117.739
29600 118.19
29700 118.592
29800 119.507
29900 120.095
30000 120.352
30100 121.014
30200 122.114
30300 122.734
30400 123.928
30500 125.146
30600 126
30700 126.587
30800 127.039
30900 127.224
31000 128.305
31100 130.179
31200 131.54
31300 133.123
31400 133.755
31500 134.373
31600 135.716
31700 136.628
31800 137.948
31900 139.586
32000 140.834
32100 141.526
32200 142.38
32300 143.349
32400 144.485
32500 145.463
32600 146.173
32700 146.439
32800 146.285
32900 146.74
33000 147.583
33100 147.797
33200 148.182
33300 149.129
33400 149.82
33500 150.139
33600 150.991
33700 151.354
33800 151.857
33900 152.685
34000 154.071
34100 154.787
34200 155.962
34300 156.579
34400 157.135
34500 157.414
34600 157.98
34700 158.705
34800 159.942
34900 160.809
35000 160.846
35100 161.148
35200 161.721
35300 162.395
35400 163.275
35500 164.121
35600 165.284
35700 166.788
35800 167.387
35900 168.443
36000 169.129
36100 169.886
36200 170.198
36300 171.118
36400 172.365
36500 173.243
36600 173.927
36700 174.757
36800 175.899
36900 176.543
37000 177.093
37100 177.653
37200 179.124
37300 180.437
37400 182.194
37500 183.728
37600 185.135
37700 186.282
37800 188.136
37900 189.511
38000 190.306
38100 191.676
38200 192.61
38300 192.736
38400 192.973
38500 193.215
38600 193.299
38700 193.487
38800 194.102
38900 194.808
39000 195.283
39100 195.759
39200 196.001
39300 196.975
39400 198.002
39500 198.713
39600 198.934
39700 199.571
39800 200.497
39900 201.421
40000 202.665
