# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 25.8558
100 25.8602
200 25.869
300 25.8845
400 25.8926
500 25.8981
600 25.8943
700 25.8859
800 25.879
900 25.877
1000 25.893
1100 25.9105
1200 25.9096
1300 25.9147
1400 25.9165
1500 25.9181
1600 25.9127
1700 25.9053
1800 25.8963
1900 25.8865
2000 25.8715
2100 25.8665
2200 25.8535
2300 25.8627
2400 25.8575
2500 25.8512
2600 25.8423
2700 25.8082
2800 25.7761
2900 25.7607
3000 25.766
3100 25.7577
3200 25.7439
3300 25.7332
3400 25.7299
3500 25.7281
3600 25.7283
3700 25.7039
3800 25.6795
3900 25.669
4000 25.6664
4100 25.6622
4200 25.6582
4300 25.6444
4400 25.6433
4500 25.6335
4600 25.6471
4700 25.6521
4800 25.632
4900 25.6282
5000 25.6035
5100 25.6025
5200 25.6104
5300 25.6262
5400 25.6323
5500 25.6333
5600 25.6172
5700 25.6151
5800 25.6078
5900 25.5949
6000 25.5841
6100 25.5772
6200 25.5522
6300 25.5479
6400 25.5418
6500 25.5542
6600 25.5492
6700 25.5465
6800 25.5302
6900 25.5222
7000 25.5307
7100 25.5307
7200 25.5351
7300 25.5268
7400 25.502
7500 25.4843
7600 25.4827
7700 25.4627
7800 25.4513
7900 25.4418
8000 25.4482
8100 25.4398
8200 25.4332
8300 25.4319
8400 25.4155
8500 25.4204
8600 25.4492
8700 25.4733
8800 25.4796
8900 25.4838
9000 25.5029
9100 25.5004
9200 25.4966
9300 25.4938
9400 25.4994
9500 25.4971
9600 25.4909
9700 25.4945
9800 25.4952
9900 25.4962
10000 25.4866
10100 25.4739
10200 25.4528
10300 25.4427
10400 25.4308
10500 25.4119
10600 25.387
10700 25.3707
10800 25.3621
10900 25.3639
11000 25.3758
11100 25.3725
11200 25.3591
11300 25.3624
11400 25.3634
11500 25.3585
11600 25.3621
11700 25.3572
11800 25.3534
11900 25.3318
12000 25.3339
12100 25.3342
12200 25.3103
12300 25.2677
12400 25.2336
12500 25.225
12600 25.2261
12700 25.234
12800 25.259
12900 25.2802
13000 25.3058
13100 25.3248
13200 25.3232
13300 25.3287
13400 25.3392
13500 25.3392
13600 25.3555
13700 25.3679
13800 25.3678
13900 25.3726
14000 25.3838
14100 25.3803
14200 25.3847
14300 25.3902
14400 25.3881
14500 25.3961
14600 25.3989
14700 25.4087
14800 25.4169
14900 25.4284
15000 25.4413
15100 25.4507
15200 25.4591
15300 25.465
15400 25.4789
15500 25.4992
15600 25.5023
15700 25.5111
15800 25.5205
15900 25.5309
16000 25.5435
16100 25.5511
16200 25.5458
16300 25.5334
16400 25.5226
16500 25.506
16600 25.4925
16700 25.4938
16800 25.5027
16900 25.5022
17000 25.4988
17100 25.5062
17200 25.5245
17300 25.5316
17400 25.5403
17500 25.5306
17600 25.5243
17700 25.523
17800 25.5284
17900 25.5402
18000 25.5614
18100 25.5857
18200 25.5869
18300 25.6044
18400 25.6063
18500 25.6288
18600 25.6358
18700 25.6338
18800 25.6481
18900 25.65
19000 25.6443
19100 25.6307
19200 25.6249
19300 25.6225
19400 25.6122
19500 25.622
19600 25.6211
19700 25.627
19800 25.6264
19900 25.6331
20000 25.6252
20100 25.6351
20200 25.6454
20300 25.6619
20400 25.6591
20500 25.6583
20600 25.6818
20700 25.7221
20800 25.7324
20900 25.7506
21000 25.7679
21100 25.783
21200 25.7932
21300 25.8026
21400 25.8021
21500 25.7982
21600 25.7873
21700 25.8036
21800 25.7937
21900 25.7979
22000 25.8049
22100 25.817
22200 25.8272
22300 25.8535
22400 25.8736
22500 25.8649
22600 25.8651
22700 25.8827
22800 25.888
22900 25.9028
23000 25.922
23100 25.9227
23200 25.9223
23300 25.9154
23400 25.8986
23500 25.8904
23600 25.8935
23700 25.8857
23800 25.875
23900 25.8746
24000 25.8761
24100 25.8779
24200 25.8937
24300 25.9044
24400 25.9245
24500 25.9287
24600 25.9402
24700 25.9432
24800 25.9416
24900 25.9457
25000 25.9516
25100 25.9561
25200 25.9559
25300 25.9429
25400 25.9495
25500 25.952
25600 25.9695
25700 25.9966
25800 26.0008
25900 26.0113
26000 26.015
26100 26.0064
26200 26.0282
26300 26.0578
26400 26.0727
26500 26.0904
26600 26.1208
26700 26.1316
26800 26.1706
26900 26.1896
27000 26.2124
27100 26.2281
27200 26.2563
27300 26.277
27400 26.283
27500 26.2974
27600 26.3186
27700 26.3265
27800 26.3216
27900 26.3193
28000 26.3254
28100 26.3373
28200 26.3613
28300 26.3773
28400 26.3923
28500 26.4034
28600 26.4203
28700 26.4326
28800 26.4318
28900 26.445
29000 26.457
29100 26.4641
29200 26.4862
29300 26.5158
29400 26.5298
29500 26.5299
29600 26.5358
29700 26.5455
29800 26.5622
29900 26.5801
30000 26.6043
30100 26.628
30200 26.6389
30300 26.6656
30400 26.6728
30500 26.6863
30600 26.7048
30700 26.7216
30800 26.7217
30900 26.7185
31000 26.725
31100 26.7275
31200 26.7401
31300 26.7676
31400 26.7942
31500 26.8026
31600 26.8266
31700 26.8407
31800 26.8663
31900 26.889
32000 26.906
32100 26.9183
32200 26.9432
32300 26.9687
32400 26.9874
32500 27.007
32600 27.0138
32700 27.0172
32800 27.043
32900 27.0745
33000 27.0946
33100 27.1088
33200 27.1179
33300 27.1326
33400 27.1487
33500 27.1467
33600 27.1486
33700 27.1381
33800 27.1437
33900 27.1624
34000 27.1795
34100 27.1841
34200 27.1968
34300 27.1933
34400 27.1877
34500 27.1837
34600 27.1938
34700 27.2189
34800 27.2371
34900 27.2506
35000 27.241
35100 27.2394
35200 27.2293
35300 27.2119
35400 27.2049
35500 27.214
35600 27.2094
35700 27.2205
35800 27.2204
35900 27.222
36000 27.24
36100 27.2486
36200 27.2537
36300 27.2663
36400 27.2768
36500 27.2849
36600 27.2942
36700 27.2902
36800 27.2856
36900 27.3038
37000 27.3265
37100 27.3389
37200 27.355
37300 27.3734
37400 27.3903
37500 27.4045
37600 27.4129
37700 27.4339
37800 27.4448
37900 27.4647
38000 27.466
38100 27.4654
38200 27.4756
38300 27.4742
38400 27.4812
38500 27.4703
38600 27.4635
38700 27.4588
38800 27.4542
38900 27.4636
39000 27.4634
39100 27.4812
39200 27.4874
39300 27.4984
39400 27.505
39500 27.512
39600 27.4984
39700 27.4941
39800 27.496
39900 27.5074
40000 27.52
40100 27.5389
40200 27.55
40300 27.5552
40400 27.5454
40500 27.5747
40600 27.5889
40700 27.5912
40800 27.6087
40900 27.6311
41000 27.6298
41100 27.6293
41200 27.6472
41300 27.6753
41400 27.6843
41500 27.7059
41600 27.7216
41700 27.7186
41800 27.7204
41900 27.7109
42000 27.7038
42100 27.7076
42200 27.7247
42300 27.7243
42400 27.7298
42500 27.7281
42600 27.7235
42700 27.7237
42800 27.7148
42900 27.7186
43000 27.7233
43100 27.742
43200 27.7474
43300 27.7539
43400 27.7572
43500 27.7535
43600 27.7535
43700 27.7672
43800 27.789
43900 27.7936
44000 27.7887
44100 27.7739
44200 27.7655
44300 27.771
44400 27.7696
44500 27.7808
44600 27.7952
44700 27.7969
44800 27.7806
44900 27.7762
45000 27.7681
45100 27.7574
45200 27.7282
45300 27.7097
45400 27.7065
45500 27.7109
45600 27.7121
45700 27.7065
45800 27.6955
45900 27.6812
46000 27.6638
46100 27.6525
46200 27.6316
46300 27.6115
46400 27.5978
46500 27.5802
46600 27.5775
46700 27.5751
