# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 0
100 0.228332
200 0.511383
300 0.8235
400 1.1351
500 1.42286
600 1.66941
700 1.91847
800 2.14453
900 2.37828
1000 2.59428
1100 2.83155
1200 3.03786
1300 3.25657
1400 3.48431
1500 3.71761
1600 3.96192
1700 4.22427
1800 4.51966
1900 4.80798
2000 5.11389
2100 5.39684
2200 5.72808
2300 6.01735
2400 6.31231
2500 6.62327
2600 6.91585
2700 7.23652
2800 7.54868
2900 7.77455
3000 7.91734
3100 8.25894
3200 8.61834
3300 8.92398
3400 9.15497
3500 9.41302
3600 9.60488
3700 9.85085
3800 10.1329
3900 10.4401
4000 10.7479
4100 11.1522
4200 11.4719
4300 11.7726
4400 12.0594
4500 12.4312
4600 12.8328
4700 13.0922
4800 13.3133
4900 13.6203
5000 13.9307
5100 14.1567
5200 14.5549
5300 14.94
5400 15.2541
5500 15.4732
5600 15.6821
5700 15.8406
5800 15.9521
5900 16.1504
6000 16.5988
6100 16.8107
6200 16.9309
6300 17.1906
6400 17.4248
6500 17.6637
6600 18.0513
6700 18.4634
6800 18.8529
6900 19.0444
7000 19.3969
7100 19.9106
7200 20.4484
7300 20.8199
7400 21.0312
7500 21.3279
7600 21.4782
7700 21.8765
7800 22.2173
7900 22.5403
8000 22.9621
8100 23.3081
8200 23.7533
8300 24.2777
8400 24.642
8500 24.8496
8600 25.0128
8700 25.4626
8800 25.8002
8900 26.0461
9000 26.2846
9100 26.7192
9200 26.8691
9300 27.0251
9400 27.5292
9500 27.8546
9600 28.1173
9700 28.3814
9800 28.6958
9900 28.9308
10000 29.0129
10100 29.2281
10200 29.4058
10300 29.6223
10400 30.1217
10500 30.3268
10600 30.6376
10700 31.1218
10800 31.6231
10900 31.909
11000 32.3393
11100 32.6429
11200 32.85
11300 33.1741
11400 33.4307
11500 33.7452
11600 33.9916
11700 34.086
11800 34.3054
11900 34.5993
12000 34.834
12100 35.1619
12200 35.5868
12300 35.93
12400 36.031
12500 36.2661
12600 36.6883
12700 37.0341
12800 37.2054
12900 37.3306
13000 37.6995
13100 38.083
13200 38.2713
13300 38.4124
13400 38.686
13500 38.896
13600 39.0308
13700 39.3031
13800 39.408
13900 39.6504
14000 39.8228
14100 39.8043
14200 39.9686
14300 40.1809
14400 40.322
14500 40.5913
14600 40.9699
14700 41.3765
14800 41.7208
14900 42.0565
15000 42.3594
15100 42.592
15200 42.7005
15300 42.944
15400 43.2379
15500 43.7765
15600 44.0442
15700 44.5288
15800 44.8896
15900 45.0522
