# Time-averaged data for fix msd_avg_A
# TimeStep c_msd_A[4]
0 1.55406e-29
100 0.256606
200 0.564541
300 0.889678
400 1.16999
500 1.41926
600 1.66325
700 1.94158
800 2.19837
900 2.46305
1000 2.69493
1100 2.98794
1200 3.15458
1300 3.35845
1400 3.57898
1500 3.81124
1600 4.03715
1700 4.30002
1800 4.57611
1900 4.90641
2000 5.18198
2100 5.40882
2200 5.70201
2300 5.96201
2400 6.26641
2500 6.48289
2600 6.80279
2700 7.18931
2800 7.5317
2900 7.72007
3000 7.82262
3100 8.04247
3200 8.3906
3300 8.70532
3400 8.96856
3500 9.22404
3600 9.53339
3700 9.77277
3800 10.0394
3900 10.4488
4000 10.7795
4100 11.0643
4200 11.3585
4300 11.6591
4400 11.9328
4500 12.4221
4600 12.9407
4700 13.2692
4800 13.4235
4900 13.646
5000 13.9352
5100 14.0849
5200 14.3981
5300 14.809
5400 14.9822
5500 15.0622
5600 15.2
5700 15.376
5800 15.4901
5900 15.6975
6000 16.1033
6100 16.3359
6200 16.58
6300 17.0131
6400 17.3013
6500 17.545
6600 18.0217
6700 18.4559
6800 18.8802
6900 19.2288
7000 19.7338
7100 20.442
7200 20.8532
7300 21.3132
7400 21.5473
7500 21.8996
7600 22.0289
7700 22.277
7800 22.6226
7900 22.8895
8000 23.2687
8100 23.4025
8200 23.7981
8300 24.3837
8400 24.6012
8500 24.791
8600 24.8854
8700 25.289
8800 25.4702
8900 25.6927
9000 26.0939
9100 26.524
9200 26.7832
9300 27.0891
9400 27.6445
9500 27.9974
9600 28.3011
9700 28.7752
9800 28.9543
9900 29.3049
10000 29.2609
10100 29.3631
10200 29.6175
10300 29.9835
10400 30.444
10500 30.8897
10600 31.3391
10700 31.7562
10800 32.3621
10900 32.6511
11000 32.8553
11100 33.261
11200 33.3367
11300 33.6729
11400 33.9727
11500 34.2683
11600 34.6503
11700 34.8303
11800 35.2563
11900 35.6744
12000 35.9625
12100 36.5395
12200 37.0995
12300 37.3277
12400 37.4775
12500 37.8664
12600 38.2678
12700 38.4747
12800 38.6672
12900 38.5872
13000 39.096
13100 39.6847
13200 40.0382
13300 40.2323
13400 40.162
13500 40.5114
13600 40.8154
13700 41.0109
13800 41.0983
13900 41.2026
14000 41.2975
14100 41.3262
14200 41.4016
14300 41.5904
14400 41.8875
14500 42.5242
14600 42.9687
14700 43.4704
14800 43.6778
14900 44.2086
15000 44.3225
15100 44.6071
15200 44.7139
15300 44.8971
15400 45.2826
15500 45.8767
15600 46.0684
15700 46.4853
15800 46.6569
15900 46.763
16000 46.6563
16100 46.4146
16200 46.6503
16300 46.5255
16400 46.9168
16500 47.4261
16600 47.8316
16700 48.0011
16800 48.4868
16900 49.0966
17000 49.452
17100 49.8684
17200 50.2463
17300 50.2643
17400 50.6515
17500 50.8261
17600 51.0716
17700 51.1982
17800 51.3832
17900 51.439
18000 51.4596
18100 51.8356
18200 52.0679
18300 52.7085
18400 53.0388
18500 53.5212
18600 53.7253
18700 54.3324
18800 55.1552
18900 55.8372
19000 56.2271
19100 57.4083
19200 58.3448
19300 59.0422
19400 59.9213
19500 60.6746
19600 61.341
19700 62.0502
19800 62.6232
19900 63.4221
20000 64.4074
20100 64.9248
20200 65.4222
20300 66.0492
20400 66.7421
20500 67.2709
20600 67.6428
20700 68.6946
20800 69.3373
20900 69.3582
21000 69.6251
21100 70.2052
21200 71.0309
21300 71.7373
21400 72.3648
21500 73.039
21600 73.4734
21700 73.7239
21800 74.1946
21900 74.4379
22000 74.2856
22100 74.4896
22200 75.0794
22300 75.516
22400 76.3523
22500 77.2333
22600 77.6796
22700 77.9851
22800 78.757
22900 79.3773
23000 80.0581
23100 80.3528
23200 80.7762
23300 81.2948
23400 81.5991
23500 81.8161
23600 81.9804
23700 82.2664
23800 82.654
23900 83.5502
24000 84.1348
24100 84.5389
24200 84.7157
24300 85.4878
24400 85.7254
24500 86.2944
24600 86.7484
24700 87.1491
24800 87.558
24900 87.5351
25000 87.5043
25100 87.6972
25200 87.8621
25300 88.1747
25400 88.1273
25500 88.3519
25600 88.6042
25700 89.3934
25800 89.7999
25900 90.1677
26000 90.8174
26100 91.5486
26200 92.372
26300 92.6589
26400 93.0449
26500 93.4512
26600 94.088
26700 94.777
26800 95.0043
26900 95.7013
27000 95.932
27100 96.038
27200 95.8163
27300 96.1014
27400 96.4825
27500 96.7795
27600 97.1261
27700 97.6594
27800 98.1312
27900 98.934
28000 99.9225
28100 100.479
28200 101.7
28300 103.09
28400 104.305
28500 105.17
28600 106.005
28700 106.506
28800 106.446
28900 106.75
29000 107.37
29100 107.669
29200 107.944
29300 108.398
29400 108.79
29500 109.702
29600 110.557
29700 111.232
29800 112.088
29900 113.147
30000 114.333
30100 114.891
30200 115.441
30300 116.042
30400 116.673
30500 117.696
30600 118.733
30700 119.286
30800 120.037
30900 120.791
31000 121.178
31100 121.776
31200 122.32
31300 123.071
31400 124.328
31500 125.128
31600 125.553
31700 126.217
31800 126.928
31900 127.387
32000 127.549
32100 128.497
32200 129.27
32300 129.725
32400 130.262
32500 130.785
32600 131.745
32700 133.044
32800 134.764
32900 135.601
33000 136.607
33100 138.067
33200 139.241
33300 140.086
33400 140.992
33500 141.99
33600 142.764
33700 143.962
33800 144.723
33900 144.939
34000 145.727
34100 146.651
34200 146.961
34300 147.811
34400 148.702
34500 149.501
34600 149.924
34700 150.418
34800 150.528
34900 150.975
35000 152.042
35100 152.444
35200 152.776
35300 152.779
35400 152.608
35500 152.837
35600 153.174
35700 153.108
35800 153.573
35900 154.085
36000 154.879
36100 155.156
36200 155.955
36300 156.079
36400 155.884
36500 156.374
36600 156.61
36700 156.892
36800 156.86
36900 157.126
37000 157.721
37100 158.254
37200 158.536
37300 158.552
37400 158.495
37500 158.654
37600 159.132
37700 159.74
37800 160.136
37900 160.676
38000 161.9
38100 162.69
38200 163.677
38300 164.603
38400 165.473
38500 166.565
38600 167.445
38700 167.899
38800 168.326
38900 168.721
39000 169.852
39100 171.009
39200 171.992
39300 172.594
39400 173.146
39500 173.772
39600 174.437
39700 175.346
39800 175.61
39900 175.921
40000 176.783
40100 177.669
40200 178.204
40300 179.064
40400 180.01
40500 181.191
40600 182.686
40700 184.583
40800 186.409
40900 188.834
41000 190.7
41100 191.083
41200 191.389
41300 192.004
41400 192.763
41500 192.8
41600 193.116
41700 193.259
41800 194.193
41900 195.105
42000 195.285
42100 195.374
42200 195.877
42300 196.256
42400 196.838
42500 196.92
42600 197.237
42700 197.713
42800 198.046
42900 197.406
43000 196.586
43100 195.774
43200 195.336
43300 195.734
43400 195.985
43500 195.618
43600 195.612
43700 196.348
43800 196.826
43900 197.181
44000 197.713
44100 198.744
44200 199.407
44300 199.231
44400 199.344
44500 199.897
44600 201.069
44700 201.36
44800 201.808
44900 202.038
45000 201.589
45100 201.331
45200 199.578
45300 198.648
45400 198.512
45500 198.624
45600 198.425
45700 197.879
45800 197.688
45900 197.819
46000 197.618
46100 196.53
46200 195.562
46300 194.842
46400 195.305
46500 194.554
46600 194.755
46700 195.011
46800 195.984
46900 197.352
47000 197.789
47100 198.046
47200 197.656
47300 197.8
47400 198.028
47500 198.125
47600 199.313
47700 199.691
47800 200.138
47900 200.299
48000 200.253
48100 200.422
48200 200.367
48300 200.826
48400 201.361
48500 201.994
48600 201.962
48700 202.143
48800 202.326
48900 202.498
49000 202.056
49100 201.872
49200 201.808
49300 201.84
49400 201.179
49500 200.781
49600 200.432
49700 200.015
49800 199.414
49900 199.268
50000 198.811
50100 198.577
50200 199.076
50300 199.428
50400 199.613
50500 199.323
50600 199.289
50700 199.702
50800 200.016
50900 199.583
51000 199.855
51100 199.607
51200 199.217
51300 198.659
51400 198.472
51500 198.195
51600 197.505
51700 198.019
51800 197.542
51900 197.036
52000 197.38
52100 197.431
52200 198.322
52300 198.354
52400 197.611
52500 197.501
52600 197.819
52700 197.44
52800 198.21
52900 198.267
53000 198.259
53100 198.33
53200 197.929
53300 198.087
53400 197.965
53500 198.538
53600 198.5
53700 198.058
53800 197.489
53900 197.626
54000 197.821
54100 197.861
54200 197.744
54300 197.981
54400 197.973
54500 197.745
54600 197.579
54700 197.983
54800 198.529
54900 198.846
55000 199.295
55100 198.522
55200 197.923
55300 198.436
55400 198.363
55500 198.816
55600 199.851
55700 200.229
55800 200.602
55900 200.701
56000 200.922
56100 200.882
56200 201.212
56300 201.269
56400 201.634
56500 201.661
56600 202.276
