# Time-averaged data for fix msd_avg_B
# TimeStep c_msd_B[4]
0 2.52611e-29
100 0.238043
200 0.495716
300 0.78387
400 0.974234
500 1.15623
600 1.36188
700 1.57871
800 1.75003
900 1.94344
1000 2.17961
1100 2.42706
1200 2.66192
1300 2.89502
1400 3.0406
1500 3.20032
1600 3.34147
1700 3.50688
1800 3.63486
1900 3.7711
2000 3.76565
2100 3.86898
2200 3.94049
2300 4.00096
2400 4.09125
2500 4.27361
2600 4.40528
2700 4.50036
2800 4.63248
2900 4.71737
3000 4.94497
3100 5.11338
3200 5.2956
3300 5.53351
3400 5.60412
3500 5.69856
3600 5.83762
3700 5.9217
3800 6.01965
3900 6.23462
4000 6.40475
4100 6.5535
4200 6.72015
4300 6.8445
4400 6.93188
4500 6.99708
4600 7.14263
4700 7.35434
4800 7.48577
4900 7.65495
5000 7.80056
5100 7.79282
5200 7.75552
5300 7.74664
5400 7.79877
5500 7.85464
5600 7.98786
5700 8.11985
5800 8.19187
5900 8.27687
6000 8.49914
6100 8.72026
6200 8.85146
6300 9.00322
6400 9.06943
6500 9.14936
6600 9.26463
6700 9.32415
6800 9.43913
6900 9.50772
7000 9.67179
7100 9.89775
7200 9.9916
7300 10.2009
7400 10.4194
7500 10.554
7600 10.5785
7700 10.473
7800 10.5065
7900 10.6235
8000 10.6944
8100 10.8506
8200 11.1011
8300 11.1736
8400 11.3282
8500 11.5587
8600 11.7243
8700 11.8569
8800 12.0466
8900 12.4359
9000 12.7256
9100 13.0202
9200 13.2306
9300 13.5283
9400 13.7861
9500 14.0548
9600 14.1552
9700 14.3305
9800 14.4785
9900 14.7598
10000 15.0608
10100 15.2052
10200 15.3204
10300 15.5235
10400 15.7803
10500 15.8894
10600 15.9537
10700 16.0925
10800 16.3253
10900 16.317
11000 16.3324
11100 16.4665
11200 16.7029
11300 16.5804
11400 16.6054
11500 16.5881
11600 16.5952
11700 16.5874
11800 16.6289
11900 16.7325
12000 16.9168
12100 16.9425
12200 17.1183
12300 17.1161
12400 17.1573
12500 17.1962
12600 17.4009
12700 17.4426
12800 17.5745
