# Time-averaged data for fix rg_avg_A
# TimeStep c_rg_A
0 26.0334
100 26.0438
200 26.0468
300 26.0354
400 26.0249
500 26.0448
600 26.0543
700 26.0565
800 26.0486
900 26.0416
1000 26.062
1100 26.0495
1200 26.0433
1300 26.0395
1400 26.0455
1500 26.038
1600 26.0361
1700 26.0402
1800 26.0482
1900 26.0502
2000 26.0585
2100 26.0786
2200 26.09
2300 26.1043
2400 26.1146
2500 26.1275
2600 26.1285
2700 26.1212
2800 26.1342
2900 26.1457
3000 26.1478
3100 26.1541
3200 26.1596
3300 26.1705
3400 26.142
3500 26.1533
3600 26.1525
3700 26.1627
3800 26.1752
3900 26.1921
4000 26.2143
4100 26.2224
4200 26.2429
4300 26.272
4400 26.3041
4500 26.3126
4600 26.3219
4700 26.3321
4800 26.346
4900 26.3569
5000 26.381
5100 26.3905
5200 26.4166
5300 26.4538
5400 26.4598
5500 26.4535
5600 26.4405
5700 26.4489
5800 26.4566
5900 26.4677
6000 26.4646
6100 26.4546
6200 26.4533
6300 26.4486
6400 26.4636
6500 26.487
6600 26.4877
6700 26.502
6800 26.5528
6900 26.5867
7000 26.5873
7100 26.5699
7200 26.5463
7300 26.5617
7400 26.5617
7500 26.5619
7600 26.5666
7700 26.5748
7800 26.5762
7900 26.5796
8000 26.5719
8100 26.5903
8200 26.6
8300 26.5983
8400 26.6325
8500 26.6586
8600 26.6786
8700 26.7134
8800 26.7288
8900 26.7519
9000 26.7512
9100 26.7572
9200 26.7688
9300 26.7754
9400 26.7975
9500 26.8063
9600 26.8186
9700 26.8297
9800 26.8477
9900 26.8598
10000 26.8689
10100 26.8739
10200 26.8977
10300 26.9209
10400 26.936
10500 26.9523
10600 26.9324
10700 26.9246
10800 26.9411
10900 26.9504
11000 26.9361
11100 26.9472
11200 26.9543
11300 26.9876
11400 27.0234
11500 27.0594
11600 27.0638
11700 27.0592
11800 27.0617
11900 27.0485
12000 27.0373
12100 27.0381
12200 27.0453
12300 27.0512
12400 27.0708
12500 27.1004
12600 27.109
12700 27.1232
12800 27.1528
12900 27.1724
13000 27.2144
13100 27.2229
13200 27.22
13300 27.2321
13400 27.2404
13500 27.238
13600 27.2456
13700 27.2554
13800 27.2703
13900 27.2789
14000 27.2728
14100 27.2678
14200 27.25
14300 27.2529
14400 27.2493
14500 27.2438
14600 27.2402
14700 27.2449
14800 27.251
14900 27.272
15000 27.2801
15100 27.2932
15200 27.293
15300 27.3257
15400 27.3241
15500 27.334
15600 27.3686
15700 27.3936
15800 27.4195
15900 27.4467
16000 27.4824
16100 27.4858
16200 27.4719
16300 27.4997
16400 27.513
16500 27.503
16600 27.5072
16700 27.5297
16800 27.5392
16900 27.5464
17000 27.5724
17100 27.5819
17200 27.5846
17300 27.565
17400 27.5524
17500 27.5584
17600 27.5665
17700 27.57
17800 27.591
17900 27.6237
18000 27.6611
18100 27.7083
18200 27.7528
18300 27.7651
18400 27.7914
18500 27.8181
18600 27.8445
18700 27.8498
18800 27.8388
18900 27.8404
19000 27.8595
19100 27.8837
19200 27.931
19300 27.9779
19400 27.9928
19500 27.9965
19600 28.0107
19700 28.0126
19800 27.9869
19900 27.9858
20000 27.9891
20100 27.9756
20200 27.9658
20300 27.9503
20400 27.9633
20500 27.9726
20600 27.9688
20700 27.9616
20800 27.9581
20900 27.9652
21000 27.9773
21100 28.0102
21200 28.0433
21300 28.0644
21400 28.1085
21500 28.1162
21600 28.1365
21700 28.1383
21800 28.1562
21900 28.1564
22000 28.1373
22100 28.1258
22200 28.1345
22300 28.1637
22400 28.1868
22500 28.1925
22600 28.2277
22700 28.2352
22800 28.231
22900 28.232
23000 28.2324
23100 28.2621
23200 28.2835
23300 28.2844
23400 28.2764
23500 28.303
23600 28.3363
23700 28.3466
23800 28.3553
23900 28.3499
24000 28.3586
24100 28.3682
24200 28.3784
24300 28.389
24400 28.4246
24500 28.4479
24600 28.4402
24700 28.4498
24800 28.4754
24900 28.4605
25000 28.4466
25100 28.4568
25200 28.4765
25300 28.4777
25400 28.4869
25500 28.5086
