# Time-averaged data for fix rg_avg_B
# TimeStep c_rg_B
0 21.3144
100 21.329
200 21.3474
300 21.3459
400 21.345
500 21.3563
600 21.3639
700 21.3864
800 21.4183
900 21.4319
1000 21.461
1100 21.4878
1200 21.5245
1300 21.5438
1400 21.5351
1500 21.5384
1600 21.533
1700 21.5429
1800 21.559
1900 21.5868
2000 21.5848
2100 21.5933
2200 21.6181
2300 21.6367
2400 21.6596
2500 21.674
2600 21.6762
2700 21.6807
2800 21.7015
2900 21.7125
3000 21.7116
3100 21.6981
3200 21.7032
3300 21.71
3400 21.708
3500 21.7266
3600 21.7436
3700 21.7607
3800 21.7743
3900 21.8145
4000 21.832
4100 21.8422
4200 21.8757
4300 21.9096
4400 21.9376
4500 21.9649
4600 22.0055
4700 21.9935
4800 21.9812
4900 21.9974
5000 22.0318
5100 22.0596
5200 22.0695
5300 22.0587
5400 22.0392
5500 22.0249
5600 22.03
5700 22.0417
5800 22.0528
5900 22.0575
6000 22.0717
6100 22.0709
6200 22.0704
6300 22.0718
6400 22.0888
6500 22.0948
6600 22.0886
6700 22.0854
6800 22.0916
6900 22.0949
7000 22.0827
7100 22.0844
7200 22.0938
7300 22.0989
7400 22.1011
7500 22.1082
7600 22.1146
7700 22.1201
7800 22.138
7900 22.1813
8000 22.1893
8100 22.1947
8200 22.1965
8300 22.206
8400 22.2072
8500 22.1964
8600 22.1945
8700 22.1971
8800 22.1786
8900 22.1847
9000 22.1801
9100 22.1749
9200 22.1747
9300 22.1898
9400 22.1932
9500 22.2031
9600 22.2176
9700 22.2219
9800 22.2215
9900 22.2148
10000 22.2082
10100 22.2113
10200 22.2256
10300 22.2384
10400 22.2357
10500 22.2535
10600 22.2669
10700 22.2968
10800 22.3027
10900 22.2992
11000 22.2826
11100 22.2678
11200 22.263
11300 22.2642
11400 22.2752
11500 22.2802
11600 22.2836
11700 22.2768
11800 22.2743
11900 22.2808
12000 22.2836
12100 22.2826
12200 22.2914
12300 22.2983
12400 22.3126
12500 22.3258
12600 22.3266
12700 22.3285
12800 22.3627
12900 22.3725
13000 22.3983
13100 22.3936
13200 22.3755
13300 22.3828
13400 22.4063
13500 22.4345
13600 22.4508
13700 22.4799
13800 22.4759
13900 22.4795
14000 22.4927
14100 22.5026
14200 22.5123
14300 22.5254
14400 22.527
14500 22.5203
14600 22.5066
14700 22.5021
14800 22.5212
14900 22.5144
15000 22.4993
15100 22.4855
15200 22.4639
15300 22.4497
15400 22.451
15500 22.4372
15600 22.4013
15700 22.3778
15800 22.3687
15900 22.3677
16000 22.3615
16100 22.3702
16200 22.3848
16300 22.3683
16400 22.3409
16500 22.3248
16600 22.3002
16700 22.269
16800 22.2532
16900 22.2588
17000 22.2504
17100 22.2506
17200 22.2547
17300 22.278
17400 22.2767
17500 22.2839
17600 22.2882
17700 22.3241
17800 22.3283
17900 22.339
18000 22.3498
18100 22.3784
18200 22.3917
18300 22.4176
18400 22.411
18500 22.4106
18600 22.4345
18700 22.4353
18800 22.4295
18900 22.4333
19000 22.4239
19100 22.4386
19200 22.4553
19300 22.4597
19400 22.4744
19500 22.4921
19600 22.5044
19700 22.4962
19800 22.4896
19900 22.4972
20000 22.4774
20100 22.4722
20200 22.5013
20300 22.5248
20400 22.5152
20500 22.5132
20600 22.5227
20700 22.5319
20800 22.5379
20900 22.5493
21000 22.5643
21100 22.5799
21200 22.5867
21300 22.5937
21400 22.6026
21500 22.6288
21600 22.6521
21700 22.6486
21800 22.6556
21900 22.64
22000 22.605
22100 22.5896
22200 22.5737
22300 22.5769
22400 22.5866
22500 22.5992
22600 22.6052
22700 22.6119
22800 22.6495
22900 22.6605
23000 22.6495
23100 22.6518
23200 22.6746
23300 22.6782
23400 22.6841
23500 22.6798
23600 22.6568
23700 22.6864
23800 22.7152
23900 22.7669
24000 22.7868
24100 22.8002
24200 22.7965
24300 22.8214
24400 22.8327
24500 22.8156
24600 22.817
24700 22.8301
24800 22.8647
24900 22.8834
25000 22.8998
25100 22.9097
25200 22.9189
25300 22.9368
25400 22.9573
25500 22.9784
25600 22.996
25700 23.01
25800 23.0183
25900 23.0292
26000 23.0325
26100 23.0402
26200 23.0479
26300 23.0497
26400 23.0411
26500 23.0154
26600 22.9906
26700 22.9866
26800 22.9955
26900 22.9909
27000 23.0037
27100 23.0357
27200 23.0784
27300 23.101
27400 23.1146
27500 23.1133
27600 23.1093
27700 23.1032
27800 23.1112
27900 23.1239
28000 23.1175
28100 23.1151
28200 23.1348
28300 23.134
28400 23.1368
28500 23.1375
28600 23.1233
28700 23.1196
28800 23.1353
28900 23.1451
29000 23.1172
29100 23.1325
29200 23.1397
29300 23.142
29400 23.1518
29500 23.1843
29600 23.2145
29700 23.2365
29800 23.2496
29900 23.2719
30000 23.2941
30100 23.3088
30200 23.3157
30300 23.3273
30400 23.3447
30500 23.3618
30600 23.3724
30700 23.3783
30800 23.3773
30900 23.3689
31000 23.359
31100 23.3621
31200 23.3754
31300 23.3985
31400 23.4068
31500 23.4053
31600 23.4082
31700 23.4142
31800 23.4207
31900 23.4173
32000 23.4148
32100 23.4053
32200 23.401
32300 23.3757
32400 23.3614
32500 23.3463
32600 23.3385
32700 23.3503
32800 23.3659
32900 23.38
33000 23.3921
33100 23.42
33200 23.4257
33300 23.428
33400 23.4141
33500 23.4132
33600 23.4209
33700 23.4265
33800 23.3959
33900 23.3981
34000 23.4051
34100 23.4005
34200 23.4177
34300 23.4541
34400 23.4946
34500 23.5396
34600 23.5672
34700 23.5956
34800 23.6261
34900 23.6394
35000 23.6375
35100 23.6447
35200 23.6464
35300 23.6452
35400 23.6471
35500 23.6372
35600 23.6419
35700 23.6425
35800 23.6717
35900 23.6952
36000 23.6976
36100 23.6829
36200 23.673
36300 23.6671
36400 23.6804
36500 23.7
36600 23.7238
36700 23.7235
36800 23.7363
36900 23.7359
37000 23.7205
37100 23.6938
37200 23.6768
37300 23.651
37400 23.66
37500 23.6734
37600 23.6804
37700 23.6737
37800 23.6608
37900 23.6468
38000 23.6483
38100 23.6488
38200 23.647
38300 23.6398
38400 23.6355
38500 23.642
38600 23.6442
38700 23.6581
38800 23.6622
38900 23.6922
39000 23.6882
39100 23.7085
39200 23.7063
39300 23.7131
39400 23.715
39500 23.7079
39600 23.7072
39700 23.7109
39800 23.7014
39900 23.7258
40000 23.7372
40100 23.7488
40200 23.7721
40300 23.764
40400 23.7629
40500 23.7873
40600 23.7863
40700 23.7908
40800 23.7989
40900 23.7978
41000 23.7993
41100 23.7855
41200 23.8013
41300 23.8028
41400 23.7875
41500 23.7713
41600 23.7628
41700 23.7725
41800 23.7831
41900 23.7938
42000 23.7873
42100 23.7895
42200 23.7961
42300 23.7821
42400 23.7662
42500 23.7587
42600 23.7572
42700 23.7727
42800 23.7902
42900 23.8091
43000 23.8094
43100 23.8228
43200 23.8155
43300 23.826
43400 23.8492
43500 23.8478
43600 23.8383
43700 23.8185
43800 23.8108
43900 23.8011
44000 23.7999
44100 23.8
44200 23.8106
44300 23.8067
44400 23.8288
44500 23.8255
44600 23.8067
44700 23.7941
44800 23.8193
44900 23.858
45000 23.882
45100 23.9056
45200 23.9268
45300 23.9439
45400 23.9576
45500 23.9704
45600 23.9792
45700 23.982
45800 23.9886
45900 24.0148
46000 24.0262
46100 24.0449
46200 24.0422
46300 24.0493
46400 24.0604
46500 24.064
46600 24.0708
46700 24.0663
46800 24.0783
46900 24.1014
47000 24.0952
47100 24.1071
47200 24.1342
47300 24.1621
47400 24.1639
47500 24.1761
47600 24.1799
47700 24.1852
47800 24.1885
47900 24.1882
48000 24.1803
48100 24.1762
48200 24.1785
48300 24.2053
48400 24.2236
48500 24.2352
48600 24.2694
48700 24.292
48800 24.3174
48900 24.3338
49000 24.3528
49100 24.3627
49200 24.3699
49300 24.381
49400 24.3812
49500 24.3745
49600 24.3823
49700 24.3978
49800 24.3978
49900 24.4003
50000 24.377
50100 24.372
50200 24.3946
50300 24.4067
50400 24.4131
50500 24.4223
50600 24.4343
50700 24.4541
50800 24.46
50900 24.4894
51000 24.5165
51100 24.5324
51200 24.5624
51300 24.5736
51400 24.5873
51500 24.5888
51600 24.5895
51700 24.5957
51800 24.5949
51900 24.6045
52000 24.6062
52100 24.619
52200 24.6081
52300 24.5843
52400 24.5976
52500 24.5928
52600 24.6027
52700 24.5915
52800 24.5907
52900 24.5968
53000 24.5727
53100 24.5556
53200 24.5523
53300 24.5554
53400 24.5499
53500 24.56
53600 24.5553
53700 24.5645
53800 24.5879
53900 24.5713
54000 24.5608
54100 24.5607
54200 24.5749
54300 24.5825
54400 24.5834
54500 24.5806
54600 24.5856
54700 24.5721
54800 24.5626
54900 24.5524
55000 24.5422
55100 24.541
55200 24.5438
55300 24.549
55400 24.5407
55500 24.5298
55600 24.5073
55700 24.4863
55800 24.4716
55900 24.4707
56000 24.4648
56100 24.4503
56200 24.4284
56300 24.4376
56400 24.4588
56500 24.4406
56600 24.4295
56700 24.4056
56800 24.3899
56900 24.3598
57000 24.3437
57100 24.3367
57200 24.331
57300 24.3187
57400 24.3
57500 24.2949
57600 24.2851
57700 24.2677
57800 24.2682
57900 24.2607
58000 24.2307
58100 24.2395
58200 24.2317
58300 24.2173
58400 24.2079
58500 24.2075
58600 24.211
58700 24.2007
58800 24.1921
58900 24.1845
59000 24.186
59100 24.1764
59200 24.1593
59300 24.1578
59400 24.1555
59500 24.1544
59600 24.1689
59700 24.1733
59800 24.1901
59900 24.2074
60000 24.1905
60100 24.1818
60200 24.1803
60300 24.1912
60400 24.2061
60500 24.207
60600 24.2085
60700 24.2301
60800 24.2423
60900 24.2617
61000 24.2664
61100 24.293
61200 24.317
61300 24.3144
61400 24.3092
61500 24.3045
61600 24.3121
61700 24.3077
61800 24.3038
61900 24.3008
62000 24.3282
62100 24.3538
62200 24.3801
62300 24.3761
62400 24.3707
62500 24.405
62600 24.4269
62700 24.4392
62800 24.454
62900 24.4447
63000 24.4376
63100 24.4236
63200 24.4283
63300 24.4168
63400 24.3855
63500 24.3605
63600 24.3275
63700 24.2923
63800 24.2958
63900 24.3027
64000 24.3072
64100 24.318
64200 24.3116
64300 24.3103
64400 24.302
64500 24.3037
64600 24.291
64700 24.2871
64800 24.2701
64900 24.2469
65000 24.2671
65100 24.2849
65200 24.2942
65300 24.2985
65400 24.2993
65500 24.3137
65600 24.3414
65700 24.3791
65800 24.397
65900 24.4191
66000 24.4379
66100 24.4429
66200 24.4454
66300 24.4279
66400 24.4033
66500 24.4077
66600 24.4001
66700 24.4258
66800 24.4418
66900 24.4309
67000 24.434
67100 24.455
67200 24.4684
67300 24.5053
67400 24.5533
67500 24.5759
67600 24.5913
67700 24.5916
67800 24.5986
67900 24.6072
68000 24.6054
68100 24.5954
68200 24.5808
68300 24.5742
68400 24.5544
68500 24.5316
68600 24.5533
68700 24.5843
68800 24.5943
68900 24.6256
69000 24.649
69100 24.6746
69200 24.6829
69300 24.6937
69400 24.699
69500 24.6944
69600 24.7125
69700 24.7028
69800 24.6891
69900 24.7047
70000 24.7168
70100 24.7135
70200 24.721
70300 24.7331
70400 24.7284
70500 24.7067
70600 24.702
70700 24.7021
70800 24.6993
70900 24.6971
71000 24.7064
71100 24.718
71200 24.7201
71300 24.6983
71400 24.7024
71500 24.7185
71600 24.72
71700 24.711
71800 24.6972
71900 24.7174
72000 24.7251
72100 24.7399
72200 24.7624
72300 24.7894
72400 24.8023
72500 24.813
72600 24.8187
72700 24.7944
72800 24.7737
72900 24.7517
73000 24.742
73100 24.7818
73200 24.7948
73300 24.8203
73400 24.8239
73500 24.8241
73600 24.8253
73700 24.8133
73800 24.8078
73900 24.7853
74000 24.8082
74100 24.8142
74200 24.7867
74300 24.7776
74400 24.7839
74500 24.7828
74600 24.7579
74700 24.7333
74800 24.726
74900 24.7303
75000 24.7465
75100 24.7423
75200 24.7229
75300 24.7083
75400 24.704
75500 24.681
75600 24.6524
75700 24.6532
75800 24.6719
75900 24.6912
76000 24.7068
76100 24.7044
76200 24.7129
76300 24.7049
76400 24.6953
76500 24.704
76600 24.702
76700 24.6836
76800 24.674
76900 24.6752
77000 24.6833
77100 24.6972
77200 24.7006
77300 24.7079
77400 24.7029
77500 24.6899
77600 24.6744
77700 24.6724
77800 24.6763
77900 24.6828
78000 24.6937
78100 24.7017
78200 24.6917
78300 24.692
78400 24.6854
78500 24.6807
78600 24.6822
78700 24.6753
78800 24.6803
78900 24.6772
79000 24.6729
79100 24.6805
79200 24.67
79300 24.6534
79400 24.6298
79500 24.62
79600 24.6189
79700 24.61
79800 24.613
79900 24.624
80000 24.5882
80100 24.5826
80200 24.5778
80300 24.5799
80400 24.5818
80500 24.5866
80600 24.5894
80700 24.5806
80800 24.5611
80900 24.5424
81000 24.5287
81100 24.5145
81200 24.5077
81300 24.5299
81400 24.5379
81500 24.5585
81600 24.5874
81700 24.6115
81800 24.6148
81900 24.5983
82000 24.5803
82100 24.5712
82200 24.5662
82300 24.5734
82400 24.5763
82500 24.5843
82600 24.5677
82700 24.5383
82800 24.5339
82900 24.5358
83000 24.5478
83100 24.5568
83200 24.5598
83300 24.5623
83400 24.5687
83500 24.5549
83600 24.5664
83700 24.569
83800 24.581
83900 24.5785
84000 24.5949
84100 24.6013
84200 24.6071
84300 24.6162
84400 24.6296
84500 24.6439
84600 24.6214
84700 24.5952
84800 24.5837
84900 24.5729
85000 24.5628
85100 24.5544
85200 24.5515
85300 24.558
85400 24.5685
85500 24.5784
85600 24.5792
85700 24.586
85800 24.6099
85900 24.6033
86000 24.6194
86100 24.6116
86200 24.5717
86300 24.5695
86400 24.5426
86500 24.506
86600 24.4964
86700 24.4732
86800 24.4767
86900 24.4706
87000 24.4489
87100 24.4298
87200 24.4202
87300 24.4158
87400 24.4258
87500 24.4199
87600 24.4154
87700 24.3973
87800 24.3988
87900 24.3779
88000 24.3702
88100 24.3932
88200 24.3914
88300 24.3848
88400 24.3902
88500 24.3704
88600 24.3456
88700 24.3339
88800 24.3053
88900 24.2903
89000 24.2802
89100 24.2868
89200 24.2976
89300 24.2779
89400 24.2494
89500 24.2724
89600 24.2593
89700 24.247
89800 24.2471
89900 24.264
90000 24.255
90100 24.2562
90200 24.2651
90300 24.2586
90400 24.2407
90500 24.2573
90600 24.242
90700 24.222
90800 24.2489
90900 24.2575
91000 24.2569
91100 24.2538
91200 24.2541
91300 24.2308
91400 24.2209
91500 24.2091
91600 24.1974
91700 24.1951
91800 24.1876
91900 24.157
92000 24.1499
92100 24.1262
92200 24.102
92300 24.0912
92400 24.103
92500 24.0937
92600 24.0887
92700 24.0741
92800 24.0899
92900 24.072
93000 24.058
93100 24.0484
93200 24.0596
93300 24.0444
93400 24.0449
93500 24.049
93600 24.0548
93700 24.0378
93800 24.0345
93900 24.0333
94000 24.0245
94100 24.0127
94200 24.0137
94300 24.0425
94400 24.0419
94500 24.0301
94600 24.0201
94700 23.9854
94800 23.9809
94900 23.9871
95000 23.9872
95100 23.9754
95200 23.9747
95300 23.9788
95400 23.9573
95500 23.9577
95600 23.9459
95700 23.9287
95800 23.9041
95900 23.9001
96000 23.896
96100 23.8852
96200 23.8759
96300 23.871
96400 23.8716
96500 23.8754
96600 23.885
96700 23.898
96800 23.8857
96900 23.8778
97000 23.8818
97100 23.8885
97200 23.9037
97300 23.9017
97400 23.8957
97500 23.9013
97600 23.9283
97700 23.9468
97800 23.9394
97900 23.9523
98000 23.9598
98100 23.9747
98200 24.0034
98300 24.0285
98400 24.0477
98500 24.0562
98600 24.0454
98700 24.0232
98800 23.9959
98900 23.9643
99000 23.9338
99100 23.9225
99200 23.919
99300 23.9365
99400 23.9294
99500 23.9315
99600 23.9234
99700 23.9102
99800 23.9229
99900 23.9338
100000 23.935
