# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 24.85
100 24.8547
200 24.8544
300 24.8372
400 24.8282
500 24.8391
600 24.843
700 24.8475
800 24.8549
900 24.8575
1000 24.88
1100 24.8834
1200 24.8926
1300 24.8967
1400 24.8907
1500 24.8847
1600 24.8794
1700 24.8812
1800 24.8917
1900 24.9068
2000 24.9103
2100 24.9265
2200 24.9463
2300 24.9627
2400 24.9762
2500 24.9876
2600 24.9869
2700 24.9806
2800 24.992
2900 25.0008
3000 24.9979
3100 24.991
3200 24.9999
3300 25.0089
3400 24.9915
3500 25.0076
3600 25.0143
3700 25.0285
3800 25.0393
3900 25.064
4000 25.0838
4100 25.0907
4200 25.115
4300 25.1435
4400 25.1743
4500 25.1894
4600 25.2104
4700 25.2082
4800 25.2061
4900 25.2167
5000 25.24
5100 25.2559
5200 25.2741
5300 25.2864
5400 25.2774
5500 25.2698
5600 25.2697
5700 25.2782
5800 25.2833
5900 25.2886
6000 25.289
6100 25.2851
6200 25.2836
6300 25.2816
6400 25.2974
6500 25.3121
6600 25.3148
6700 25.3237
6800 25.353
6900 25.3674
7000 25.36
7100 25.3503
7200 25.344
7300 25.3559
7400 25.3605
7500 25.3659
7600 25.3696
7700 25.3749
7800 25.3775
7900 25.393
8000 25.3904
8100 25.4024
8200 25.4064
8300 25.4069
8400 25.423
8500 25.4304
8600 25.4398
8700 25.4574
8800 25.4584
8900 25.4752
9000 25.4732
9100 25.4727
9200 25.4791
9300 25.4895
9400 25.4994
9500 25.5029
9600 25.5059
9700 25.5087
9800 25.5125
9900 25.5134
10000 25.5122
10100 25.5144
10200 25.5317
10300 25.5521
10400 25.5605
10500 25.5759
10600 25.572
10700 25.5804
10800 25.5913
10900 25.5903
11000 25.5754
11100 25.5715
11200 25.5733
11300 25.593
11400 25.6139
11500 25.6345
11600 25.6357
11700 25.6263
11800 25.6248
11900 25.6199
12000 25.6104
12100 25.6051
12200 25.6072
12300 25.6064
12400 25.6141
12500 25.631
12600 25.6349
12700 25.6446
12800 25.6785
12900 25.6919
13000 25.7309
13100 25.7331
13200 25.7255
13300 25.7382
13400 25.7557
13500 25.7685
13600 25.7803
13700 25.7963
13800 25.8036
13900 25.8124
14000 25.8129
14100 25.8135
14200 25.8075
14300 25.8154
14400 25.8135
14500 25.8054
14600 25.798
14700 25.7972
14800 25.8102
14900 25.8209
15000 25.816
15100 25.8187
15200 25.8097
15300 25.8224
15400 25.8258
15500 25.8254
15600 25.827
15700 25.833
15800 25.8477
15900 25.8646
16000 25.8881
16100 25.8992
16200 25.9062
16300 25.9209
16400 25.9185
16500 25.8997
16600 25.8883
16700 25.8883
16800 25.8849
16900 25.8883
17000 25.9041
17100 25.9116
17200 25.9097
17300 25.9096
17400 25.9032
17500 25.9104
17600 25.9141
17700 25.9314
17800 25.9415
17900 25.9631
18000 25.9893
18100 26.0293
18200 26.062
18300 26.0752
18400 26.0816
18500 26.0956
18600 26.1205
18700 26.1231
18800 26.1151
18900 26.1188
19000 26.1238
19100 26.1446
19200 26.1768
19300 26.2009
19400 26.2153
19500 26.2237
19600 26.2396
19700 26.2379
19800 26.2202
19900 26.2206
20000 26.2144
20100 26.2064
