# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.13591e-28
100 0.509542
200 1.1175
300 1.67988
400 2.2449
500 2.76572
600 3.20584
700 3.53137
800 3.85219
900 4.15081
1000 4.44124
1100 4.74121
1200 5.00043
1300 5.20639
1400 5.37719
1500 5.59624
1600 5.8531
1700 6.11614
1800 6.34033
1900 6.45292
2000 6.64244
2100 6.86886
2200 7.12819
2300 7.44246
2400 7.72677
2500 7.95568
2600 8.20129
2700 8.5118
2800 8.83339
2900 9.12918
3000 9.31437
3100 9.55568
3200 9.76802
3300 9.94901
3400 10.145
3500 10.4757
3600 10.7134
3700 11.1017
3800 11.351
3900 11.447
4000 11.6177
4100 11.9629
4200 12.2444
4300 12.5704
4400 12.8896
4500 13.1187
4600 13.2049
4700 13.388
4800 13.4084
4900 13.4264
5000 13.4694
5100 13.5184
5200 13.8436
5300 14.0558
5400 14.1433
5500 14.178
5600 14.3351
5700 14.3847
5800 14.4049
5900 14.4821
6000 14.6884
6100 14.9163
6200 15.0383
6300 15.2291
6400 15.4189
6500 15.6412
6600 16.0167
6700 16.1233
6800 16.3594
6900 16.5269
7000 16.6473
7100 16.6096
7200 16.6966
7300 16.8997
7400 17.1261
7500 17.5818
7600 17.9722
7700 18.1709
7800 18.352
7900 18.4247
8000 18.5553
8100 18.8741
8200 19.0339
8300 19.0975
8400 19.1055
8500 19.0561
8600 19.1431
8700 19.244
8800 19.322
8900 19.4062
9000 19.4935
9100 19.6078
9200 19.8159
9300 19.8942
9400 20.1039
9500 20.1286
9600 20.1694
9700 20.2851
9800 20.358
9900 20.4374
10000 20.6109
10100 20.6771
10200 20.7987
10300 20.7923
10400 20.876
10500 20.9714
10600 21.0625
10700 20.935
10800 20.9875
10900 21.1263
11000 21.1694
11100 21.2097
11200 21.4323
11300 21.6516
11400 21.7669
11500 21.8475
11600 21.8854
11700 22.037
11800 22.1555
11900 22.2837
12000 22.4628
12100 22.546
12200 22.7873
12300 22.8959
12400 22.8971
12500 22.8431
12600 22.8886
12700 22.7656
12800 22.8928
12900 22.9701
13000 23.0664
13100 23.1014
13200 23.0769
13300 23.0824
13400 22.8684
13500 22.9567
13600 23.0739
13700 23.1437
13800 23.2623
13900 23.3501
14000 23.4505
14100 23.4965
14200 23.6429
14300 23.7274
14400 23.8953
14500 24.0384
14600 24.1018
14700 24.2255
14800 24.3879
14900 24.6866
15000 24.9516
15100 25.121
15200 25.3316
15300 25.5286
15400 25.6382
15500 25.6585
15600 25.8827
15700 25.9452
15800 25.8838
15900 25.8593
16000 25.9613
16100 26.1744
16200 26.2631
16300 26.2627
16400 26.2804
16500 26.323
16600 26.4123
16700 26.4197
16800 26.6144
16900 26.8957
17000 27.1611
17100 27.1559
17200 27.0782
17300 27.1346
17400 27.1352
17500 27.0146
17600 26.9724
17700 26.9123
17800 27.0519
17900 27.042
18000 26.9974
18100 26.9933
18200 27.045
18300 27.11
18400 27.1362
18500 27.2306
18600 27.4249
18700 27.4728
18800 27.6578
18900 27.9636
19000 28.3763
19100 28.6179
19200 28.7474
19300 29.0912
19400 29.2513
19500 29.2601
19600 29.4252
19700 29.7258
19800 29.7967
19900 29.7549
20000 29.7198
20100 29.7185
20200 29.7573
20300 29.7646
20400 29.8493
20500 29.9034
20600 29.9773
20700 30.0728
20800 30.3162
20900 30.405
21000 30.6866
21100 30.9944
21200 31.1525
21300 31.2134
21400 31.3505
21500 31.4343
21600 31.3867
21700 31.3747
21800 31.4292
21900 31.617
22000 31.6929
22100 31.5527
22200 31.5957
22300 31.7636
22400 31.9943
22500 32.0738
22600 31.9884
22700 32.027
22800 32.1512
22900 32.405
23000 32.62
23100 32.963
23200 33.0744
23300 33.0998
23400 33.1084
23500 32.9414
23600 32.8433
23700 32.8255
23800 32.8592
23900 32.7949
24000 32.8365
24100 32.9556
24200 33.1247
24300 33.2116
24400 33.3798
24500 33.4789
24600 33.4793
24700 33.5759
24800 33.621
24900 33.7665
25000 33.6921
25100 33.6955
25200 33.9009
25300 34.1067
25400 34.3308
25500 34.4987
25600 34.6458
25700 34.6915
25800 34.7699
25900 34.7009
26000 34.8668
26100 35.3414
26200 35.5464
26300 35.9318
26400 36.2296
26500 36.447
26600 36.6847
26700 36.7468
26800 36.9997
26900 37.1783
27000 37.2708
27100 37.381
27200 37.5284
27300 37.6629
27400 37.543
27500 37.6216
27600 37.5576
27700 37.6562
