# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.26218e-29
100 0.545618
200 1.25194
300 1.88915
400 2.4966
500 3.11987
600 3.66155
700 4.14645
800 4.57326
900 4.99001
1000 5.39166
1100 5.83528
1200 6.33125
1300 6.80503
1400 7.23882
1500 7.74472
1600 8.11102
1700 8.49043
1800 8.86045
1900 9.18589
2000 9.51272
2100 9.82622
2200 10.0779
2300 10.301
2400 10.4804
2500 10.644
2600 10.9739
2700 11.2097
2800 11.3465
2900 11.4707
3000 11.5784
3100 11.7104
3200 11.943
3300 12.2841
3400 12.5674
3500 12.8318
3600 12.9894
3700 13.0482
3800 13.2641
3900 13.5959
4000 13.8151
4100 13.9392
4200 13.9473
4300 13.9744
4400 14.1242
4500 14.2596
4600 14.3806
4700 14.388
4800 14.3738
4900 14.4644
5000 14.6396
5100 14.9203
5200 15.2087
5300 15.3605
5400 15.4038
5500 15.3469
5600 15.411
5700 15.4656
5800 15.4595
5900 15.62
6000 15.8838
6100 16.1516
6200 16.4653
6300 16.7357
6400 17.1034
6500 17.5479
6600 17.9771
6700 18.1849
6800 18.2995
6900 18.3564
7000 18.6749
7100 19.1333
7200 19.5806
7300 20.0698
7400 20.6019
7500 20.8175
7600 21.0468
7700 21.4676
7800 21.9386
7900 22.1574
8000 22.2386
8100 22.2903
8200 22.3662
8300 22.4721
8400 22.6103
8500 22.6412
8600 22.5664
8700 22.6843
8800 22.9567
8900 23.0665
9000 23.2376
9100 23.2572
9200 23.1483
9300 23.0478
9400 23.1675
9500 23.3593
9600 23.5391
9700 23.8013
9800 24.0787
9900 24.3553
10000 24.7094
10100 25.0144
10200 25.1239
10300 25.2423
10400 25.3444
10500 25.5256
10600 25.7739
10700 25.9757
10800 26.1202
10900 26.4001
11000 26.7111
11100 27.2585
11200 27.4684
11300 27.5443
11400 27.3739
11500 27.4622
11600 27.553
11700 27.7954
11800 28.1658
11900 28.7711
12000 29.0538
12100 29.2754
12200 29.3747
12300 29.3254
12400 29.1502
12500 28.9986
12600 28.8068
12700 29.0281
12800 29.3466
12900 29.7817
13000 30.2045
13100 30.1593
13200 29.9281
13300 29.8743
13400 29.886
13500 29.7935
13600 29.9408
13700 30.3992
13800 30.6113
13900 30.9035
14000 31.1347
14100 31.316
14200 31.5667
14300 31.8771
14400 31.9353
14500 32.224
14600 32.5632
14700 32.6164
14800 32.7327
14900 33.1456
15000 33.1209
15100 33.4011
15200 33.5685
15300 33.6659
15400 34.0156
15500 34.2301
15600 34.1983
15700 34.1731
15800 34.2246
15900 34.2951
16000 34.3859
16100 34.5923
16200 34.6698
16300 34.4448
16400 34.3888
16500 34.6486
16600 34.871
16700 34.7938
16800 34.469
16900 34.3537
17000 34.1851
17100 34.1812
17200 34.175
17300 34.3173
17400 34.6093
17500 34.9668
17600 35.2808
17700 35.3619
17800 35.7393
17900 36.3384
18000 36.9203
18100 37.285
18200 37.5367
18300 37.592
18400 37.7715
18500 38.041
18600 38.2499
18700 38.4052
18800 38.4252
18900 38.5689
19000 38.8236
19100 39.1857
19200 39.01
19300 38.7403
19400 38.6233
19500 38.6197
19600 38.8514
19700 38.8418
19800 38.8589
19900 38.8926
20000 38.7625
20100 38.4959
20200 38.2454
20300 38.1289
20400 38.3854
20500 38.7526
20600 39.1325
20700 39.7443
20800 40.1532
20900 40.4427
21000 40.7969
21100 41.176
21200 41.2066
21300 40.9923
21400 40.9324
21500 41.0484
21600 41.2553
21700 41.5959
21800 42.0627
21900 42.2904
22000 42.3876
22100 42.2514
22200 42.2142
22300 42.0909
22400 41.9335
22500 41.9586
22600 42.1627
22700 42.1316
22800 42.2529
22900 42.3423
23000 42.3638
23100 42.4202
23200 42.5442
23300 42.7268
23400 42.7575
23500 42.8523
23600 42.8426
23700 42.7345
23800 42.6393
23900 43.0229
24000 43.4223
24100 43.3681
24200 43.1095
24300 42.9944
24400 43.0151
24500 43.4495
24600 43.8064
24700 43.9887
24800 44.2082
24900 44.4774
25000 44.8275
25100 45.067
25200 45.0159
25300 45.1113
25400 45.0557
25500 45.0417
25600 44.899
25700 44.732
