# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 3.40656e-29
100 0.582566
200 1.35362
300 2.10292
400 2.78372
500 3.45372
600 4.17352
700 4.82045
800 5.51671
900 6.24717
1000 6.86714
1100 7.43216
1200 7.88793
1300 8.28903
1400 8.72171
1500 9.08925
1600 9.49115
1700 9.93262
1800 10.508
1900 10.878
2000 11.2985
2100 11.778
2200 12.2073
2300 12.4947
2400 12.8384
2500 13.4956
2600 14.2424
2700 14.8225
2800 15.4565
2900 15.9753
3000 16.361
3100 16.8239
3200 17.3625
3300 17.7798
3400 18.4421
3500 18.8071
3600 18.92
3700 18.961
3800 19.2797
3900 19.5552
4000 19.8603
4100 20.1111
4200 20.2554
4300 20.5365
4400 20.9151
4500 21.3848
4600 21.8131
4700 22.1954
4800 22.2532
4900 22.4195
5000 22.7144
5100 23.3592
5200 24.0798
5300 24.5326
5400 25.0488
5500 25.4353
5600 25.6175
5700 25.7096
5800 25.8214
5900 25.9855
6000 26.369
6100 26.8278
6200 27.19
6300 27.7355
6400 28.275
6500 28.7602
6600 29.5182
6700 30.387
6800 31.2517
6900 32.0899
7000 33.1881
7100 34.0597
7200 34.4938
7300 34.8717
7400 35.0744
7500 35.0978
7600 35.5083
7700 35.6994
7800 35.9266
7900 36.057
8000 36.629
8100 37.5181
8200 37.895
8300 37.8698
8400 37.9174
8500 37.8247
8600 37.6292
8700 37.267
8800 37.321
8900 37.9014
9000 38.3974
9100 38.5365
9200 39.0679
9300 39.6372
9400 40.3823
9500 41.089
9600 41.435
9700 42.0765
9800 42.3886
9900 42.683
10000 43.096
10100 43.412
10200 43.6937
10300 44.0394
10400 44.3231
10500 44.7403
10600 45.0556
10700 45.2923
10800 45.9134
10900 46.5504
11000 47.4577
11100 48.3405
11200 49.0817
11300 49.9455
11400 50.637
11500 51.5032
11600 52.4779
11700 53.1731
11800 53.9083
11900 54.6114
12000 55.2483
12100 55.9201
12200 56.4182
12300 56.835
12400 57.3202
12500 57.7051
12600 57.7252
12700 58.0421
12800 58.5708
12900 59.0633
13000 60.0939
13100 61.0879
13200 61.6638
13300 62.0597
13400 62.3358
13500 62.7434
13600 62.5545
13700 62.4834
13800 62.51
13900 62.7089
14000 62.7827
14100 63.4742
14200 64.1806
14300 64.7498
14400 65.4434
