# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 3.50012e-29
100 0.524799
200 1.20501
300 1.84055
400 2.38748
500 2.82762
600 3.28025
700 3.76077
800 4.25532
900 4.64786
1000 5.12528
1100 5.5628
1200 5.86049
1300 6.18412
1400 6.53256
1500 6.91099
1600 7.19438
1700 7.47606
1800 7.76919
1900 8.05074
2000 8.40934
2100 8.68264
2200 8.95581
2300 9.20007
2400 9.47079
2500 9.82378
2600 10.2555
2700 10.4529
2800 10.7197
2900 11.106
3000 11.5316
3100 11.8308
3200 12.1897
3300 12.5144
3400 12.8957
3500 13.1025
3600 13.3822
3700 13.529
3800 13.7675
3900 14.0982
4000 14.5092
4100 14.8215
4200 15.0078
4300 15.2986
4400 15.6549
4500 15.9334
4600 16.1377
4700 16.221
4800 16.3182
4900 16.6157
5000 16.9375
5100 17.1611
5200 17.4152
5300 17.623
5400 17.7634
5500 17.9144
5600 18.0738
5700 18.3412
5800 18.5625
5900 18.6613
6000 18.8107
6100 18.9381
6200 19.2825
6300 19.5135
6400 19.6988
6500 19.814
6600 19.9853
6700 20.0845
6800 20.188
6900 20.2559
7000 20.347
7100 20.2815
7200 20.3499
7300 20.46
7400 20.4412
7500 20.3651
7600 20.3441
7700 20.2383
7800 20.3497
7900 20.486
8000 20.7038
8100 21.101
8200 21.5084
8300 21.7673
8400 21.9854
8500 22.1683
8600 22.2872
8700 22.4399
8800 22.6474
8900 22.7267
9000 23.0239
9100 23.2801
9200 23.5422
9300 23.8269
9400 24.0629
9500 24.1925
9600 24.1827
9700 24.022
9800 23.9801
9900 24.1923
10000 24.4272
10100 24.5748
10200 24.6945
10300 24.8911
10400 25.1204
10500 25.4907
10600 25.8283
10700 26.0297
10800 26.1536
10900 26.2962
11000 26.2667
11100 26.4299
11200 26.4136
11300 26.2461
11400 25.9838
11500 25.8107
11600 25.9197
11700 26.131
11800 26.6826
11900 26.8304
12000 26.9098
12100 27.0714
12200 26.9921
12300 26.9606
12400 26.839
12500 26.6937
12600 26.6851
12700 26.4885
12800 26.3593
12900 26.3033
13000 26.225
13100 26.3316
13200 26.4544
13300 26.4779
13400 26.6036
13500 26.71
13600 26.6039
13700 26.5667
13800 26.576
13900 26.6067
14000 26.7617
14100 26.7759
14200 26.9353
14300 27.3551
14400 27.669
14500 27.7092
14600 27.6409
14700 27.6633
14800 27.7296
14900 27.8459
15000 28.0161
15100 28.1318
15200 28.2634
15300 28.3082
15400 28.1011
15500 28.0595
15600 28.2267
15700 28.4473
15800 28.5317
15900 28.7632
16000 28.9032
16100 28.9098
16200 28.9509
16300 29.0785
16400 28.7968
16500 28.4783
16600 28.3731
16700 28.307
16800 28.249
16900 28.3509
17000 28.4843
17100 28.6776
17200 28.9594
17300 29.1282
17400 29.2213
17500 29.5235
17600 29.5847
17700 29.6487
17800 29.8192
17900 30.2323
18000 30.4362
18100 30.6275
18200 30.8359
18300 31.395
18400 31.721
18500 32.0799
18600 32.204
18700 32.6274
18800 32.711
18900 32.8596
19000 33.1039
19100 33.4227
19200 33.7008
19300 33.9073
19400 34.1165
19500 34.2386
19600 34.4128
19700 34.5519
19800 34.6899
19900 34.7662
20000 34.6275
20100 34.8072
20200 34.9775
20300 35.0984
20400 35.349
20500 35.6485
20600 35.9886
20700 36.2829
20800 36.6221
20900 36.9485
21000 37.4295
21100 37.6107
21200 37.8023
21300 37.9266
21400 38.3839
21500 38.9164
21600 39.3367
21700 39.487
21800 39.5786
21900 39.7532
22000 40.1104
22100 40.6254
22200 41.0596
22300 41.2888
22400 41.6055
22500 42.091
22600 42.3906
22700 42.1758
22800 42.2423
22900 42.2447
23000 42.4002
23100 42.2982
23200 42.1267
23300 42.069
23400 42.2464
23500 42.7327
23600 43.1932
23700 43.492
23800 43.5085
23900 43.5881
24000 43.8562
24100 43.8228
24200 43.7261
24300 43.4788
24400 43.2613
24500 43.094
24600 42.9834
24700 42.912
24800 42.8296
24900 43.1291
25000 43.399
25100 43.4021
25200 43.455
25300 43.6091
25400 44.0398
25500 44.0034
25600 44.0038
25700 43.8953
25800 43.8783
25900 44.1652
26000 44.1918
26100 44.1306
26200 44.2532
26300 44.9549
26400 45.5074
26500 45.9063
26600 46.1659
26700 46.4881
26800 46.7805
26900 46.9363
27000 46.8541
27100 46.9861
27200 46.8636
27300 46.7337
27400 46.8162
27500 46.7311
27600 46.6743
27700 46.8382
27800 46.9699
27900 46.8728
28000 46.7849
28100 46.862
28200 46.982
28300 47.0115
28400 47.145
28500 47.4812
28600 48.0371
28700 48.5335
28800 48.787
28900 48.7438
29000 48.8757
29100 49.2702
29200 49.3886
29300 49.2704
29400 49.0522
29500 48.8062
29600 48.3376
29700 48.3624
29800 48.7604
29900 48.9928
30000 49.2655
30100 49.7429
30200 50.1876
30300 50.2463
30400 50.4511
30500 50.7051
30600 50.6625
30700 50.4831
30800 50.2177
30900 50.1878
31000 50.3495
31100 50.5953
31200 50.4777
31300 50.6247
31400 50.7818
31500 50.6422
31600 50.6638
31700 51.1114
31800 51.4972
31900 51.4631
32000 51.3525
32100 51.2121
32200 51.2566
32300 51.6727
32400 52.0152
32500 52.2163
32600 52.396
32700 52.3683
32800 52.3964
