# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.29398e-28
100 0.20288
200 0.41789
300 0.609692
400 0.790541
500 0.964616
600 1.11931
700 1.25403
800 1.38999
900 1.53852
1000 1.67022
1100 1.77063
1200 1.88132
1300 1.99016
1400 2.12156
1500 2.24702
1600 2.37891
1700 2.51058
1800 2.63145
1900 2.7497
2000 2.86914
2100 2.9834
2200 3.0791
2300 3.18079
2400 3.30388
2500 3.42624
2600 3.528
2700 3.66381
2800 3.76825
2900 3.86687
3000 3.97827
3100 4.10124
3200 4.19865
3300 4.29417
3400 4.37751
3500 4.50203
3600 4.6325
3700 4.73121
3800 4.8557
3900 4.99789
4000 5.14255
4100 5.29107
4200 5.43234
4300 5.56819
4400 5.7056
4500 5.81707
4600 5.89336
4700 6.01036
4800 6.12472
4900 6.28039
5000 6.41959
5100 6.54134
5200 6.64737
5300 6.7341
5400 6.83308
5500 6.93777
5600 7.01625
5700 7.12272
5800 7.20104
5900 7.35202
6000 7.49805
6100 7.633
6200 7.8001
6300 7.94234
6400 8.05654
6500 8.1507
6600 8.24752
6700 8.37703
6800 8.44205
6900 8.56656
7000 8.6879
7100 8.78342
7200 8.86548
7300 9.00079
7400 9.12549
7500 9.29873
7600 9.42129
7700 9.48655
7800 9.57189
7900 9.66048
8000 9.78695
8100 9.92268
8200 10.0515
8300 10.1525
8400 10.2789
8500 10.442
8600 10.5694
8700 10.7526
8800 10.9478
8900 11.1324
9000 11.2979
9100 11.4748
9200 11.5977
9300 11.6835
9400 11.781
9500 11.9295
9600 12.116
9700 12.2479
9800 12.2905
9900 12.3377
10000 12.4116
10100 12.5356
10200 12.6389
10300 12.7627
10400 12.8592
10500 12.9554
10600 13.0928
10700 13.2134
10800 13.3577
10900 13.5253
11000 13.6193
11100 13.7281
11200 13.8664
11300 14.0572
11400 14.171
11500 14.3019
11600 14.4119
11700 14.5445
11800 14.7073
11900 14.8736
12000 14.9819
12100 15.1358
12200 15.2741
12300 15.4764
12400 15.6258
12500 15.812
12600 16.0014
12700 16.0966
12800 16.234
12900 16.3518
13000 16.5212
13100 16.6845
13200 16.8176
13300 16.9527
13400 17.1549
13500 17.3456
13600 17.5297
13700 17.7448
13800 17.9601
13900 18.1557
14000 18.3278
14100 18.462
14200 18.6436
14300 18.8562
14400 19.0242
14500 19.199
14600 19.4276
14700 19.6233
14800 19.8159
14900 19.9561
15000 20.0923
15100 20.264
15200 20.4759
15300 20.6708
15400 20.8467
15500 20.9984
15600 21.1852
15700 21.4324
15800 21.6784
15900 21.9227
16000 22.1054
16100 22.277
16200 22.4755
16300 22.6597
16400 22.8669
16500 23.0564
16600 23.2073
16700 23.3238
16800 23.3932
16900 23.49
17000 23.5797
17100 23.7145
17200 23.8341
17300 23.8835
17400 23.9523
17500 24.1122
17600 24.2918
17700 24.4607
17800 24.6695
17900 24.8861
18000 25.0263
18100 25.1546
18200 25.3371
18300 25.5047
18400 25.7371
18500 25.9093
18600 26.0827
18700 26.2412
18800 26.4504
