# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 6.32471e-28
100 0.177516
200 0.35278
300 0.510612
400 0.650006
500 0.775727
600 0.896805
700 0.999869
800 1.10006
900 1.20153
1000 1.28432
1100 1.37353
1200 1.46304
1300 1.54738
1400 1.61481
1500 1.68672
1600 1.7595
1700 1.83693
1800 1.91182
1900 1.98989
2000 2.06157
2100 2.12771
2200 2.20091
2300 2.2572
2400 2.31761
2500 2.39197
2600 2.45102
2700 2.49488
2800 2.54815
2900 2.59768
3000 2.65409
3100 2.7052
3200 2.75979
3300 2.81938
3400 2.87418
3500 2.9273
3600 2.98085
3700 3.04533
3800 3.09166
3900 3.15193
4000 3.20501
4100 3.23887
4200 3.27005
4300 3.30746
4400 3.34855
4500 3.38489
4600 3.4192
4700 3.474
4800 3.52177
4900 3.54897
5000 3.58963
5100 3.65827
5200 3.72657
5300 3.7711
5400 3.81659
5500 3.86721
5600 3.91041
5700 3.94497
5800 3.99041
5900 4.01847
6000 4.045
6100 4.04097
6200 4.05416
6300 4.08685
6400 4.12054
6500 4.15359
6600 4.17868
6700 4.2092
6800 4.23256
6900 4.27748
7000 4.30417
7100 4.33997
7200 4.37956
7300 4.3967
7400 4.43031
7500 4.47276
7600 4.49134
7700 4.5412
7800 4.56665
7900 4.58924
8000 4.62668
8100 4.65964
8200 4.69769
8300 4.73624
8400 4.77906
8500 4.80152
8600 4.86999
8700 4.93274
8800 4.97731
8900 5.02215
9000 5.05303
9100 5.07881
9200 5.10884
9300 5.14493
9400 5.17952
9500 5.17261
9600 5.18041
9700 5.17706
9800 5.17981
9900 5.207
10000 5.24901
10100 5.29129
10200 5.33759
10300 5.35655
10400 5.37114
10500 5.38712
10600 5.40862
10700 5.43695
10800 5.48735
10900 5.53959
11000 5.54961
11100 5.59279
11200 5.61266
11300 5.65971
11400 5.72262
11500 5.75795
11600 5.7994
11700 5.83821
11800 5.90374
11900 5.96236
12000 6.00877
12100 6.04115
12200 6.05827
12300 6.11245
12400 6.13571
12500 6.16139
12600 6.19879
12700 6.22017
12800 6.24795
12900 6.28721
13000 6.32996
13100 6.33622
13200 6.3701
13300 6.36907
13400 6.40593
13500 6.46934
13600 6.51091
13700 6.55942
13800 6.60339
13900 6.61801
14000 6.64431
14100 6.67354
14200 6.70798
14300 6.7438
14400 6.79118
14500 6.82784
14600 6.87508
14700 6.90397
14800 6.93243
14900 6.95741
15000 6.9701
15100 6.98278
15200 7.02119
15300 7.04883
15400 7.08622
15500 7.0838
15600 7.10702
15700 7.10735
15800 7.10206
15900 7.13848
16000 7.1391
16100 7.16161
16200 7.19431
16300 7.23921
16400 7.25436
16500 7.24754
16600 7.27548
16700 7.32034
16800 7.34384
16900 7.40396
17000 7.42613
17100 7.44278
17200 7.46918
17300 7.51819
17400 7.5131
17500 7.54087
17600 7.56651
17700 7.60281
17800 7.62467
17900 7.64123
18000 7.66618
18100 7.69647
18200 7.75151
18300 7.77826
18400 7.79882
18500 7.81293
18600 7.81822
18700 7.87454
18800 7.92047
18900 7.96344
19000 8.02811
19100 8.05103
19200 8.06364
19300 8.07705
19400 8.06166
19500 8.07935
19600 8.08011
19700 8.10555
19800 8.13942
19900 8.14288
20000 8.17599
20100 8.1663
20200 8.16534
20300 8.19958
20400 8.2334
20500 8.26184
20600 8.28145
20700 8.30629
20800 8.32573
20900 8.35425
21000 8.36045
21100 8.36741
21200 8.35423
21300 8.3459
21400 8.34978
21500 8.3313
21600 8.33317
21700 8.32129
21800 8.31903
21900 8.34708
22000 8.35974
22100 8.36448
22200 8.37482
22300 8.39185
22400 8.42626
22500 8.46387
22600 8.49627
22700 8.51501
22800 8.54397
22900 8.55291
23000 8.57609
23100 8.59638
23200 8.6516
23300 8.6762
23400 8.69651
23500 8.70816
23600 8.72489
23700 8.75823
23800 8.76525
23900 8.79065
24000 8.82927
24100 8.87479
24200 8.89242
24300 8.89458
24400 8.93319
24500 8.94198
24600 8.96512
24700 8.98985
24800 9.01356
24900 9.02029
25000 9.03915
25100 9.04748
25200 9.07379
25300 9.08906
25400 9.09333
25500 9.09802
25600 9.11749
25700 9.18673
25800 9.21241
25900 9.22764
26000 9.27107
26100 9.27302
26200 9.31892
26300 9.35835
26400 9.34115
26500 9.34832
26600 9.36649
26700 9.39942
26800 9.45047
26900 9.49066
27000 9.54612
27100 9.60439
27200 9.62275
27300 9.68625
27400 9.72769
27500 9.76514
27600 9.74574
27700 9.72724
27800 9.74798
27900 9.78434
28000 9.81625
28100 9.83188
28200 9.8429
28300 9.86041
28400 9.91692
28500 9.95775
28600 9.98462
28700 10.0486
28800 10.0797
28900 10.1146
29000 10.1119
29100 10.1346
29200 10.1369
29300 10.1656
29400 10.2244
29500 10.2795
29600 10.3203
29700 10.3774
29800 10.3934
29900 10.3787
30000 10.3724
30100 10.4141
30200 10.4419
30300 10.4561
30400 10.4745
30500 10.5067
30600 10.5207
30700 10.534
30800 10.5431
30900 10.5627
31000 10.5541
31100 10.5211
31200 10.5244
31300 10.5177
31400 10.5275
31500 10.5699
31600 10.5801
31700 10.5788
31800 10.5904
31900 10.6337
32000 10.659
32100 10.6788
32200 10.6996
32300 10.7588
32400 10.7815
32500 10.8385
32600 10.8689
32700 10.8755
32800 10.8698
32900 10.8457
33000 10.85
33100 10.8811
33200 10.9238
33300 10.9404
33400 10.9734
33500 11.0222
33600 11.0681
33700 11.1097
33800 11.11
33900 11.1197
34000 11.1429
34100 11.1586
34200 11.1828
34300 11.1699
34400 11.199
34500 11.2239
34600 11.2282
34700 11.221
34800 11.2215
34900 11.2282
35000 11.2144
35100 11.2483
35200 11.2843
35300 11.2556
35400 11.2274
35500 11.2202
35600 11.1903
35700 11.1872
35800 11.1854
35900 11.219
36000 11.2293
36100 11.2139
36200 11.2512
36300 11.239
36400 11.2723
36500 11.275
36600 11.3026
36700 11.3134
36800 11.3
36900 11.2576
37000 11.2689
37100 11.2422
37200 11.2224
37300 11.1846
37400 11.1808
37500 11.186
37600 11.174
37700 11.1456
37800 11.1475
37900 11.1654
38000 11.1826
38100 11.1782
38200 11.1773
38300 11.182
38400 11.2096
38500 11.197
38600 11.1908
38700 11.2032
38800 11.1783
38900 11.1792
39000 11.1506
39100 11.1649
39200 11.1714
39300 11.166
39400 11.2031
39500 11.2134
39600 11.224
39700 11.2513
39800 11.2785
39900 11.2915
40000 11.2872
40100 11.287
40200 11.3069
40300 11.3288
40400 11.3187
40500 11.2926
40600 11.3114
40700 11.33
40800 11.3292
40900 11.3599
41000 11.3979
41100 11.4364
41200 11.4577
41300 11.499
41400 11.5351
41500 11.5432
41600 11.5667
41700 11.5356
41800 11.5537
41900 11.5856
42000 11.6313
42100 11.635
42200 11.649
42300 11.6682
42400 11.6593
42500 11.6464
42600 11.7065
42700 11.7392
42800 11.7761
42900 11.8012
43000 11.7975
43100 11.7593
43200 11.7558
43300 11.7716
43400 11.7492
43500 11.7718
43600 11.7894
43700 11.7853
43800 11.8065
43900 11.8115
44000 11.8193
44100 11.8445
44200 11.906
44300 11.9244
44400 11.9136
44500 11.9516
44600 11.9551
44700 11.949
44800 11.9972
44900 12.0723
45000 12.0808
45100 12.0865
45200 12.1078
45300 12.1025
45400 12.1158
45500 12.1639
45600 12.2423
45700 12.2734
45800 12.3048
45900 12.36
46000 12.3988
46100 12.4225
46200 12.4447
46300 12.4651
46400 12.4782
46500 12.5001
46600 12.5292
46700 12.5175
46800 12.5018
46900 12.5195
47000 12.5771
47100 12.595
47200 12.5686
47300 12.5566
47400 12.5711
47500 12.6144
47600 12.639
47700 12.6669
47800 12.6706
47900 12.6872
48000 12.7061
48100 12.7225
48200 12.7215
48300 12.7301
48400 12.7418
48500 12.7734
48600 12.7928
48700 12.7926
48800 12.8496
48900 12.9031
49000 12.8857
49100 12.8809
49200 12.9017
49300 12.8919
49400 12.888
49500 12.9196
49600 12.9822
49700 13.0057
49800 13.0176
49900 13.0047
50000 13.0403
50100 13.0646
50200 13.1065
50300 13.0974
50400 13.1041
50500 13.1113
50600 13.0863
50700 13.0797
50800 13.1103
50900 13.1194
51000 13.1389
51100 13.1745
51200 13.1825
51300 13.171
51400 13.1921
51500 13.1628
51600 13.1412
51700 13.1326
51800 13.1575
51900 13.2379
52000 13.2672
52100 13.2777
52200 13.2688
52300 13.2925
52400 13.3071
52500 13.3032
52600 13.3028
52700 13.3363
52800 13.3542
52900 13.3508
53000 13.38
53100 13.4266
53200 13.4601
53300 13.4608
53400 13.457
53500 13.4764
53600 13.4863
53700 13.4931
53800 13.4939
53900 13.4746
54000 13.445
54100 13.3858
54200 13.353
54300 13.3747
54400 13.3804
54500 13.4338
54600 13.4267
54700 13.4481
54800 13.477
54900 13.4526
55000 13.4361
55100 13.4615
55200 13.4817
55300 13.4798
55400 13.4811
55500 13.5045
55600 13.5471
55700 13.5365
55800 13.5191
55900 13.4892
56000 13.5085
56100 13.515
56200 13.5532
56300 13.6185
56400 13.6179
56500 13.6217
56600 13.623
56700 13.6185
56800 13.6002
56900 13.5902
57000 13.5836
57100 13.606
57200 13.6256
57300 13.6337
57400 13.5899
57500 13.6027
57600 13.5968
57700 13.6059
57800 13.5775
57900 13.5606
58000 13.63
58100 13.6455
58200 13.6534
58300 13.7303
58400 13.7692
58500 13.8013
58600 13.8129
58700 13.7787
58800 13.7825
58900 13.8054
59000 13.8024
59100 13.8367
59200 13.8236
59300 13.8102
59400 13.8188
59500 13.7923
59600 13.7622
59700 13.7881
59800 13.7564
59900 13.7813
60000 13.82
60100 13.8158
60200 13.8275
60300 13.8338
60400 13.8772
60500 13.9179
60600 13.9922
60700 14.0289
60800 14.0792
60900 14.0949
61000 14.0966
61100 14.0916
61200 14.1059
61300 14.1085
61400 14.1473
