# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_16_10_1[4]
0 1.41595e-28
100 0.51621
200 1.13134
300 1.66143
400 2.13506
500 2.59911
600 3.03564
700 3.39332
800 3.79163
900 4.1705
1000 4.55375
1100 4.90311
1200 5.20049
1300 5.50927
1400 5.79951
1500 6.07907
1600 6.37794
1700 6.68269
1800 6.97931
1900 7.22152
2000 7.40312
2100 7.73265
2200 8.00812
2300 8.24686
2400 8.43295
2500 8.62321
2600 8.85831
2700 9.1539
2800 9.34429
2900 9.6271
3000 9.89413
3100 10.1182
3200 10.3502
3300 10.5304
3400 10.6567
3500 10.818
3600 11.0193
3700 11.2264
3800 11.4727
3900 11.724
4000 11.9876
4100 12.3225
4200 12.4853
4300 12.7001
4400 12.8645
4500 12.9171
4600 12.9176
4700 12.9566
4800 13.1239
4900 13.2573
5000 13.3138
5100 13.5405
5200 13.7203
5300 13.922
5400 14.1166
5500 14.1992
5600 14.3865
5700 14.4723
5800 14.4352
5900 14.5404
6000 14.718
6100 14.794
6200 14.9479
6300 15.0959
6400 15.1966
6500 15.3029
6600 15.5079
6700 15.7551
6800 15.959
6900 16.0256
7000 16.1693
7100 16.4191
7200 16.6344
7300 16.734
7400 16.8552
7500 17.0712
7600 17.2879
7700 17.4748
7800 17.5325
7900 17.6138
8000 17.8436
8100 18.0158
8200 18.1771
8300 18.4771
8400 18.6967
8500 19.0332
8600 19.3811
8700 19.7871
8800 20.0189
8900 20.1098
9000 20.0445
9100 20.1204
9200 20.3667
9300 20.5943
9400 20.7821
9500 20.8268
9600 20.9934
9700 21.1716
9800 21.1786
9900 21.2569
10000 21.2619
10100 21.3954
10200 21.4214
10300 21.6723
10400 21.7729
10500 21.876
10600 22.0511
10700 22.2797
10800 22.5508
10900 22.917
11000 23.0977
11100 23.3958
11200 23.8043
11300 23.9892
11400 24.1805
11500 24.2563
11600 24.3681
11700 24.3681
11800 24.6071
11900 24.9247
12000 25.0967
12100 25.2953
12200 25.5423
12300 25.7288
12400 25.7319
12500 25.7505
12600 25.8659
12700 26.0129
12800 26.1704
12900 26.0892
13000 26.0555
13100 26.1372
13200 26.1822
13300 26.3151
13400 26.2659
13500 26.2677
13600 26.4123
13700 26.5863
13800 26.7599
13900 27.0454
14000 27.1952
14100 27.3466
14200 27.5144
14300 27.6609
14400 27.6481
14500 27.8232
14600 28.0881
14700 28.4544
14800 28.8438
14900 29.3285
15000 29.6092
15100 29.7551
15200 29.8392
15300 29.8397
15400 29.8882
15500 30.0588
15600 30.1549
15700 30.2594
15800 30.3279
15900 30.43
16000 30.4877
16100 30.5838
16200 30.5553
16300 30.6262
16400 30.6929
16500 30.674
16600 30.8421
16700 30.9666
16800 31.0643
16900 31.1002
17000 31.1609
17100 31.18
17200 31.2947
17300 31.4649
17400 31.643
17500 31.8273
17600 31.9668
17700 32.1
17800 32.2475
17900 32.3478
18000 32.5273
18100 32.7856
18200 33.1384
18300 33.5011
18400 33.8875
18500 34.3409
18600 34.6918
18700 34.8211
18800 35.2008
18900 35.5949
19000 35.8184
19100 35.9858
19200 36.0234
19300 35.953
19400 35.918
19500 35.9483
19600 35.8485
19700 35.8965
19800 35.869
19900 35.7846
20000 35.8682
20100 36.0001
20200 36.3091
20300 36.5154
20400 36.6902
20500 36.9991
20600 37.125
20700 37.2169
20800 37.3089
20900 37.5205
21000 37.8147
21100 37.8757
21200 37.9
21300 38.0045
21400 38.1377
21500 38.5435
21600 38.9356
21700 39.1245
21800 39.2353
21900 39.2222
22000 39.342
22100 39.4343
22200 39.6496
22300 39.9625
