# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_1[4]
0 3.75386e-30
100 0.562886
200 1.27807
300 1.91796
400 2.55947
500 3.1746
600 3.71438
700 4.19328
800 4.5988
900 5.05306
1000 5.52604
1100 6.00409
1200 6.40332
1300 6.7771
1400 7.15104
1500 7.58868
1600 7.94683
1700 8.36087
1800 8.77426
1900 9.18054
2000 9.53262
2100 9.95442
2200 10.4298
2300 10.9121
2400 11.3665
2500 11.6559
2600 11.9489
2700 12.2216
2800 12.5584
2900 12.8653
3000 13.2006
3100 13.5394
3200 13.7534
3300 14.0171
3400 14.4147
3500 14.7065
3600 14.9022
3700 15.0368
3800 15.2618
3900 15.4906
4000 15.713
4100 16.1119
4200 16.4809
4300 16.8234
4400 17.1267
4500 17.3725
4600 17.5586
4700 17.8192
4800 18.0803
4900 18.5059
5000 18.7582
5100 18.9622
5200 19.3062
5300 19.7153
5400 20.0983
5500 20.3981
5600 20.7705
5700 21.1783
5800 21.6255
5900 22.0069
6000 22.3407
6100 22.6468
6200 22.9112
6300 23.2213
6400 23.4735
6500 23.7761
6600 24.1216
6700 24.5162
6800 24.9463
6900 25.2586
7000 25.4626
7100 25.6681
7200 26.0478
7300 26.3402
7400 26.685
7500 26.8957
7600 27.2067
7700 27.4295
7800 27.7516
7900 27.9472
8000 27.982
8100 27.9118
8200 28.1965
8300 28.6164
8400 29.0422
8500 29.3964
8600 29.7391
8700 30.1249
8800 30.4887
8900 30.7992
9000 30.9818
9100 31.2093
9200 31.6354
9300 32.0343
9400 32.3469
9500 32.9228
9600 33.4172
9700 33.87
9800 34.3472
9900 34.6976
10000 35.2139
10100 35.7878
10200 36.1373
10300 36.3446
10400 36.5672
10500 36.9678
10600 37.3219
10700 37.4872
10800 37.8205
10900 38.0211
11000 38.3504
11100 38.6382
11200 39.1148
11300 39.419
11400 39.5316
11500 39.6805
11600 39.9166
11700 40.2308
11800 40.68
11900 41.0705
12000 41.4372
12100 41.8634
12200 42.2652
12300 42.6839
12400 43.104
12500 43.4457
12600 43.6731
12700 43.6662
12800 43.4998
12900 43.5071
13000 43.862
13100 44.1626
13200 44.4962
13300 44.9221
13400 45.1004
13500 45.3228
13600 45.6282
13700 45.814
13800 46.0717
13900 46.2947
14000 46.4636
14100 46.5805
14200 46.7386
14300 46.9626
14400 47.1962
14500 47.3583
14600 47.5435
14700 47.7589
14800 48.2287
14900 48.5628
15000 48.7271
15100 48.9347
15200 49.055
15300 49.3209
15400 49.4802
15500 49.6013
15600 49.784
15700 49.9418
15800 50.5113
15900 50.8956
16000 51.2299
16100 51.4598
16200 51.6857
16300 51.944
16400 52.1087
16500 52.2935
16600 52.4475
16700 52.5445
16800 52.6863
16900 53.0112
17000 53.369
17100 53.622
17200 53.888
17300 54.1464
17400 54.3516
17500 54.444
17600 54.4807
17700 54.4761
17800 54.4545
17900 54.5217
18000 54.6356
18100 54.8491
18200 55.2367
18300 55.5841
18400 55.7735
18500 55.8404
18600 56.3374
18700 56.6746
18800 56.7791
18900 57.1012
19000 57.553
19100 58.0178
19200 58.4586
19300 58.8448
19400 59.1665
19500 59.7393
19600 60.3464
19700 60.8882
19800 61.1746
19900 61.3543
20000 61.4311
20100 61.4668
20200 61.5755
20300 61.4736
20400 61.4803
20500 61.4592
20600 61.4243
20700 61.5307
20800 61.5818
20900 61.7299
21000 61.8281
21100 61.8345
21200 62.061
21300 62.4146
21400 62.8024
21500 63.0097
21600 63.2999
21700 63.493
21800 63.7398
21900 63.8379
22000 64.1165
22100 64.4991
22200 64.5875
22300 64.8918
22400 65.3537
22500 65.4939
22600 65.484
22700 65.9264
22800 66.2777
22900 66.4558
23000 66.6604
23100 66.9613
23200 67.2338
23300 67.571
23400 67.6555
23500 67.7542
23600 68.117
23700 68.4833
23800 68.719
23900 69.232
24000 69.8013
24100 70.0991
24200 70.3927
24300 70.5437
24400 70.5931
24500 71.0404
24600 71.4539
24700 71.8097
24800 72.217
24900 72.1996
25000 71.9456
25100 71.7582
25200 71.9282
25300 72.102
25400 72.5252
25500 73.118
25600 73.2751
25700 73.4054
25800 73.5224
25900 73.8879
26000 74.3043
26100 74.7533
26200 75.0206
26300 75.2056
26400 75.5919
26500 75.9092
26600 76.1527
26700 76.3522
26800 76.5785
26900 76.8895
27000 77.4615
27100 78.1662
27200 78.6363
27300 79.0083
27400 79.4075
27500 79.5689
27600 79.6869
27700 79.836
27800 79.8359
27900 79.7412
28000 80.0978
28100 80.326
28200 80.1818
28300 80.0917
28400 80.0561
28500 80.3878
28600 80.6986
28700 80.7885
28800 81.2052
28900 81.7649
29000 81.8723
29100 81.9277
29200 82.0317
29300 82.1144
29400 82.3217
29500 82.2984
29600 82.4779
29700 82.8295
29800 83.1603
29900 83.2617
30000 83.0915
30100 82.7643
30200 82.8528
30300 83.1882
30400 83.3699
30500 83.4194
30600 83.5363
30700 83.8745
30800 84.197
30900 84.5307
31000 84.7294
31100 84.9151
31200 84.9903
31300 85.2356
31400 85.816
31500 86.2082
31600 86.7641
31700 87.2032
31800 87.5654
31900 87.8582
32000 87.973
32100 88.1027
32200 87.8774
32300 87.7844
32400 87.7777
32500 87.9573
32600 88.1412
32700 88.4561
32800 88.9014
32900 89.3702
33000 89.543
33100 89.7332
33200 90.1704
33300 90.6458
33400 91.0447
33500 91.4255
33600 91.5817
33700 91.7224
33800 92.0946
33900 92.555
34000 93.0224
34100 93.4508
34200 93.7794
34300 94.2549
34400 94.399
34500 94.5116
34600 94.4872
34700 94.9609
34800 95.4938
