# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed2[4]
0 3.22843e-29
100 0.544609
200 1.24251
300 1.86718
400 2.46175
500 2.98829
600 3.45539
700 3.91428
800 4.35331
900 4.80938
1000 5.24076
1100 5.70326
1200 6.12065
1300 6.44076
1400 6.80592
1500 7.18238
1600 7.55411
1700 7.96863
1800 8.26814
1900 8.55393
2000 8.90074
2100 9.28217
2200 9.65139
2300 9.91137
2400 10.1641
2500 10.4996
2600 10.9507
2700 11.3644
2800 11.7151
2900 12.0512
3000 12.4076
3100 12.7862
3200 13.1245
3300 13.4551
3400 13.807
3500 14.1609
3600 14.4394
3700 14.6976
3800 15.0886
3900 15.5967
4000 16.0886
4100 16.5279
4200 16.8945
4300 17.287
4400 17.7546
4500 18.2001
4600 18.5748
4700 18.8902
4800 19.0099
4900 19.2298
5000 19.446
5100 19.7048
5200 19.9678
5300 20.1152
5400 20.1833
5500 20.4077
5600 20.7157
5700 21.0821
5800 21.41
5900 21.6423
6000 21.9916
6100 22.4834
6200 22.8808
6300 23.2775
6400 23.6321
6500 23.8192
6600 23.9934
6700 24.1364
6800 24.2751
6900 24.547
7000 24.7795
7100 25.0805
7200 25.4018
7300 25.7493
7400 26.0858
7500 26.5016
7600 26.9214
7700 27.1325
7800 27.3331
7900 27.6048
8000 27.8464
8100 27.8975
8200 27.9193
8300 27.991
8400 28.2184
8500 28.495
8600 28.7762
8700 29.0928
8800 29.4592
8900 29.8111
9000 30.1246
9100 30.4613
9200 30.8499
9300 31.2638
9400 31.6326
9500 31.7818
9600 31.9388
9700 32.0687
9800 32.0415
9900 32.068
10000 32.1426
10100 32.2455
10200 32.4712
10300 32.7883
10400 33.1482
10500 33.3674
10600 33.6088
10700 33.9709
10800 34.4721
10900 35.0542
11000 35.4227
11100 35.8432
11200 36.1379
11300 36.3966
11400 36.5889
11500 36.7881
11600 37.0625
11700 37.4453
11800 37.6442
11900 37.9894
12000 38.3801
12100 38.7032
12200 39.0273
12300 39.3486
12400 39.6537
12500 40.201
12600 40.6116
12700 40.8876
12800 41.3372
12900 41.4218
13000 41.6616
13100 41.9194
13200 42.0347
13300 42.2757
13400 42.5244
13500 42.5993
13600 42.7952
13700 42.9702
13800 43.2831
13900 43.5484
14000 43.76
14100 44.1763
14200 44.5349
14300 44.7889
14400 44.7788
14500 44.7953
14600 44.7876
14700 44.6927
14800 44.8223
14900 45.0766
15000 45.2773
15100 45.3312
15200 45.4914
15300 45.9735
15400 46.3549
