# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_12_10_seed1[4]
0 1.60805e-28
100 0.524625
200 1.16079
300 1.67251
400 2.12989
500 2.55434
600 2.96267
700 3.37991
800 3.78303
900 4.16094
1000 4.52157
1100 4.78759
1200 5.0944
1300 5.4183
1400 5.69068
1500 5.91438
1600 6.10664
1700 6.40953
1800 6.70637
1900 6.97232
2000 7.12059
2100 7.40467
2200 7.70086
2300 7.88007
2400 8.06842
2500 8.27912
2600 8.42664
2700 8.61327
2800 8.80395
2900 9.08298
3000 9.33682
3100 9.63249
3200 9.80389
3300 9.94231
3400 10.087
3500 10.1838
3600 10.3396
3700 10.5425
3800 10.8238
3900 11.068
4000 11.3394
4100 11.5285
4200 11.7725
4300 11.9294
4400 12.0918
4500 12.2376
4600 12.3605
4700 12.5505
4800 12.6912
4900 12.8337
5000 12.9775
5100 13.19
5200 13.3247
5300 13.4355
5400 13.4824
5500 13.6081
5600 13.7237
5700 13.8011
5800 13.9432
5900 14.1473
6000 14.3448
6100 14.5183
6200 14.6914
6300 14.828
6400 14.9424
6500 15.2295
6600 15.4453
6700 15.6752
6800 15.7649
6900 15.8677
7000 15.9859
7100 16.0596
7200 16.3099
7300 16.5608
7400 16.7441
7500 16.7963
7600 16.693
7700 16.7293
7800 16.8493
7900 16.9693
8000 17.0999
8100 17.2025
8200 17.4001
8300 17.5474
8400 17.7121
8500 17.7473
8600 17.8685
8700 17.9459
8800 18.1499
8900 18.3591
9000 18.5394
9100 18.8863
9200 19.111
9300 19.2104
9400 19.3405
9500 19.3521
9600 19.4111
9700 19.4034
9800 19.4254
9900 19.4536
10000 19.4237
10100 19.4954
10200 19.5726
10300 19.6439
10400 19.6808
10500 19.8106
10600 19.9475
10700 20.1514
10800 20.3563
10900 20.5165
11000 20.6037
11100 20.7548
11200 20.9768
11300 21.1962
11400 21.3743
11500 21.5444
11600 21.6251
11700 21.7236
11800 21.862
11900 22.0738
12000 22.2243
12100 22.5438
12200 22.9512
12300 23.1841
12400 23.3323
12500 23.3813
12600 23.4787
12700 23.5439
12800 23.6944
12900 23.7721
13000 23.8032
13100 23.8532
13200 23.8984
13300 24.0502
13400 23.9994
13500 23.9895
13600 23.8427
13700 23.7686
13800 23.8431
13900 23.9489
14000 24.1211
14100 24.2021
14200 24.2463
14300 24.3452
14400 24.3407
14500 24.2683
14600 24.2411
14700 24.2022
14800 24.3474
14900 24.4784
15000 24.716
15100 24.8126
15200 24.7759
15300 24.8896
15400 24.8638
15500 24.7736
15600 24.8247
15700 24.9445
15800 25.1611
15900 25.24
16000 25.2794
16100 25.3079
16200 25.3221
16300 25.4194
16400 25.3709
16500 25.3242
16600 25.2754
16700 25.3451
16800 25.291
16900 25.2635
17000 25.1037
17100 25.0257
17200 25.1393
17300 25.3681
17400 25.4212
17500 25.5582
17600 25.5964
17700 25.6507
17800 25.6821
17900 25.6694
18000 25.5553
18100 25.648
18200 25.7474
18300 25.8611
18400 25.9889
18500 26.1007
18600 26.1943
18700 26.1932
18800 26.1863
18900 26.3495
19000 26.3702
19100 26.2503
19200 26.2783
19300 26.454
19400 26.5835
19500 26.7103
19600 26.8204
19700 26.9899
19800 27.2274
19900 27.4298
20000 27.5004
20100 27.8406
20200 28.0649
20300 28.193
20400 28.2384
20500 28.2738
20600 28.1356
20700 28.0155
20800 28.0253
20900 28.2442
21000 28.3669
21100 28.6389
21200 28.8964
21300 28.995
21400 29.1192
21500 29.2753
21600 29.3039
21700 29.2081
21800 29.3529
21900 29.4631
22000 29.6075
22100 29.668
22200 29.8731
22300 30.1656
22400 30.3906
22500 30.57
22600 30.7945
22700 31.0837
22800 31.2082
22900 31.3908
23000 31.5504
23100 31.5016
23200 31.4402
23300 31.5674
23400 31.7274
23500 31.7152
23600 31.624
23700 31.7049
23800 31.7585
23900 31.8049
24000 32.0113
24100 32.1295
24200 32.3447
24300 32.4672
24400 32.3576
24500 32.3707
24600 32.4638
24700 32.4437
24800 32.6644
24900 32.8849
25000 32.9666
25100 32.9105
25200 32.8674
25300 33.086
25400 33.3144
25500 33.4055
25600 33.5286
25700 33.7062
25800 33.9573
25900 33.9296
26000 33.9134
26100 33.8233
26200 33.7395
26300 33.7027
26400 33.7069
26500 33.8564
26600 33.793
26700 33.6779
26800 33.6652
26900 33.6422
27000 33.7044
27100 33.5853
27200 33.469
27300 33.6445
27400 33.6166
27500 33.4787
27600 33.4767
27700 33.5968
27800 33.6772
27900 33.6482
28000 33.6972
28100 33.7715
28200 33.8129
28300 33.8818
28400 33.8675
28500 34.0548
28600 34.0025
28700 33.8427
28800 33.7982
28900 33.9969
29000 34.2477
29100 34.291
29200 34.4413
29300 34.5754
29400 34.7685
29500 34.9024
29600 34.8301
29700 34.9556
29800 35.0633
29900 35.1523
30000 35.1724
30100 35.4334
30200 35.6405
30300 35.8022
30400 36.1446
30500 36.2429
30600 36.3929
30700 36.514
30800 36.4663
30900 36.5427
31000 36.6588
31100 36.755
31200 36.7808
31300 36.7527
31400 36.7623
31500 36.8101
31600 36.8396
31700 36.8946
31800 37.0386
31900 37.2086
32000 37.6135
32100 37.8336
32200 37.9628
32300 38.0246
32400 38.1886
32500 38.2487
32600 38.2568
