LAMMPS data file for polymer chains

3248 atoms
3132 bonds

2 atom types
1 bond types

0.0 32.0 xlo xhi
0.0 32.0 ylo yhi
0.0 32.0 zlo zhi

Masses

1 1.0  # Type A
2 1.0  # Type B

Atoms # molecular

1 1 1 0.000 0.000 0.000
2 1 1 0.000 0.000 0.525
3 1 1 0.000 0.000 1.049
4 1 1 0.000 0.000 1.574
5 1 1 0.000 0.000 2.098
6 1 1 0.000 0.000 2.623
7 1 1 0.000 0.000 3.148
8 1 1 0.000 0.000 3.672
9 1 1 0.000 0.000 4.197
10 1 1 0.000 0.000 4.721
11 1 1 0.000 0.000 5.246
12 1 1 0.000 0.000 5.770
13 1 1 0.000 0.000 6.295
14 1 1 0.000 0.000 6.820
15 1 1 0.000 0.000 7.344
16 1 1 0.000 0.000 7.869
17 1 1 0.000 0.000 8.393
18 1 1 0.000 0.000 8.918
19 1 1 0.000 0.000 9.443
20 1 1 0.000 0.000 9.967
21 1 1 0.000 0.000 10.492
22 1 1 0.000 0.000 11.016
23 1 1 0.000 0.000 11.541
24 1 1 0.000 0.000 12.066
25 1 1 0.000 0.000 12.590
26 1 1 0.000 0.000 13.115
27 1 1 0.000 0.000 13.639
28 1 1 0.000 0.000 14.164
29 2 1 3.855 0.000 0.000
30 2 1 3.855 0.000 0.525
31 2 1 3.855 0.000 1.049
32 2 1 3.855 0.000 1.574
33 2 1 3.855 0.000 2.098
34 2 1 3.855 0.000 2.623
35 2 1 3.855 0.000 3.148
36 2 1 3.855 0.000 3.672
37 2 1 3.855 0.000 4.197
38 2 1 3.855 0.000 4.721
39 2 1 3.855 0.000 5.246
40 2 1 3.855 0.000 5.770
41 2 1 3.855 0.000 6.295
42 2 1 3.855 0.000 6.820
43 2 1 3.855 0.000 7.344
44 2 1 3.855 0.000 7.869
45 2 1 3.855 0.000 8.393
46 2 1 3.855 0.000 8.918
47 2 1 3.855 0.000 9.443
48 2 1 3.855 0.000 9.967
49 2 1 3.855 0.000 10.492
50 2 1 3.855 0.000 11.016
51 2 1 3.855 0.000 11.541
52 2 1 3.855 0.000 12.066
53 2 1 3.855 0.000 12.590
54 2 1 3.855 0.000 13.115
55 2 1 3.855 0.000 13.639
56 2 1 3.855 0.000 14.164
57 3 1 7.711 0.000 0.000
58 3 1 7.711 0.000 0.525
59 3 1 7.711 0.000 1.049
60 3 1 7.711 0.000 1.574
61 3 1 7.711 0.000 2.098
62 3 1 7.711 0.000 2.623
63 3 1 7.711 0.000 3.148
64 3 1 7.711 0.000 3.672
65 3 1 7.711 0.000 4.197
66 3 1 7.711 0.000 4.721
67 3 1 7.711 0.000 5.246
68 3 1 7.711 0.000 5.770
69 3 1 7.711 0.000 6.295
70 3 1 7.711 0.000 6.820
71 3 1 7.711 0.000 7.344
72 3 1 7.711 0.000 7.869
73 3 1 7.711 0.000 8.393
74 3 1 7.711 0.000 8.918
75 3 1 7.711 0.000 9.443
76 3 1 7.711 0.000 9.967
77 3 1 7.711 0.000 10.492
78 3 1 7.711 0.000 11.016
79 3 1 7.711 0.000 11.541
80 3 1 7.711 0.000 12.066
81 3 1 7.711 0.000 12.590
82 3 1 7.711 0.000 13.115
83 3 1 7.711 0.000 13.639
84 3 1 7.711 0.000 14.164
85 4 1 11.566 0.000 0.000
86 4 1 11.566 0.000 0.525
87 4 1 11.566 0.000 1.049
88 4 1 11.566 0.000 1.574
89 4 1 11.566 0.000 2.098
90 4 1 11.566 0.000 2.623
91 4 1 11.566 0.000 3.148
92 4 1 11.566 0.000 3.672
93 4 1 11.566 0.000 4.197
94 4 1 11.566 0.000 4.721
95 4 1 11.566 0.000 5.246
96 4 1 11.566 0.000 5.770
97 4 1 11.566 0.000 6.295
98 4 1 11.566 0.000 6.820
99 4 1 11.566 0.000 7.344
100 4 1 11.566 0.000 7.869
101 4 1 11.566 0.000 8.393
102 4 1 11.566 0.000 8.918
103 4 1 11.566 0.000 9.443
104 4 1 11.566 0.000 9.967
105 4 1 11.566 0.000 10.492
106 4 1 11.566 0.000 11.016
107 4 1 11.566 0.000 11.541
108 4 1 11.566 0.000 12.066
109 4 1 11.566 0.000 12.590
110 4 1 11.566 0.000 13.115
111 4 1 11.566 0.000 13.639
112 4 1 11.566 0.000 14.164
113 5 1 15.422 0.000 0.000
114 5 1 15.422 0.000 0.525
115 5 1 15.422 0.000 1.049
116 5 1 15.422 0.000 1.574
117 5 1 15.422 0.000 2.098
118 5 1 15.422 0.000 2.623
119 5 1 15.422 0.000 3.148
120 5 1 15.422 0.000 3.672
121 5 1 15.422 0.000 4.197
122 5 1 15.422 0.000 4.721
123 5 1 15.422 0.000 5.246
124 5 1 15.422 0.000 5.770
125 5 1 15.422 0.000 6.295
126 5 1 15.422 0.000 6.820
127 5 1 15.422 0.000 7.344
128 5 1 15.422 0.000 7.869
129 5 1 15.422 0.000 8.393
130 5 1 15.422 0.000 8.918
131 5 1 15.422 0.000 9.443
132 5 1 15.422 0.000 9.967
133 5 1 15.422 0.000 10.492
134 5 1 15.422 0.000 11.016
135 5 1 15.422 0.000 11.541
136 5 1 15.422 0.000 12.066
137 5 1 15.422 0.000 12.590
138 5 1 15.422 0.000 13.115
139 5 1 15.422 0.000 13.639
140 5 1 15.422 0.000 14.164
141 6 1 19.277 0.000 0.000
142 6 1 19.277 0.000 0.525
143 6 1 19.277 0.000 1.049
144 6 1 19.277 0.000 1.574
145 6 1 19.277 0.000 2.098
146 6 1 19.277 0.000 2.623
147 6 1 19.277 0.000 3.148
148 6 1 19.277 0.000 3.672
149 6 1 19.277 0.000 4.197
150 6 1 19.277 0.000 4.721
151 6 1 19.277 0.000 5.246
152 6 1 19.277 0.000 5.770
153 6 1 19.277 0.000 6.295
154 6 1 19.277 0.000 6.820
155 6 1 19.277 0.000 7.344
156 6 1 19.277 0.000 7.869
157 6 1 19.277 0.000 8.393
158 6 1 19.277 0.000 8.918
159 6 1 19.277 0.000 9.443
160 6 1 19.277 0.000 9.967
161 6 1 19.277 0.000 10.492
162 6 1 19.277 0.000 11.016
163 6 1 19.277 0.000 11.541
164 6 1 19.277 0.000 12.066
165 6 1 19.277 0.000 12.590
166 6 1 19.277 0.000 13.115
167 6 1 19.277 0.000 13.639
168 6 1 19.277 0.000 14.164
169 7 1 23.133 0.000 0.000
170 7 1 23.133 0.000 0.525
171 7 1 23.133 0.000 1.049
172 7 1 23.133 0.000 1.574
173 7 1 23.133 0.000 2.098
174 7 1 23.133 0.000 2.623
175 7 1 23.133 0.000 3.148
176 7 1 23.133 0.000 3.672
177 7 1 23.133 0.000 4.197
178 7 1 23.133 0.000 4.721
179 7 1 23.133 0.000 5.246
180 7 1 23.133 0.000 5.770
181 7 1 23.133 0.000 6.295
182 7 1 23.133 0.000 6.820
183 7 1 23.133 0.000 7.344
184 7 1 23.133 0.000 7.869
185 7 1 23.133 0.000 8.393
186 7 1 23.133 0.000 8.918
187 7 1 23.133 0.000 9.443
188 7 1 23.133 0.000 9.967
189 7 1 23.133 0.000 10.492
190 7 1 23.133 0.000 11.016
191 7 1 23.133 0.000 11.541
192 7 1 23.133 0.000 12.066
193 7 1 23.133 0.000 12.590
194 7 1 23.133 0.000 13.115
195 7 1 23.133 0.000 13.639
