LAMMPS data file for polymer chains

8184 atoms
7502 bonds

2 atom types
1 bond types

0.0 32.0 xlo xhi
0.0 32.0 ylo yhi
0.0 32.0 zlo zhi

Masses

1 1.0  # Type A
2 1.0  # Type B

Atoms # molecular

1 1 1 0.000 0.000 0.000
2 1 1 0.000 0.000 1.103
3 1 1 0.000 0.000 2.207
4 1 1 0.000 0.000 3.310
5 1 1 0.000 0.000 4.414
6 1 1 0.000 0.000 5.517
7 1 1 0.000 0.000 6.621
8 1 1 0.000 0.000 7.724
9 1 1 0.000 0.000 8.828
10 1 1 0.000 0.000 9.931
11 1 1 0.000 0.000 11.034
12 1 1 0.000 0.000 12.138
13 2 1 1.658 0.000 0.000
14 2 1 1.658 0.000 1.103
15 2 1 1.658 0.000 2.207
16 2 1 1.658 0.000 3.310
17 2 1 1.658 0.000 4.414
18 2 1 1.658 0.000 5.517
19 2 1 1.658 0.000 6.621
20 2 1 1.658 0.000 7.724
21 2 1 1.658 0.000 8.828
22 2 1 1.658 0.000 9.931
23 2 1 1.658 0.000 11.034
24 2 1 1.658 0.000 12.138
25 3 1 3.316 0.000 0.000
26 3 1 3.316 0.000 1.103
27 3 1 3.316 0.000 2.207
28 3 1 3.316 0.000 3.310
29 3 1 3.316 0.000 4.414
30 3 1 3.316 0.000 5.517
31 3 1 3.316 0.000 6.621
32 3 1 3.316 0.000 7.724
33 3 1 3.316 0.000 8.828
34 3 1 3.316 0.000 9.931
35 3 1 3.316 0.000 11.034
36 3 1 3.316 0.000 12.138
37 4 1 4.974 0.000 0.000
38 4 1 4.974 0.000 1.103
39 4 1 4.974 0.000 2.207
40 4 1 4.974 0.000 3.310
41 4 1 4.974 0.000 4.414
42 4 1 4.974 0.000 5.517
43 4 1 4.974 0.000 6.621
44 4 1 4.974 0.000 7.724
45 4 1 4.974 0.000 8.828
46 4 1 4.974 0.000 9.931
47 4 1 4.974 0.000 11.034
48 4 1 4.974 0.000 12.138
49 5 1 6.632 0.000 0.000
50 5 1 6.632 0.000 1.103
51 5 1 6.632 0.000 2.207
52 5 1 6.632 0.000 3.310
53 5 1 6.632 0.000 4.414
54 5 1 6.632 0.000 5.517
55 5 1 6.632 0.000 6.621
56 5 1 6.632 0.000 7.724
57 5 1 6.632 0.000 8.828
58 5 1 6.632 0.000 9.931
59 5 1 6.632 0.000 11.034
60 5 1 6.632 0.000 12.138
61 6 1 8.290 0.000 0.000
62 6 1 8.290 0.000 1.103
63 6 1 8.290 0.000 2.207
64 6 1 8.290 0.000 3.310
65 6 1 8.290 0.000 4.414
66 6 1 8.290 0.000 5.517
67 6 1 8.290 0.000 6.621
68 6 1 8.290 0.000 7.724
69 6 1 8.290 0.000 8.828
70 6 1 8.290 0.000 9.931
71 6 1 8.290 0.000 11.034
72 6 1 8.290 0.000 12.138
73 7 1 9.948 0.000 0.000
74 7 1 9.948 0.000 1.103
75 7 1 9.948 0.000 2.207
76 7 1 9.948 0.000 3.310
77 7 1 9.948 0.000 4.414
78 7 1 9.948 0.000 5.517
79 7 1 9.948 0.000 6.621
80 7 1 9.948 0.000 7.724
81 7 1 9.948 0.000 8.828
82 7 1 9.948 0.000 9.931
83 7 1 9.948 0.000 11.034
84 7 1 9.948 0.000 12.138
85 8 1 11.606 0.000 0.000
86 8 1 11.606 0.000 1.103
87 8 1 11.606 0.000 2.207
88 8 1 11.606 0.000 3.310
89 8 1 11.606 0.000 4.414
90 8 1 11.606 0.000 5.517
91 8 1 11.606 0.000 6.621
92 8 1 11.606 0.000 7.724
93 8 1 11.606 0.000 8.828
94 8 1 11.606 0.000 9.931
95 8 1 11.606 0.000 11.034
96 8 1 11.606 0.000 12.138
97 9 1 13.264 0.000 0.000
98 9 1 13.264 0.000 1.103
99 9 1 13.264 0.000 2.207
100 9 1 13.264 0.000 3.310
101 9 1 13.264 0.000 4.414
102 9 1 13.264 0.000 5.517
103 9 1 13.264 0.000 6.621
104 9 1 13.264 0.000 7.724
105 9 1 13.264 0.000 8.828
106 9 1 13.264 0.000 9.931
107 9 1 13.264 0.000 11.034
108 9 1 13.264 0.000 12.138
109 10 1 14.922 0.000 0.000
110 10 1 14.922 0.000 1.103
111 10 1 14.922 0.000 2.207
