# Time-averaged data for fix coulombic_energy
# TimeStep c_pe_coul c_pe_pair c_qtotal
0 -243.903 -7236.7 0
100 -243.02 -7289.11 0
200 -243.16 -7349.61 0
300 -243.49 -7268.6 0
400 -244.744 -7269.96 0
500 -246.201 -7278.45 0
600 -247.396 -7345.78 0
700 -246.229 -7306.2 0
800 -246.824 -7339.73 0
900 -246.451 -7256.64 0
1000 -247.969 -7282.24 0
1100 -247.328 -7321.5 0
1200 -246.016 -7381.86 0
1300 -246.829 -7327.12 0
1400 -248.55 -7323.8 0
1500 -248.33 -7347.74 0
1600 -248.479 -7314.95 0
1700 -249.405 -7282.6 0
1800 -249.394 -7300.62 0
1900 -247.612 -7312.69 0
2000 -247.208 -7283.41 0
2100 -244.895 -7309.93 0
2200 -246.036 -7375.23 0
2300 -246.217 -7424.54 0
2400 -247.424 -7337 0
2500 -244.925 -7325.9 0
2600 -244.235 -7336.82 0
2700 -243.822 -7334.53 0
2800 -245.183 -7298.23 0
2900 -246.015 -7324.73 0
3000 -244.269 -7357.9 0
3100 -243.701 -7377.85 0
3200 -243.838 -7380.4 0
3300 -244.835 -7423.85 0
3400 -246.907 -7390.87 0
3500 -245.878 -7339.31 0
3600 -246.761 -7337.06 0
3700 -246.831 -7341.2 0
3800 -245.87 -7381.47 0
3900 -246.326 -7371.13 0
4000 -247.571 -7347.2 0
4100 -247.022 -7358.28 0
4200 -248.15 -7359.95 0
4300 -248.116 -7365.6 0
4400 -247.177 -7354.41 0
4500 -243.9 -7286.08 0
4600 -243.374 -7302.54 0
4700 -245.109 -7351.8 0
4800 -246.326 -7339.85 0
4900 -244.105 -7323.04 0
5000 -246.783 -7338.16 0
5100 -246.923 -7381.75 0
5200 -246.842 -7354.3 0
5300 -247.212 -7350.9 0
5400 -247.785 -7284.87 0
5500 -246.823 -7344.12 0
5600 -246.709 -7369.4 0
5700 -247.264 -7320.23 0
5800 -246.613 -7307.37 0
5900 -245.25 -7409.08 0
6000 -245.947 -7375.41 0
6100 -246.112 -7373.78 0
6200 -245.745 -7400.82 0
6300 -246.845 -7372.77 0
6400 -245.564 -7333.15 0
6500 -246.878 -7431.56 0
6600 -246.679 -7448.82 0
6700 -246.076 -7444.93 0
6800 -247.449 -7314.82 0
6900 -247.752 -7340.64 0
7000 -248.409 -7282.62 0
7100 -248.481 -7353.07 0
