LAMMPS data file for charged polymer chains

1632 atoms
1564 bonds

2 atom types
1 bond types

0.0 32.0 xlo xhi
0.0 32.0 ylo yhi
0.0 32.0 zlo zhi

Masses

1 1.0  # Type A
2 1.0  # Type B

Atoms # full

1 1 1 1.0 0.000 0.000 0.000
2 1 1 1.0 0.000 0.000 0.604
3 1 1 1.0 0.000 0.000 1.208
4 1 1 1.0 0.000 0.000 1.811
5 1 1 1.0 0.000 0.000 2.415
6 1 1 1.0 0.000 0.000 3.019
7 1 1 1.0 0.000 0.000 3.623
8 1 1 1.0 0.000 0.000 4.226
9 1 1 1.0 0.000 0.000 4.830
10 1 1 1.0 0.000 0.000 5.434
11 1 1 1.0 0.000 0.000 6.038
12 1 1 1.0 0.000 0.000 6.642
13 1 1 -1.0 0.000 0.000 7.245
14 1 1 -1.0 0.000 0.000 7.849
15 1 1 -1.0 0.000 0.000 8.453
16 1 1 -1.0 0.000 0.000 9.057
17 1 1 -1.0 0.000 0.000 9.660
18 1 1 -1.0 0.000 0.000 10.264
19 1 1 -1.0 0.000 0.000 10.868
20 1 1 -1.0 0.000 0.000 11.472
21 1 1 -1.0 0.000 0.000 12.075
22 1 1 -1.0 0.000 0.000 12.679
23 1 1 -1.0 0.000 0.000 13.283
24 1 1 -1.0 0.000 0.000 13.887
25 2 1 1.0 5.079 0.000 0.000
26 2 1 1.0 5.079 0.000 0.604
27 2 1 1.0 5.079 0.000 1.208
28 2 1 1.0 5.079 0.000 1.811
29 2 1 1.0 5.079 0.000 2.415
30 2 1 1.0 5.079 0.000 3.019
31 2 1 1.0 5.079 0.000 3.623
32 2 1 1.0 5.079 0.000 4.226
33 2 1 1.0 5.079 0.000 4.830
34 2 1 1.0 5.079 0.000 5.434
35 2 1 1.0 5.079 0.000 6.038
36 2 1 1.0 5.079 0.000 6.642
37 2 1 -1.0 5.079 0.000 7.245
38 2 1 -1.0 5.079 0.000 7.849
39 2 1 -1.0 5.079 0.000 8.453
40 2 1 -1.0 5.079 0.000 9.057
41 2 1 -1.0 5.079 0.000 9.660
42 2 1 -1.0 5.079 0.000 10.264
43 2 1 -1.0 5.079 0.000 10.868
44 2 1 -1.0 5.079 0.000 11.472
45 2 1 -1.0 5.079 0.000 12.075
46 2 1 -1.0 5.079 0.000 12.679
47 2 1 -1.0 5.079 0.000 13.283
48 2 1 -1.0 5.079 0.000 13.887
49 3 1 1.0 10.159 0.000 0.000
50 3 1 1.0 10.159 0.000 0.604
51 3 1 1.0 10.159 0.000 1.208
52 3 1 1.0 10.159 0.000 1.811
53 3 1 1.0 10.159 0.000 2.415
54 3 1 1.0 10.159 0.000 3.019
55 3 1 1.0 10.159 0.000 3.623
56 3 1 1.0 10.159 0.000 4.226
57 3 1 1.0 10.159 0.000 4.830
58 3 1 1.0 10.159 0.000 5.434
59 3 1 1.0 10.159 0.000 6.038
60 3 1 1.0 10.159 0.000 6.642
61 3 1 -1.0 10.159 0.000 7.245
62 3 1 -1.0 10.159 0.000 7.849
63 3 1 -1.0 10.159 0.000 8.453
64 3 1 -1.0 10.159 0.000 9.057
65 3 1 -1.0 10.159 0.000 9.660
66 3 1 -1.0 10.159 0.000 10.264
67 3 1 -1.0 10.159 0.000 10.868
68 3 1 -1.0 10.159 0.000 11.472
69 3 1 -1.0 10.159 0.000 12.075
70 3 1 -1.0 10.159 0.000 12.679
71 3 1 -1.0 10.159 0.000 13.283
72 3 1 -1.0 10.159 0.000 13.887
73 4 1 1.0 15.238 0.000 0.000
74 4 1 1.0 15.238 0.000 0.604
75 4 1 1.0 15.238 0.000 1.208
76 4 1 1.0 15.238 0.000 1.811
77 4 1 1.0 15.238 0.000 2.415
78 4 1 1.0 15.238 0.000 3.019
79 4 1 1.0 15.238 0.000 3.623
80 4 1 1.0 15.238 0.000 4.226
81 4 1 1.0 15.238 0.000 4.830
82 4 1 1.0 15.238 0.000 5.434
83 4 1 1.0 15.238 0.000 6.038
84 4 1 1.0 15.238 0.000 6.642
85 4 1 -1.0 15.238 0.000 7.245
86 4 1 -1.0 15.238 0.000 7.849
87 4 1 -1.0 15.238 0.000 8.453
88 4 1 -1.0 15.238 0.000 9.057
89 4 1 -1.0 15.238 0.000 9.660
90 4 1 -1.0 15.238 0.000 10.264
91 4 1 -1.0 15.238 0.000 10.868
92 4 1 -1.0 15.238 0.000 11.472
93 4 1 -1.0 15.238 0.000 12.075
94 4 1 -1.0 15.238 0.000 12.679
95 4 1 -1.0 15.238 0.000 13.283
96 4 1 -1.0 15.238 0.000 13.887
97 5 1 1.0 20.317 0.000 0.000
98 5 1 1.0 20.317 0.000 0.604
99 5 1 1.0 20.317 0.000 1.208
100 5 1 1.0 20.317 0.000 1.811
101 5 1 1.0 20.317 0.000 2.415
102 5 1 1.0 20.317 0.000 3.019
103 5 1 1.0 20.317 0.000 3.623
104 5 1 1.0 20.317 0.000 4.226
105 5 1 1.0 20.317 0.000 4.830
106 5 1 1.0 20.317 0.000 5.434
107 5 1 1.0 20.317 0.000 6.038
108 5 1 1.0 20.317 0.000 6.642
109 5 1 -1.0 20.317 0.000 7.245
110 5 1 -1.0 20.317 0.000 7.849
111 5 1 -1.0 20.317 0.000 8.453
112 5 1 -1.0 20.317 0.000 9.057
113 5 1 -1.0 20.317 0.000 9.660
114 5 1 -1.0 20.317 0.000 10.264
115 5 1 -1.0 20.317 0.000 10.868
116 5 1 -1.0 20.317 0.000 11.472
117 5 1 -1.0 20.317 0.000 12.075
118 5 1 -1.0 20.317 0.000 12.679
119 5 1 -1.0 20.317 0.000 13.283
120 5 1 -1.0 20.317 0.000 13.887
121 6 1 1.0 25.397 0.000 0.000
122 6 1 1.0 25.397 0.000 0.604
123 6 1 1.0 25.397 0.000 1.208
124 6 1 1.0 25.397 0.000 1.811
125 6 1 1.0 25.397 0.000 2.415
126 6 1 1.0 25.397 0.000 3.019
127 6 1 1.0 25.397 0.000 3.623
128 6 1 1.0 25.397 0.000 4.226
