# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 6.56306e-28
50 0.182373
100 0.472365
150 0.76057
200 1.03951
250 1.29318
300 1.52458
350 1.72999
400 1.91501
450 2.09598
500 2.27453
550 2.44313
600 2.59964
650 2.72305
700 2.83054
750 2.96611
800 3.09533
850 3.22253
900 3.3584
950 3.49191
1000 3.6207
1050 3.7513
1100 3.87911
1150 3.9867
1200 4.10564
1250 4.21551
1300 4.34497
1350 4.47307
1400 4.57573
1450 4.66621
1500 4.78058
1550 4.88237
1600 4.96204
1650 5.06369
1700 5.1638
1750 5.25188
1800 5.35354
1850 5.43281
1900 5.5609
1950 5.64576
2000 5.72769
2050 5.81712
2100 5.90854
2150 5.96868
2200 6.04718
2250 6.11725
2300 6.19894
2350 6.28926
2400 6.3634
2450 6.41549
2500 6.5071
2550 6.59732
2600 6.71275
2650 6.82562
2700 6.89174
2750 6.9597
2800 7.00171
2850 7.04581
2900 7.10225
2950 7.15734
3000 7.217
3050 7.27538
3100 7.32965
3150 7.4085
3200 7.49454
3250 7.60148
3300 7.72623
3350 7.82974
3400 7.92902
3450 8.04599
3500 8.13426
3550 8.21168
3600 8.24837
3650 8.30079
3700 8.36835
3750 8.42072
3800 8.42984
3850 8.46507
3900 8.49818
3950 8.54847
4000 8.5909
4050 8.66292
4100 8.71035
4150 8.76393
4200 8.79052
4250 8.78755
4300 8.82159
4350 8.91904
4400 8.99278
4450 9.08322
4500 9.17286
4550 9.28
4600 9.32804
4650 9.35341
4700 9.38473
4750 9.40643
4800 9.36433
4850 9.32244
4900 9.33835
4950 9.40102
5000 9.43908
5050 9.44723
5100 9.47434
5150 9.52373
5200 9.58895
5250 9.62828
5300 9.70645
5350 9.76039
5400 9.81755
5450 9.8505
5500 9.87338
5550 9.9367
5600 9.98116
5650 10.028
5700 10.1109
5750 10.1603
5800 10.1908
5850 10.2541
5900 10.3163
5950 10.4366
6000 10.5183
6050 10.5981
6100 10.6533
6150 10.7068
6200 10.7738
6250 10.8511
6300 10.9239
6350 10.9714
6400 11.0624
6450 11.1246
6500 11.1529
6550 11.2337
6600 11.3075
6650 11.3466
6700 11.3671
6750 11.3455
6800 11.2923
6850 11.3029
6900 11.3515
6950 11.4283
7000 11.5342
7050 11.6235
7100 11.6799
7150 11.7061
7200 11.7596
7250 11.8041
7300 11.8522
7350 11.9036
7400 11.9227
7450 11.9604
7500 12.0195
7550 12.0649
7600 12.0962
7650 12.1492
7700 12.1626
7750 12.1826
7800 12.2581
7850 12.3253
7900 12.3939
7950 12.4753
8000 12.5829
8050 12.6562
8100 12.7458
8150 12.8399
8200 12.9254
8250 13.0111
8300 13.1039
8350 13.1345
8400 13.1749
8450 13.1821
8500 13.1774
8550 13.1747
8600 13.2012
8650 13.2905
8700 13.3872
8750 13.4888
8800 13.5442
8850 13.5451
8900 13.6098
8950 13.6326
9000 13.6294
9050 13.689
9100 13.789
9150 13.8695
9200 13.9901
9250 14.0249
9300 14.0672
9350 14.0861
9400 14.1546
9450 14.2292
9500 14.337
9550 14.4106
9600 14.4816
9650 14.5749
9700 14.674
9750 14.7656
9800 14.8434
9850 14.8829
9900 14.9239
9950 14.9889
10000 15.0669
10050 15.1437
10100 15.2279
10150 15.2822
10200 15.2902
10250 15.3345
10300 15.3857
10350 15.3696
10400 15.4056
10450 15.4147
10500 15.4583
10550 15.5229
10600 15.5944
10650 15.6057
10700 15.6401
10750 15.6833
10800 15.7213
10850 15.7921
10900 15.8225
10950 15.8444
11000 15.8326
11050 15.8648
11100 15.889
11150 15.8965
11200 15.8993
11250 15.9631
11300 16.0388
11350 16.1178
11400 16.1685
11450 16.2547
11500 16.3876
11550 16.4944
11600 16.5767
11650 16.5785
11700 16.6276
11750 16.7578
11800 16.872
11850 16.9622
11900 17.0326
11950 17.1051
12000 17.1109
12050 17.136
12100 17.2187
12150 17.3326
12200 17.3924
12250 17.4698
12300 17.4608
12350 17.3521
12400 17.2379
12450 17.229
12500 17.2904
12550 17.3422
12600 17.3483
12650 17.3267
12700 17.3827
12750 17.4341
12800 17.5259
12850 17.6086
12900 17.6416
12950 17.6855
13000 17.7824
13050 17.8395
13100 17.9005
13150 17.9921
13200 18.0628
13250 18.171
13300 18.265
13350 18.3197
13400 18.3271
13450 18.4311
13500 18.489
13550 18.5785
13600 18.6551
13650 18.6912
13700 18.7512
13750 18.8709
13800 18.8984
13850 18.9659
13900 18.9686
13950 18.9745
14000 18.9742
14050 18.9954
14100 19.0637
14150 19.1056
14200 19.1621
14250 19.2204
14300 19.2492
14350 19.3063
14400 19.3218
14450 19.3672
14500 19.4034
14550 19.4256
14600 19.4591
14650 19.4694
14700 19.4587
14750 19.5477
14800 19.6289
14850 19.7706
14900 19.9154
14950 19.9785
15000 19.9714
15050 19.9363
15100 19.9051
15150 19.8849
15200 19.8637
15250 19.817
15300 19.8622
15350 19.9578
15400 20.0104
15450 20.0639
15500 20.1192
15550 20.0965
15600 20.1061
15650 20.0944
15700 20.1489
