# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 21.9161
100 21.9281
200 21.9209
300 21.9229
400 21.9151
500 21.9036
600 21.8976
700 21.8843
800 21.8892
900 21.899
1000 21.9024
1100 21.9064
1200 21.8994
1300 21.8951
1400 21.8943
1500 21.9082
1600 21.9063
1700 21.8829
1800 21.8803
1900 21.8861
2000 21.8908
2100 21.9018
2200 21.9093
2300 21.9217
2400 21.9397
2500 21.9453
2600 21.9461
2700 21.9472
2800 21.949
2900 21.9427
3000 21.9335
3100 21.9214
3200 21.938
3300 21.961
3400 21.9546
3500 21.9468
3600 21.9537
3700 21.9602
3800 21.9656
3900 21.9688
4000 21.9634
4100 21.9509
4200 21.9367
4300 21.9345
4400 21.9157
4500 21.9006
4600 21.9067
4700 21.9033
4800 21.8974
4900 21.8906
5000 21.8825
5100 21.8842
5200 21.8892
5300 21.8908
5400 21.9007
5500 21.9062
5600 21.9102
5700 21.9201
5800 21.9262
5900 21.9394
6000 21.9475
6100 21.9461
6200 21.9399
6300 21.9314
6400 21.9354
6500 21.9463
6600 21.9463
6700 21.9485
6800 21.9469
6900 21.9534
7000 21.946
7100 21.9308
7200 21.9365
7300 21.9457
7400 21.948
7500 21.9546
7600 21.9661
7700 21.9742
7800 21.9872
7900 21.9858
8000 21.9802
8100 21.9866
8200 21.9963
8300 22.0033
8400 22.025
8500 22.0288
8600 22.0244
8700 22.0307
8800 22.0185
8900 22.0107
9000 22.0238
9100 22.0214
9200 22.0271
9300 22.0274
9400 22.0125
9500 21.993
9600 21.9829
9700 21.9737
9800 21.9685
9900 21.9793
10000 21.9753
10100 21.9749
10200 21.9636
10300 21.9632
10400 21.9686
10500 21.9718
10600 21.974
10700 21.9855
10800 22.0082
10900 22.0188
11000 22.0237
11100 22.0457
11200 22.0607
11300 22.0675
11400 22.0771
11500 22.0861
11600 22.0674
11700 22.0707
11800 22.0525
11900 22.0422
12000 22.0337
12100 22.0246
12200 22.0248
12300 22.0203
12400 22.0139
12500 22.0179
12600 22.0251
12700 22.026
12800 22.0475
12900 22.0538
13000 22.0605
13100 22.0682
13200 22.0797
13300 22.0845
13400 22.0985
13500 22.1117
13600 22.1171
13700 22.1286
13800 22.1355
13900 22.1273
14000 22.0987
14100 22.0884
14200 22.0803
14300 22.0709
14400 22.0569
14500 22.0478
14600 22.0417
14700 22.0351
14800 22.0328
14900 22.0327
15000 22.0387
15100 22.0392
15200 22.0442
15300 22.0545
15400 22.0677
15500 22.0831
15600 22.0982
15700 22.108
15800 22.1327
15900 22.1344
16000 22.1301
16100 22.1362
16200 22.1284
16300 22.1259
16400 22.1412
16500 22.1216
16600 22.1117
16700 22.1108
16800 22.106
16900 22.1007
17000 22.0967
17100 22.1029
17200 22.1103
17300 22.1187
17400 22.1343
17500 22.1424
17600 22.1464
17700 22.1534
17800 22.1559
17900 22.1578
18000 22.141
18100 22.1187
18200 22.1112
18300 22.1075
18400 22.1157
18500 22.1054
18600 22.097
18700 22.0888
18800 22.0714
18900 22.0787
19000 22.0745
19100 22.0886
19200 22.0925
19300 22.1072
19400 22.1171
19500 22.1303
19600 22.1181
19700 22.1035
19800 22.0965
19900 22.0683
20000 22.0468
20100 22.0634
20200 22.0675
20300 22.0737
20400 22.0886
20500 22.1051
20600 22.1072
20700 22.1239
20800 22.1213
20900 22.1236
21000 22.1281
21100 22.1299
21200 22.1314
21300 22.1235
21400 22.1227
21500 22.1188
21600 22.1192
21700 22.1368
21800 22.1406
21900 22.1343
22000 22.13
22100 22.111
22200 22.1113
22300 22.1144
22400 22.1191
22500 22.1316
22600 22.1519
22700 22.1616
22800 22.1599
22900 22.1696
