# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.17372e-28
50 0.196982
100 0.555126
150 0.912887
200 1.24722
250 1.57168
300 1.89312
350 2.18114
400 2.44632
450 2.70443
500 2.96314
550 3.22817
600 3.48575
650 3.74414
700 3.98842
750 4.21668
800 4.43775
850 4.66932
900 4.91831
950 5.17523
1000 5.38111
1050 5.56755
1100 5.75377
1150 5.97192
1200 6.13791
1250 6.28865
1300 6.4342
1350 6.55911
1400 6.69204
1450 6.82475
1500 6.93527
1550 7.06732
1600 7.22407
1650 7.40948
1700 7.5559
1750 7.72341
1800 7.92807
1850 8.11176
1900 8.31696
1950 8.51872
2000 8.67813
2050 8.84922
2100 9.0098
2150 9.17439
2200 9.3444
2250 9.52295
2300 9.71685
2350 9.89359
2400 10.0611
2450 10.2311
2500 10.436
2550 10.6494
2600 10.8468
2650 11.0895
2700 11.338
2750 11.5752
2800 11.7944
2850 12.0316
2900 12.2753
2950 12.5051
3000 12.717
3050 12.8927
3100 13.0943
3150 13.2622
3200 13.4632
3250 13.6429
3300 13.8507
3350 13.9729
3400 14.0676
3450 14.1958
3500 14.3101
3550 14.4221
3600 14.5269
3650 14.6932
3700 14.825
3750 14.9696
3800 15.1433
3850 15.3264
3900 15.5118
3950 15.6466
4000 15.7702
4050 15.947
4100 16.165
4150 16.39
4200 16.6215
4250 16.8801
4300 17.057
4350 17.2354
4400 17.3895
4450 17.5487
4500 17.7525
4550 17.9327
4600 18.1141
4650 18.3059
4700 18.4996
4750 18.6614
4800 18.8517
4850 19.0024
4900 19.1622
4950 19.3557
5000 19.5121
5050 19.6861
5100 19.7668
5150 19.9294
5200 20.1451
5250 20.3382
5300 20.5497
5350 20.7864
5400 20.9967
5450 21.2319
5500 21.4876
5550 21.7406
5600 21.9853
5650 22.1455
5700 22.2641
5750 22.3901
5800 22.5039
5850 22.5262
5900 22.5396
5950 22.5542
6000 22.62
6050 22.7009
6100 22.8772
6150 23.058
6200 23.2305
6250 23.3858
6300 23.6056
6350 23.8088
6400 24.0086
6450 24.195
6500 24.4298
6550 24.6593
6600 24.8545
6650 25.0305
6700 25.1141
6750 25.1513
6800 25.186
6850 25.2029
6900 25.1587
6950 25.0938
7000 25.1061
7050 25.1426
7100 25.0986
7150 25.0707
7200 25.0636
7250 25.0789
7300 25.1015
7350 25.1294
7400 25.1927
7450 25.2562
7500 25.3379
7550 25.4382
7600 25.5468
7650 25.6875
7700 25.7847
7750 25.8709
7800 25.9771
7850 26.1034
7900 26.1954
7950 26.2497
8000 26.3776
8050 26.4509
8100 26.4804
8150 26.5779
8200 26.734
8250 26.9178
8300 27.1222
8350 27.3474
8400 27.5578
8450 27.7083
8500 27.8795
8550 28.0619
8600 28.2464
8650 28.3628
8700 28.4513
8750 28.5221
8800 28.6218
8850 28.7503
8900 28.7966
8950 28.9
9000 29.0179
9050 29.1393
9100 29.2637
9150 29.4304
9200 29.6161
9250 29.7574
9300 29.9033
9350 30.0532
9400 30.2051
9450 30.314
9500 30.4664
9550 30.6958
9600 30.8857
9650 31.0595
9700 31.1859
9750 31.2552
9800 31.2735
9850 31.2611
9900 31.3318
9950 31.3591
10000 31.3781
10050 31.4318
10100 31.5392
10150 31.7333
10200 31.9581
10250 32.1109
10300 32.2656
10350 32.469
10400 32.7151
10450 32.903
10500 33.053
10550 33.1675
10600 33.2099
10650 33.3379
10700 33.429
10750 33.5294
10800 33.6152
10850 33.772
10900 33.9127
10950 34.0735
11000 34.1945
11050 34.2775
11100 34.3788
11150 34.4789
11200 34.5234
11250 34.5715
11300 34.6011
11350 34.6485
11400 34.707
11450 34.7029
11500 34.7436
11550 34.8617
11600 34.943
11650 35.1199
11700 35.3811
11750 35.5642
11800 35.7758
11850 35.9321
11900 36.092
11950 36.2341
12000 36.3985
12050 36.5674
12100 36.7678
12150 37.0314
12200 37.291
12250 37.4905
12300 37.6114
12350 37.7383
12400 37.7944
12450 37.9043
12500 37.9867
12550 38.1669
12600 38.3081
12650 38.474
12700 38.5708
12750 38.6963
12800 38.8393
12850 38.9968
12900 39.0487
12950 39.1777
13000 39.3518
13050 39.506
13100 39.7206
13150 39.8566
13200 39.9801
13250 40.1602
13300 40.2464
13350 40.2795
13400 40.3314
13450 40.3313
13500 40.3431
13550 40.4266
13600 40.5721
13650 40.7261
13700 40.8792
13750 40.891
13800 40.8145
13850 40.789
13900 40.845
13950 40.9437
14000 41.0859
14050 41.1876
14100 41.351
14150 41.4967
14200 41.5783
14250 41.6064
14300 41.6908
14350 41.752
14400 41.7213
14450 41.7535
14500 41.7562
14550 41.8578
14600 41.9521
14650 41.981
14700 42.0373
14750 42.0269
14800 42.0704
14850 42.1951
14900 42.2665
14950 42.5051
15000 42.6555
15050 42.7469
15100 42.9136
15150 43.0683
15200 43.182
15250 43.296
15300 43.3934
15350 43.4216
15400 43.4423
15450 43.4972
15500 43.5268
15550 43.5338
15600 43.5973
15650 43.7196
15700 43.7481
15750 43.7718
15800 43.8151
15850 43.9949
15900 44.1706
15950 44.3365
16000 44.5263
16050 44.7034
16100 44.906
16150 45.0406
16200 45.1259
16250 45.2447
16300 45.3674
16350 45.5413
16400 45.6919
16450 45.7
16500 45.7121
16550 45.7394
16600 45.8078
16650 45.8918
16700 46.0202
16750 46.0882
16800 46.1975
16850 46.2203
16900 46.3006
16950 46.4428
17000 46.6127
17050 46.7882
17100 46.9987
17150 47.1748
17200 47.3134
17250 47.4609
17300 47.5792
17350 47.7725
17400 47.9089
17450 48.0383
17500 48.0892
17550 48.1838
17600 48.3217
17650 48.4671
17700 48.6609
17750 48.8146
17800 49.0122
17850 49.2727
17900 49.4832
17950 49.5912
18000 49.7247
18050 49.8688
18100 50.0376
18150 50.1834
18200 50.2271
18250 50.1875
18300 50.244
18350 50.2967
18400 50.306
18450 50.3753
18500 50.4735
18550 50.5819
18600 50.7185
18650 50.8761
18700 50.9842
18750 51.1109
18800 51.2406
18850 51.3142
18900 51.4396
18950 51.6189
19000 51.7004
19050 51.7779
19100 51.8793
19150 51.9702
19200 52.0942
19250 52.2618
19300 52.3893
19350 52.5123
19400 52.6511
19450 52.726
19500 52.8692
19550 53.0026
19600 53.0135
19650 53.0445
19700 53.1423
19750 53.2503
19800 53.3275
19850 53.4439
19900 53.6156
19950 53.7467
20000 53.8503
20050 53.9921
20100 54.0661
20150 54.1598
20200 54.2989
20250 54.4858
20300 54.7119
20350 54.9592
20400 55.1478
20450 55.3102
20500 55.474
20550 55.7326
20600 55.9906
20650 56.2233
20700 56.3552
20750 56.4999
20800 56.7216
20850 56.961
20900 57.187
20950 57.3821
21000 57.5438
21050 57.7111
21100 57.8695
21150 58.0534
21200 58.2557
21250 58.4355
21300 58.6444
21350 58.8518
21400 59.0742
21450 59.2986
21500 59.5684
21550 59.8101
21600 59.911
21650 59.8667
21700 59.9232
21750 59.9235
21800 59.9602
21850 60.0325
21900 60.152
21950 60.2975
22000 60.455
22050 60.654
22100 60.8837
22150 61.0941
22200 61.2346
22250 61.3763
22300 61.478
22350 61.5944
22400 61.7278
22450 61.7915
22500 61.8478
22550 61.8822
22600 61.8683
22650 61.8662
22700 61.9428
22750 62.0847
22800 62.2128
22850 62.3985
22900 62.5243
22950 62.6881
23000 62.8392
23050 62.9505
23100 63.1559
23150 63.3027
23200 63.3416
23250 63.3335
23300 63.4026
23350 63.5632
23400 63.8111
23450 64.0719
23500 64.2895
23550 64.5452
