# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 4.6411e-29
50 0.185866
100 0.508166
150 0.827061
200 1.1156
250 1.38064
300 1.64226
350 1.91091
400 2.1546
450 2.35799
500 2.57154
550 2.77783
600 3.00712
650 3.21677
700 3.44812
750 3.66623
800 3.8692
850 4.06303
900 4.24254
950 4.40986
1000 4.60778
1050 4.80885
1100 4.98758
1150 5.18
1200 5.36353
1250 5.52062
1300 5.66465
1350 5.84286
1400 6.02916
1450 6.21166
1500 6.38716
1550 6.54555
1600 6.68286
1650 6.81896
1700 6.92841
1750 7.04694
1800 7.16943
1850 7.30294
1900 7.39614
1950 7.46275
2000 7.55268
2050 7.67041
2100 7.796
2150 7.87291
2200 7.90248
2250 7.97482
2300 8.05491
2350 8.14278
2400 8.20958
2450 8.25827
2500 8.34412
2550 8.46494
2600 8.55099
2650 8.632
2700 8.7236
2750 8.83473
2800 8.91584
2850 8.96524
2900 9.03349
2950 9.12214
3000 9.21578
3050 9.29661
3100 9.36286
3150 9.47165
3200 9.6057
3250 9.7299
3300 9.83989
3350 9.94521
3400 10.0459
3450 10.1689
3500 10.2834
3550 10.4462
3600 10.5859
3650 10.6731
3700 10.7324
3750 10.7832
3800 10.8778
3850 10.9627
3900 11.0456
3950 11.1196
4000 11.2086
4050 11.2952
4100 11.393
4150 11.5064
4200 11.6143
4250 11.7374
4300 11.8489
4350 11.9517
4400 12.0441
4450 12.141
4500 12.2542
4550 12.3226
4600 12.354
4650 12.4201
4700 12.4961
4750 12.5934
4800 12.6899
4850 12.7802
4900 12.8795
4950 12.9813
5000 13.1139
5050 13.2316
5100 13.3549
5150 13.4188
5200 13.533
5250 13.6532
5300 13.7726
5350 13.8644
5400 13.9349
5450 14.0439
5500 14.1493
5550 14.2199
5600 14.2508
5650 14.2997
5700 14.3703
5750 14.4672
5800 14.5239
5850 14.5998
5900 14.692
5950 14.7823
6000 14.8882
6050 14.9849
6100 15.0438
6150 15.1294
6200 15.1897
6250 15.2386
6300 15.2795
6350 15.3364
6400 15.3935
6450 15.4337
6500 15.468
6550 15.5189
6600 15.5651
6650 15.6404
6700 15.7063
6750 15.8115
6800 15.8243
6850 15.8317
6900 15.8385
6950 15.8712
7000 15.9442
7050 16.0098
7100 16.0697
7150 16.1188
7200 16.1634
7250 16.2194
7300 16.2789
7350 16.3569
7400 16.436
7450 16.4733
7500 16.5763
7550 16.6884
7600 16.7897
7650 16.8964
7700 16.9672
7750 17.0199
7800 17.0041
7850 16.9787
7900 17.0101
7950 17.0689
8000 17.1581
8050 17.2942
8100 17.4397
8150 17.5503
8200 17.676
8250 17.788
8300 17.8963
8350 18.0082
8400 18.0966
8450 18.1869
8500 18.2134
8550 18.2402
8600 18.2594
8650 18.2788
8700 18.3785
8750 18.4419
8800 18.5078
8850 18.5778
8900 18.677
8950 18.7284
9000 18.8208
9050 18.9569
9100 19.0629
9150 19.1088
9200 19.1743
9250 19.1616
9300 19.1581
9350 19.1616
9400 19.195
9450 19.2751
9500 19.329
9550 19.3775
9600 19.4317
9650 19.5096
9700 19.5729
9750 19.581
9800 19.5553
9850 19.5513
9900 19.4991
9950 19.4469
10000 19.4079
10050 19.3781
10100 19.4092
10150 19.4724
10200 19.5219
10250 19.585
10300 19.6229
10350 19.7432
10400 19.8546
10450 19.9508
10500 20.0203
10550 20.078
10600 20.1833
10650 20.2669
10700 20.317
10750 20.4617
10800 20.5069
10850 20.5453
10900 20.6003
10950 20.7226
11000 20.8841
11050 21.0501
11100 21.1921
11150 21.3293
11200 21.5065
11250 21.6387
11300 21.7286
11350 21.7729
11400 21.8101
11450 21.8447
11500 21.8911
11550 21.9914
11600 22.0937
11650 22.2238
11700 22.3609
11750 22.5234
11800 22.6732
11850 22.7748
11900 22.9092
11950 23.0429
12000 23.1392
12050 23.1738
12100 23.1979
12150 23.2725
12200 23.3497
12250 23.4267
12300 23.5505
12350 23.6453
12400 23.7661
12450 23.9238
12500 24.1267
12550 24.2997
12600 24.3265
12650 24.2906
12700 24.3009
12750 24.3257
12800 24.3272
12850 24.2804
12900 24.2921
12950 24.3016
13000 24.3312
13050 24.4159
13100 24.5387
13150 24.7024
13200 24.8254
13250 24.8342
13300 24.8154
13350 24.7675
13400 24.7736
