# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.06508e-28
50 0.185335
100 0.492845
150 0.78484
200 1.07149
250 1.332
300 1.56303
350 1.76923
400 1.95937
450 2.16571
500 2.36303
550 2.55011
600 2.74258
650 2.93717
700 3.12308
750 3.29287
800 3.43521
850 3.54164
900 3.64693
950 3.77519
1000 3.92175
1050 4.04024
1100 4.16656
1150 4.31419
1200 4.45894
1250 4.62534
1300 4.76013
1350 4.88001
1400 5.0351
1450 5.19375
1500 5.33337
1550 5.45656
1600 5.5954
1650 5.76288
1700 5.89877
1750 6.01783
1800 6.13821
1850 6.24904
1900 6.3338
1950 6.38167
2000 6.46569
2050 6.5645
2100 6.678
2150 6.78167
2200 6.85028
2250 6.93702
2300 7.01147
2350 7.10036
2400 7.19835
2450 7.25129
2500 7.29901
2550 7.34304
2600 7.39819
2650 7.51034
2700 7.61418
2750 7.72953
2800 7.84449
2850 7.94939
2900 8.05458
2950 8.1157
3000 8.20924
3050 8.30613
3100 8.40819
3150 8.48657
3200 8.53449
3250 8.55409
3300 8.60572
3350 8.6329
3400 8.71246
3450 8.83527
3500 8.92955
3550 9.0314
3600 9.09877
3650 9.1405
3700 9.15086
3750 9.18871
3800 9.24712
3850 9.31808
3900 9.3962
3950 9.47705
4000 9.53815
4050 9.60657
4100 9.70874
4150 9.78728
4200 9.87344
4250 9.98109
4300 10.0974
4350 10.203
4400 10.3492
4450 10.4478
4500 10.5611
4550 10.6481
4600 10.7617
4650 10.8281
4700 10.8763
4750 10.9763
4800 11.1263
4850 11.2783
4900 11.4222
4950 11.561
5000 11.6785
5050 11.7984
5100 11.918
5150 12.04
5200 12.1464
5250 12.2902
5300 12.4331
5350 12.5261
5400 12.6195
5450 12.6948
5500 12.7786
5550 12.9111
5600 12.9918
5650 13.0512
5700 13.1485
5750 13.2507
5800 13.3847
5850 13.4987
5900 13.5511
5950 13.5726
6000 13.5487
6050 13.5451
6100 13.6359
6150 13.7294
6200 13.7893
6250 13.8375
6300 13.8893
6350 13.9558
6400 14.0178
6450 14.1239
6500 14.2101
6550 14.2882
6600 14.3737
6650 14.4763
6700 14.5765
6750 14.6186
6800 14.648
6850 14.7089
6900 14.7769
6950 14.7981
7000 14.8799
7050 14.9156
7100 14.9158
7150 14.975
7200 15.0767
7250 15.0849
7300 15.1484
7350 15.2003
7400 15.1674
7450 15.188
7500 15.2155
7550 15.2869
7600 15.3531
7650 15.4502
7700 15.5408
7750 15.6577
7800 15.7618
7850 15.8247
7900 15.9015
7950 15.9569
8000 15.9873
8050 16.0162
8100 16.0424
8150 16.0906
8200 16.1233
8250 16.1159
8300 16.1235
8350 16.0936
8400 16.0449
8450 16.0003
8500 16.0204
8550 16.1069
8600 16.1478
8650 16.2058
8700 16.3039
8750 16.3314
8800 16.3527
8850 16.3471
8900 16.3711
8950 16.4076
9000 16.3635
9050 16.3722
9100 16.411
9150 16.4556
9200 16.5619
9250 16.6747
9300 16.753
9350 16.8694
9400 16.961
9450 17.0224
9500 17.0688
9550 17.0852
9600 17.1566
9650 17.2318
9700 17.3064
9750 17.4463
9800 17.5428
9850 17.6334
9900 17.7618
9950 17.8743
10000 18.0199
10050 18.1225
10100 18.1867
10150 18.1839
10200 18.1891
10250 18.2727
10300 18.368
10350 18.4639
10400 18.544
10450 18.5669
10500 18.6253
10550 18.6977
10600 18.81
10650 18.8638
10700 18.9094
10750 18.999
10800 19.1401
10850 19.2694
10900 19.3677
10950 19.4367
11000 19.483
11050 19.5416
11100 19.5381
11150 19.5602
11200 19.5633
11250 19.5879
11300 19.6558
11350 19.7073
11400 19.7711
11450 19.8914
11500 20.0295
11550 20.094
11600 20.1151
11650 20.1551
11700 20.1502
11750 20.1662
11800 20.1978
11850 20.2706
11900 20.3151
11950 20.4042
12000 20.4677
12050 20.5077
12100 20.5661
12150 20.6249
12200 20.6232
12250 20.6551
12300 20.7356
12350 20.8021
12400 20.8799
12450 20.988
12500 21.0943
12550 21.1493
12600 21.1283
12650 21.0718
12700 21.015
12750 20.9643
12800 20.8642
12850 20.8275
12900 20.8815
12950 20.9392
13000 20.9758
13050 20.9808
13100 20.9468
13150 20.9318
13200 20.938
13250 20.9582
