# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 22.5382
100 22.5416
200 22.5488
300 22.5515
400 22.5571
500 22.5643
600 22.5776
700 22.5898
800 22.5809
900 22.5648
1000 22.5583
1100 22.5467
1200 22.546
1300 22.5446
1400 22.5437
1500 22.5452
1600 22.5475
1700 22.5606
1800 22.5859
1900 22.5992
2000 22.6111
2100 22.6233
2200 22.6406
2300 22.6431
2400 22.6452
2500 22.6454
2600 22.6361
2700 22.6255
2800 22.6363
2900 22.6653
3000 22.6745
3100 22.6737
3200 22.6644
3300 22.6639
3400 22.6693
3500 22.6696
3600 22.6792
3700 22.6906
3800 22.707
3900 22.7143
4000 22.7227
4100 22.743
4200 22.7619
4300 22.762
4400 22.756
4500 22.7485
4600 22.7518
4700 22.7614
4800 22.7627
4900 22.7546
5000 22.7583
5100 22.7734
5200 22.7749
5300 22.7817
5400 22.8067
5500 22.8205
5600 22.8279
5700 22.8459
5800 22.8591
5900 22.8684
6000 22.8699
6100 22.873
6200 22.8642
6300 22.8637
6400 22.8622
6500 22.8674
6600 22.8648
6700 22.8607
6800 22.8675
6900 22.8815
7000 22.8925
7100 22.905
7200 22.8942
7300 22.8966
7400 22.9048
7500 22.904
7600 22.9013
7700 22.8953
7800 22.9011
7900 22.9086
8000 22.9201
8100 22.9378
8200 22.9641
8300 22.9759
8400 22.9747
8500 22.9726
8600 22.9761
8700 22.9816
8800 22.982
8900 22.9788
9000 22.964
9100 22.964
9200 22.9558
9300 22.9544
9400 22.9739
9500 22.9827
9600 22.9938
9700 22.9978
9800 22.9986
9900 22.9993
10000 23.0069
10100 23.0172
10200 23.0285
10300 23.0317
10400 23.0322
10500 23.0221
10600 23.0088
10700 22.9973
10800 22.9947
10900 22.998
11000 23.0129
11100 23.0392
11200 23.0368
11300 23.0223
11400 23.0057
11500 22.9923
11600 22.9928
11700 23.019
11800 23.0355
11900 23.0397
12000 23.0407
12100 23.0382
12200 23.0264
12300 23.0285
12400 23.0378
12500 23.0371
12600 23.0303
12700 23.0403
12800 23.0377
12900 23.0339
13000 23.0385
13100 23.0461
13200 23.0557
13300 23.0699
13400 23.0813
13500 23.087
13600 23.0863
13700 23.0846
13800 23.1037
13900 23.1088
14000 23.118
14100 23.122
14200 23.1212
14300 23.1291
14400 23.1177
14500 23.1055
14600 23.0937
14700 23.1001
14800 23.0996
14900 23.0871
15000 23.0803
15100 23.0825
15200 23.0777
15300 23.064
15400 23.063
15500 23.072
15600 23.0751
15700 23.0713
15800 23.0692
15900 23.0681
16000 23.0671
16100 23.07
16200 23.0803
16300 23.0969
16400 23.1051
16500 23.1236
16600 23.1505
16700 23.1815
16800 23.2121
16900 23.2496
17000 23.2649
17100 23.2633
17200 23.265
17300 23.2553
17400 23.2507
17500 23.2399
17600 23.2251
17700 23.2267
17800 23.2196
17900 23.2057
18000 23.1888
18100 23.1865
18200 23.1961
18300 23.211
18400 23.2324
18500 23.2277
18600 23.2332
18700 23.246
18800 23.2675
18900 23.2781
19000 23.2971
19100 23.315
19200 23.3448
19300 23.3701
19400 23.3905
19500 23.4029
19600 23.4119
19700 23.4074
19800 23.393
19900 23.396
20000 23.411
20100 23.4255
20200 23.4282
20300 23.4365
20400 23.435
20500 23.4393
20600 23.4416
20700 23.4684
20800 23.4733
20900 23.4826
21000 23.484
21100 23.4798
21200 23.4782
21300 23.4576
21400 23.4611
21500 23.459
21600 23.4608
21700 23.4716
21800 23.4708
21900 23.4693
22000 23.4791
22100 23.4778
22200 23.4744
22300 23.4849
22400 23.5137
22500 23.5374
22600 23.5426
22700 23.559
22800 23.5741
