# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 1.00974e-28
50 0.183499
100 0.4938
150 0.801732
200 1.07659
250 1.34215
300 1.60135
350 1.85738
400 2.09879
450 2.35271
500 2.59711
550 2.82628
600 3.03306
650 3.24111
700 3.44043
750 3.6597
800 3.86228
850 4.03776
900 4.21397
950 4.37401
1000 4.55794
1050 4.72274
1100 4.88856
1150 5.04891
1200 5.20056
1250 5.33086
1300 5.48402
1350 5.62352
1400 5.73089
1450 5.83713
1500 5.92457
1550 6.02739
1600 6.14147
1650 6.23793
1700 6.35935
1750 6.46987
1800 6.60733
1850 6.7677
1900 6.9169
1950 7.06244
2000 7.23169
2050 7.34666
2100 7.49813
2150 7.65422
2200 7.84359
2250 8.0004
2300 8.12443
2350 8.239
2400 8.29835
2450 8.36064
2500 8.41432
2550 8.5195
2600 8.64235
2650 8.77059
2700 8.88931
2750 8.97494
2800 9.09856
2850 9.24061
2900 9.3486
2950 9.45963
3000 9.58008
3050 9.66739
3100 9.76223
3150 9.91567
3200 10.0552
3250 10.1827
3300 10.28
3350 10.3681
3400 10.4569
3450 10.5673
3500 10.6673
3550 10.7847
3600 10.8659
3650 10.906
3700 10.9022
3750 10.9328
3800 10.979
3850 11.0307
3900 11.1048
3950 11.1399
4000 11.2578
4050 11.3611
4100 11.4276
4150 11.4879
4200 11.5725
4250 11.6525
4300 11.7397
4350 11.8847
4400 12.0121
4450 12.1207
4500 12.2158
4550 12.3301
4600 12.482
4650 12.6403
4700 12.7797
4750 12.8689
4800 12.9131
4850 12.97
4900 13.109
4950 13.26
5000 13.3988
5050 13.4565
5100 13.5619
5150 13.6865
5200 13.7796
5250 13.8551
5300 13.9035
5350 13.973
5400 14.0518
5450 14.0772
5500 14.1225
5550 14.1735
5600 14.2533
5650 14.3482
5700 14.4412
5750 14.5396
5800 14.6
5850 14.6476
5900 14.7645
5950 14.8636
6000 14.9371
6050 15.0677
6100 15.1729
6150 15.2317
6200 15.2495
6250 15.3038
6300 15.3881
6350 15.4797
6400 15.5919
6450 15.6635
6500 15.7297
6550 15.8314
6600 15.9853
6650 16.0868
6700 16.1472
6750 16.2444
6800 16.3188
6850 16.3379
6900 16.4022
6950 16.4326
7000 16.4666
7050 16.5005
7100 16.5251
7150 16.5733
7200 16.6022
7250 16.639
7300 16.7038
7350 16.7599
7400 16.8464
7450 16.8848
7500 16.927
7550 16.9487
7600 16.936
7650 16.9627
7700 16.9931
7750 17.018
7800 17.0478
7850 17.0568
7900 17.0548
7950 17.0998
8000 17.1667
8050 17.2208
8100 17.2544
8150 17.285
8200 17.3475
8250 17.4543
8300 17.5546
8350 17.6976
8400 17.8699
8450 17.9853
8500 18.0551
8550 18.1309
8600 18.2273
8650 18.3224
8700 18.4137
8750 18.5285
8800 18.6539
8850 18.7547
8900 18.8509
8950 18.9616
9000 19.1011
9050 19.2192
9100 19.2824
9150 19.2681
9200 19.2306
9250 19.274
9300 19.3404
9350 19.4191
9400 19.4859
9450 19.5687
9500 19.6452
9550 19.6636
9600 19.6751
9650 19.677
9700 19.6332
9750 19.5444
9800 19.4877
9850 19.4764
9900 19.4406
9950 19.347
10000 19.3517
10050 19.4098
10100 19.3781
10150 19.3965
10200 19.3866
10250 19.3727
10300 19.4166
10350 19.508
10400 19.6124
10450 19.7187
10500 19.8462
10550 19.927
10600 20.0175
10650 20.0672
10700 20.0855
10750 20.1389
10800 20.1859
10850 20.1342
10900 20.0799
10950 20.0467
11000 19.9968
11050 19.9738
11100 20.0027
11150 20.0778
11200 20.2818
11250 20.4557
11300 20.5888
11350 20.6861
11400 20.792
11450 20.9066
11500 20.9966
11550 21.0541
11600 21.0537
11650 21.1077
11700 21.1433
11750 21.078
11800 21.0568
11850 21.0202
11900 21.0335
11950 21.0615
12000 21.1573
12050 21.2411
12100 21.3173
12150 21.3886
12200 21.4955
12250 21.5595
12300 21.5614
12350 21.5804
12400 21.5658
12450 21.6149
12500 21.6819
12550 21.774
12600 21.8389
12650 21.9114
12700 22.0027
12750 22.0589
12800 22.0709
12850 22.1149
12900 22.1968
12950 22.2872
13000 22.3328
13050 22.3854
13100 22.4256
13150 22.4515
13200 22.468
13250 22.5061
13300 22.4825
13350 22.5411
13400 22.5646
13450 22.6465
13500 22.7311
13550 22.7808
