# Time-averaged data for fix rg_avg_all
# TimeStep c_rg_all
0 21.1852
100 21.2054
200 21.2132
300 21.2123
400 21.1844
500 21.1652
600 21.1651
700 21.1616
800 21.152
900 21.1491
1000 21.1503
1100 21.1389
1200 21.1411
1300 21.148
1400 21.1384
1500 21.136
1600 21.1372
1700 21.1388
1800 21.1425
1900 21.1378
2000 21.1275
2100 21.1398
2200 21.1444
232300 21.78922400 21.7924222500 21.7929222600 21.784322700 21.777222800 21.7657
2900 21.7648
3000 21.7688
3100 21.7727
3200 21.7631333300 21.7602343400 21.7647
3500 21.7739
3600 21.7866
3700 21.8044
3800 21.8092
3900 21.8007
4000 21.797
4100 21.8009
4200 21.7933
4300 21.7831
4400 21.7822
4500 21.7921
4600 21.8177
4700 21.8177
4800 21.8244
4900 21.8356
5000 21.847
5100 21.8532
5200 21.8714
5300 21.8713
5400 21.8609
5500 21.8479
5600 21.836
5700 21.8441
5800 21.8512
5900 21.8694
6000 21.8794
6100 21.8997
6200 21.9239
6300 21.9252
6400 21.9335
6500 21.9242
6600 21.9296
6700 21.9333
6800 21.9385
6900 21.9385
7000 21.9297
7100 21.9336
7200 21.9544
7300 21.9711
7400 21.9721
7500 21.9687
7600 21.9601
7700 21.9661
7800 21.9582
7900 21.9537
8000 21.9412
8100 21.939
8200 21.9416
8300 21.9541
8400 21.9635
8500 21.9701
8600 21.9721
8700 21.972
8800 21.9679
8900 21.9738
9000 21.9661
9100 21.9519
9200 21.9408
9300 21.9216
9400 21.9162
9500 21.9079
9600 21.9018
9700 21.9119
9800 21.9052
9900 21.9025
10000 21.9166
10100 21.9171
10200 21.9134
10300 21.9078
10400 21.8996
10500 21.8845
10600 21.8895
10700 21.8913
10800 21.907
10900 21.9176
11000 21.9227
11100 21.9267
11200 21.937
11300 21.9531
11400 21.9687
11500 21.9824
11600 21.9975
11700 22.0092
11800 22.0189
11900 22.0351
12000 22.0515
12100 22.0431
12200 22.0438
12300 22.044
12400 22.0363
12500 21.9943
12600 21.9791
12700 21.9748
12800 21.9555
12900 21.9491
13000 21.954
13100 21.9618
13200 21.9833
13300 21.9912
13400 21.9865
13500 21.9896
13600 21.9895
13700 22.0031
13800 21.9834
13900 21.9886
14000 21.9957
14100 22.0056
14200 22.0013
14300 21.9991
14400 21.9965
14500 21.9952
14600 22.0027
14700 22.0098
14800 22.0148
14900 21.9982
15000 21.9627
15100 21.9554
15200 21.9344
15300 21.9297
15400 21.9302
15500 21.9379
15600 21.9445
15700 21.9532
15800 21.9438
15900 21.9327
16000 21.9296
16100 21.9495
16200 21.9646
16300 21.9672
16400 21.9944
16500 21.9999
16600 22.017
16700 22.0254
16800 22.0432
16900 2217000 217000 2217100 217100 2217200 217200 2217300 217300 217400 217400 2217500 217500 2217600 20.8111
17700 20.8187
17800 20.8218
17900 20.8108
18000 20.8094
18100 20.804
18200 20.8134
18300 20.8168
18400 20.7976
18500 20.7739
18600 20.7458
18700 20.7276
18800 2018800 218900 2018900 22.1345
19000 22.1404
19100 22.1397
19200 22.1461
19300 22.1333
19400 22.1055
19500 22.0921
19600 22.0761
19700 22.0621
19800 22.19900 19900 22.20000 21.6027
20100 21.6091
20200 20200 22.0223
20300 22.0325
20400 22.0336
20500 22.0466
20600 22.0661
20700 22.0787
20800 22.0905
20900 22.1084
21000 22.1107
21100 22.117
21200 22.121
21300 22.1154
21400 22.116
21500 22.1146
21600 22.11
21700 22.1003
21800 22.1006
21900 22.1138
22000 22.1184
22100 22.1133
22200 22.1093
22300 22.1083
22400 22.1068
22500 22.0966
22600 22.0937
22700 22.0828
22800 22.085
22900 22.0909
23000 22.1028
23100 22.1101
23200 22.1207
23300 22.1266
23400 22.1337
23500 22.134
23600 22.1352
23700 22.135
23800 22.1359
23900 22.1308
24000 22.1365
24100 22.1494
24200 22.1525
24300 22.1556
24400 22.152
24500 22.1448
24600 22.1472
24700 22.1315
24800 22.1044
24900 22.106
25000 22.1071
25100 22.1296
25200 22.1535
25300 22.1533
25400 22.1503
25500 22.1634
25600 22.1641
25700 22.1669
25800 22.1718
25900 22.1775
26000 22.1899
26100 22.2065
26200 22.2072
26300 22.1927
26400 22.1899
26500 22.1934
26600 22.2026
26700 22.2071
26800 22.2201
26900 22.2284
27000 22.2424
27100 22.2548
27200 22.2518
27300 22.2567
27400 22.2731
27500 22.2859
27600 22.2935
27700 22.2928
27800 22.2979
27900 22.2914
28000 22.2912
28100 22.2918
28200 22.2792
28300 22.2737
28400 22.2754
28500 22.2866
28600 22.2737
28700 22.2673
28800 22.2592
28900 22.2647
29000 22.2634
29100 22.2634
29200 22.2513
29300 22.2418
29400 22.245
29500 22.2546
29600 22.2575
29700 22.2644
29800 22.2616
29900 22.2478
30000 22.267
30100 22.2993
30200 22.3206
30300 22.3405
30400 22.3382
30500 22.3353
30600 22.3508
30700 22.3718
30800 22.3845
30900 22.377
31000 22.3664
31100 22.3723
31200 22.372
31300 22.3702
31400 22.3696
31500 22.3626
31600 22.3566
31700 22.3545
31800 22.3591
31900 22.3628
32000 22.3702
32100 22.3676
32200 22.37
32300 22.3832
32400 22.3897
32500 22.3868
32600 22.3823
32700 22.3697
32800 22.3673
32900 22.3713
33000 22.3647
33100 22.35
33200 22.35
33300 22.3407
33400 22.3282
33500 22.3372
33600 22.3495
33700 22.3401
33800 22.3313
33900 22.3362
34000 22.3333
34100 22.3436
34200 22.3536
34300 22.3775
34400 22.3819
34500 22.3827
34600 22.3882
34700 22.3993
34800 22.412
34900 22.419
35000 22.4195
35100 22.4236
35200 22.4273
35300 22.4218
35400 22.4254
35500 22.436
35600 22.4397
35700 22.4385
35800 22.4453
35900 22.456
36000 22.4782
36100 22.4866
36200 22.4943
36300 22.5056
36400 22.4998
36500 22.4941
36600 22.4785
36700 22.4793
36800 22.4639
36900 22.4626
37000 22.4657
37100 22.4684
37200 22.4753
37300 22.4914
37400 22.5101
37500 22.517
37600 22.522
37700 22.5337
37800 22.5329
37900 22.5346
38000 22.5319
38100 22.5349
38200 22.5513
38300 22.5543
38400 22.5574
38500 22.5515
38600 22.5343
38700 22.5132
38800 22.509
38900 22.4958
39000 22.4868
39100 22.483
39200 22.4866
39300 22.4965
39400 22.5011
39500 22.4991
39600 22.4887
39700 22.4879
39800 22.5016
39900 22.5124
40000 22.5262
40100 22.5232
40200 22.5289
40300 22.5351
40400 22.5427
40500 22.5464
40600 22.5469
40700 22.5276
40800 22.5177
40900 22.5037
41000 22.4897
41100 22.496
41200 22.5071
41300 22.513
41400 22.5295
41500 22.5346
41600 22.5389
41700 22.5425
41800 22.5355
41900 22.5371
42000 22.5459
42100 22.5576
42200 22.5627
42300 22.5753
42400 22.5964
42500 22.6
42600 22.6052
42700 22.6045
42800 22.5995
42900 22.6036
43000 22.6118
43100 22.609
43200 22.6074
43300 22.5866
43400 22.5592
43500 22.5455
43600 22.5435
43700 22.5327
43800 22.5271
43900 22.518
44000 22.5096
44100 22.4976
44200 22.4965
44300 22.4972
44400 22.5013
44500 22.5177
44600 22.5105
44700 22.516
44800 22.5121
44900 22.5307
45000 22.553
45100 22.5681
45200 22.5812
45300 22.5741
45400 22.5677
45500 22.5621
45600 22.5388
45700 22.526
45800 22.4983
45900 22.4823
46000 22.4703
46100 22.459
46200 22.453
46300 22.4633
46400 22.4665
46500 22.4695
46600 22.4752
46700 22.4629
46800 22.4484
46900 22.4319
47000 22.4182
47100 22.4208
47200 22.4163
47300 22.4279
47400 22.4432
47500 22.454
47600 22.475
47700 22.4895
47800 22.4855
47900 22.479
48000 22.4697
48100 22.4659
48200 22.4684
48300 22.4727
48400 22.4637
48500 22.4567
48600 22.4537
48700 22.4362
48800 22.4359
48900 22.4347
49000 22.4284
49100 22.4389
49200 22.4539
49300 22.4662
49400 22.4642
49500 22.4767
49600 22.4808
49700 22.4926
49800 22.508
49900 22.5103
50000 22.5095
50100 22.5108
50200 22.5049
50300 22.4925
50400 22.4914
50500 22.493
50600 22.4946
50700 22.5017
50800 22.5069
50900 22.5246
51000 22.5414
51100 22.534
51200 22.5327
51300 22.532
51400 22.5353
51500 22.5308
51600 22.5249
51700 22.5243
51800 22.514
51900 22.4958
52000 22.4863
52100 22.493
52200 22.4767
52300 22.4696
52400 22.4801
52500 22.4874
52600 22.4934
52700 22.51
52800 22.5174
52900 22.523
53000 22.5311
53100 22.5332
53200 22.5506
53300 22.5695
53400 22.5768
53500 22.5745
53600 22.5802
53700 22.5752
53800 22.5716
53900 22.5595
54000 22.5561
54100 22.5532
54200 22.5562
54300 22.5729
54400 22.5918
54500 22.5967
54600 22.5987
54700 22.5987
54800 22.5909
54900 22.5942
55000 22.6072
55100 22.6114
55200 22.6068
55300 22.5926
55400 22.589
55500 22.5916
55600 22.6007
55700 22.6136
55800 22.6191
55900 22.6316
56000 22.6422
56100 22.6499
56200 22.6597
56300 22.6768
56400 22.6908
56500 22.7031
56600 22.7168
56700 22.7329
56800 22.7401
56900 22.744
57000 22.7524
57100 22.7573
57200 22.7673
57300 22.7878
57400 22.7868
57500 22.7898
57600 22.7876
57700 22.7726
57800 22.7504
57900 22.7452
58000 22.7578
58100 22.7461
58200 22.7506
58300 22.7531
58400 22.7644
58500 22.7888
58600 22.8177
58700 22.8475
58800 22.8776
58900 22.8867
59000 22.8949
59100 22.8985
59200 22.9032
59300 22.9224
59400 22.9495
59500 22.9576
59600 22.9688
59700 22.9944
59800 23.0081
59900 23.0161
60000 23.0268
60100 23.0339
60200 23.0378
60300 23.0313
60400 23.0287
60500 23.0318
60600 23.0396
60700 23.0395
60800 23.0452
60900 23.0423
61000 23.0411
61100 23.0365
61200 23.028
61300 23.0279
61400 23.0191
61500 23.0191
61600 23.0148
