# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 5.44612e-29
100 0.532
200 1.1559
300 1.68567
400 2.22738
500 2.70511
600 3.14214
700 3.51769
800 3.87915
900 4.25672
1000 4.62451
1100 4.96235
1200 5.21273
1300 5.56491
1400 5.9859
1500 6.39788
1600 6.68935
1700 6.93604
1800 7.17679
1900 7.44515
2000 7.70815
2100 7.94934
2200 8.23485
2300 8.48788
2400 8.73053
2500 8.99968
2600 9.13596
2700 9.28326
2800 9.42847
2900 9.57611
3000 9.85354
3100 10.1243
3200 10.3994
3300 10.7111
3400 10.988
3500 11.2845
3600 11.5317
3700 11.8295
3800 12.1096
3900 12.3492
4000 12.5065
4100 12.6661
4200 12.9109
4300 13.0798
4400 13.2177
4500 13.3109
4600 13.4605
4700 13.5394
4800 13.5922
4900 13.7466
5000 13.8612
5100 13.9525
5200 14.1023
5300 14.3981
5400 14.6614
5500 14.8643
5600 15.065
5700 15.2847
5800 15.5419
5900 15.8449
6000 16.1635
6100 16.4689
6200 16.735
6300 16.8793
6400 17.0546
6500 17.1704
6600 17.3016
6700 17.363
6800 17.4629
6900 17.5326
7000 17.6687
7100 17.7752
7200 17.9377
7300 18.0949
7400 18.2485
7500 18.5484
7600 18.7736
7700 19.1174
7800 19.4591
7900 19.6889
8000 19.9315
8100 20.0584
8200 20.1737
8300 20.2876
8400 20.5088
8500 20.6001
8600 20.5038
8700 20.3628
8800 20.3526
8900 20.4502
9000 20.5789
9100 20.6954
9200 20.8122
9300 20.8661
9400 21.0969
9500 21.3339
9600 21.5816
9700 21.6271
9800 21.7938
9900 21.8126
10000 21.9193
10100 22.1924
10200 22.275
10300 22.2784
10400 22.233
10500 22.3141
10600 22.4404
10700 22.6043
10800 22.8168
10900 22.8945
11000 23.1582
11100 23.3753
11200 23.5003
11300 23.6061
11400 23.5281
11500 23.7448
11600 23.8561
11700 23.9253
11800 23.9661
11900 23.8615
12000 23.8047
12100 23.8612
12200 23.9788
12300 24.002
12400 24.1392
12500 24.178
12600 24.2396
12700 24.4687
12800 24.7062
12900 24.9837
13000 25.287
13100 25.3822
13200 25.6552
13300 25.9931
13400 26.161
13500 26.2553
13600 26.2413
13700 26.3157
13800 26.4511
13900 26.6578
14000 26.8266
14100 26.8911
14200 26.8992
14300 27.001
14400 27.2375
14500 27.3417
14600 27.2905
14700 27.2863
14800 27.3446
14900 27.4687
15000 27.5901
15100 27.8048
15200 28.018
15300 28.2313
15400 28.3235
15500 28.4304
15600 28.4982
15700 28.4558
15800 28.5319
15900 28.6277
16000 28.5505
16100 28.41
16200 28.394
16300 28.5284
16400 28.5828
16500 28.6561
16600 28.8051
16700 28.9908
16800 29.0394
16900 28.8447
17000 28.8738
17100 28.9591
17200 28.9419
17300 28.9647
17400 28.9888
17500 29.2269
17600 29.5077
17700 29.8453
17800 30.0439
17900 30.2318
18000 30.3138
18100 30.3766
18200 30.4361
18300 30.4711
18400 30.7877
18500 31.0919
18600 31.3282
18700 31.5592
18800 31.8035
18900 31.8619
19000 31.896
19100 32.1197
19200 32.3566
19300 32.3942
19400 32.4451
19500 32.4169
19600 32.3706
19700 32.4724
19800 32.6338
19900 32.9266
20000 33.2024
20100 33.4158
20200 33.6116
20300 33.6768
20400 33.6773
20500 33.6116
20600 33.6898
20700 33.8843
20800 33.9871
20900 34.2687
21000 34.4144
21100 34.5826
21200 34.703
21300 34.6955
21400 34.7955
21500 34.709
21600 34.6913
21700 34.7392
21800 35.0817
21900 35.3787
22000 35.4965
22100 35.7676
22200 35.9758
22300 36.2125
22400 36.2685
22500 36.241
22600 36.411
22700 36.6265
22800 36.8282
22900 36.7744
23000 36.7412
23100 36.7519
23200 36.9084
23300 36.985
23400 37.1093
23500 37.2871
23600 37.3461
23700 37.2119
23800 37.2547
23900 37.207
24000 37.1232
24100 37.1691
24200 37.3962
24300 37.5393
24400 37.6745
24500 38.0138
24600 38.4056
24700 38.7704
24800 39.0782
24900 39.2805
25000 39.3029
25100 39.2665
25200 39.3819
25300 39.4436
25400 39.7351
25500 40.0257
25600 40.2461
25700 40.5118
25800 40.6257
25900 40.6402
26000 40.6354
26100 40.7274
26200 40.9092
26300 41.1625
26400 41.3479
26500 41.4644
26600 41.4813
26700 41.4518
26800 41.5962
26900 41.7219
27000 41.8702
27100 41.9069
27200 42.005
27300 42.0579
27400 41.9288
27500 41.7871
27600 41.646
27700 41.6727
27800 41.8241
27900 41.9759
28000 42.1375
28100 42.3563
28200 42.5613
28300 42.6857
28400 42.6847
28500 42.543
28600 42.4376
28700 42.2626
28800 42.1437
28900 42.2688
29000 42.3227
29100 42.2983
29200 42.6494
29300 43.0358
29400 43.1908
29500 43.3255
29600 43.4389
29700 43.589
29800 43.7673
29900 43.934
30000 44.1025
30100 44.2267
30200 44.265
30300 44.3861
30400 44.5995
30500 44.8692
30600 45.1974
30700 45.2663
30800 45.4599
30900 45.6971
31000 45.6709
31100 45.7999
31200 46.0632
31300 46.1532
31400 46.2676
31500 46.3119
31600 46.4294
31700 46.6557
31800 46.8593
31900 47.0743
32000 47.2128
32100 47.543
32200 47.7415
32300 47.6853
32400 47.6139
32500 47.668
32600 47.7307
32700 47.8668
32800 47.9574
32900 48.0015
33000 47.9826
33100 48.0708
33200 48.2657
33300 48.4465
33400 48.6866
33500 49.0705
33600 49.5317
33700 49.9417
33800 50.1275
33900 50.2754
34000 50.3752
34100 50.595
34200 50.8399
34300 51.3162
34400 51.7935
34500 51.9303
34600 51.8842
34700 51.8295
34800 52.0298
34900 52.1062
35000 52.3329
35100 52.6312
35200 52.926
35300 53.0804
35400 53.2558
35500 53.3566
35600 53.4314
35700 53.5836
35800 53.8053
35900 54.2714
36000 54.5793
36100 54.7952
36200 55.3348
36300 55.6777
36400 56.0185
36500 56.1818
36600 56.5168
36700 56.772
36800 56.9628
36900 57.1015
37000 57.1438
37100 57.0547
37200 57.1005
37300 57.2184
37400 57.236
37500 57.3365
37600 57.4554
37700 57.5529
37800 57.8287
37900 58.1772
38000 58.3597
38100 58.3284
38200 58.1838
38300 58.0426
38400 58.0586
38500 58.0673
38600 58.0604
38700 58.0063
38800 57.9569
38900 58.1313
39000 58.365
39100 58.6104
39200 58.4718
39300 58.5172
39400 58.5567
39500 58.7193
39600 58.9661
39700 59.1772
39800 59.4167
39900 59.386
40000 59.4428
40100 59.456
40200 59.6372
40300 59.9563
40400 60.3032
40500 60.5953
40600 60.6585
40700 60.9653
40800 61.0657
40900 60.9869
41000 60.9114
41100 61.0675
41200 61.3448
41300 61.3619
41400 61.4333
41500 61.543
41600 61.6595
41700 61.5875
41800 61.5368
41900 61.5163
42000 61.4756
42100 61.5922
42200 61.6514
42300 61.8887
42400 62.1914
42500 62.1416
42600 61.8398
42700 61.4994
42800 61.4296
42900 61.9458
43000 62.3072
43100 62.4449
43200 62.4919
43300 62.5944
43400 62.6652
43500 62.854
43600 62.9516
43700 62.8965
43800 62.737
43900 62.728
44000 62.8878
44100 62.6581
44200 62.3809
44300 62.3596
44400 62.2606
44500 62.1982
44600 62.2091
44700 62.3531
44800 62.5346
44900 62.564
45000 62.2218
45100 61.8828
45200 61.7954
45300 61.7253
45400 61.5795
45500 61.3923
45600 61.3367
45700 61.1048
45800 61.109
45900 61.1142
46000 61.2145
46100 61.3708
46200 61.3316
46300 61.5801
46400 61.7487
46500 61.7301
46600 61.7681
46700 62.1063
46800 62.4846
46900 62.3599
47000 62.4282
47100 62.5425
47200 62.7855
47300 62.9076
47400 63.1429
47500 63.34
