# Time-averaged data for fix msd_avg_all
# TimeStep c_msd_all[4]
0 9.66896e-29
100 0.225364
200 0.452957
300 0.630297
400 0.773201
500 0.907714
600 1.02481
700 1.16456
800 1.28649
900 1.40595
1000 1.52344
1100 1.63862
1200 1.76325
1300 1.90067
1400 1.99588
1500 2.0791
1600 2.18958
1700 2.31497
1800 2.42336
1900 2.54013
2000 2.58298
2100 2.70055
2200 2.80232
2300 2.92412
2400 3.03756
2500 3.16053
2600 3.27138
2700 3.35638
2800 3.48859
2900 3.5711
3000 3.61517
3100 3.64288
3200 3.67852
3300 3.7364
3400 3.83353
3500 3.9536
3600 4.00777
3700 4.08335
3800 4.14551
3900 4.22411
4000 4.29899
4100 4.35894
4200 4.42487
4300 4.53654
4400 4.62081
4500 4.68792
4600 4.81044
4700 4.96666
4800 5.06596
4900 5.18107
5000 5.30189
5100 5.42002
5200 5.55039
5300 5.6888
5400 5.81067
5500 5.85701
5600 5.92261
5700 6.0007
5800 6.08055
5900 6.13946
6000 6.27285
6100 6.43505
6200 6.60381
6300 6.69241
6400 6.80206
6500 6.92891
6600 7.0146
6700 7.15457
6800 7.23227
6900 7.37492
7000 7.45672
7100 7.47209
7200 7.51771
7300 7.5382
7400 7.51178
7500 7.58183
7600 7.63962
7700 7.70906
7800 7.81815
7900 7.9004
8000 8.00848
8100 8.08147
8200 8.17918
8300 8.25158
8400 8.36272
8500 8.5246
8600 8.61724
8700 8.75939
8800 8.85778
8900 8.88763
9000 8.93839
9100 9.00666
9200 9.11866
9300 9.16224
9400 9.1695
9500 9.12169
9600 9.21364
9700 9.31086
9800 9.37367
9900 9.40257
10000 9.45498
10100 9.48351
10200 9.52323
10300 9.60425
10400 9.72878
10500 9.8411
10600 9.88598
10700 9.97615
10800 9.95362
10900 9.96943
11000 10.0098
11100 10.0601
11200 10.1672
11300 10.2702
11400 10.2656
11500 10.3118
11600 10.3698
11700 10.4532
11800 10.572
11900 10.6553
12000 10.6986
12100 10.7792
12200 10.7846
12300 10.7932
12400 10.9065
12500 10.9595
12600 11.0275
12700 11.0641
12800 11.0632
12900 11.0618
13000 11.0813
13100 11.0795
13200 11.1013
13300 11.1602
13400 11.2778
13500 11.4072
13600 11.4024
13700 11.418
13800 11.4683
13900 11.5122
14000 11.6019
14100 11.7456
14200 11.8482
14300 11.9408
14400 11.9657
14500 11.9703
14600 12.0664
14700 12.1634
14800 12.1295
14900 12.0583
15000 12.0522
15100 12.0767
15200 12.0889
15300 12.1023
15400 12.2132
15500 12.3508
15600 12.5049
15700 12.5182
15800 12.4527
15900 12.3552
16000 12.2739
16100 12.2848
16200 12.2601
16300 12.3009
16400 12.304
16500 12.1709
16600 12.0995
16700 12.0191
16800 11.9364
16900 11.9127
17000 11.9629
17100 11.9279
17200 11.8733
17300 11.9128
17400 11.9987
17500 12.0202
17600 12.0009
17700 11.9856
17800 11.9677
17900 11.9545
18000 11.9471
18100 11.9134
18200 11.9214
18300 11.8653
18400 11.8262
18500 11.9339
18600 11.9851
18700 12.0375
18800 12.0668
18900 12.0296
19000 12.0046
19100 12.0527
19200 12.1109
19300 12.1607
19400 12.1484
19500 12.1871
19600 12.2485
19700 12.3606
19800 12.4731
19900 12.5791
20000 12.7196
20100 12.7886
20200 12.8056
20300 12.8718
20400 12.9103
20500 12.8674
20600 12.8898
20700 12.8557
20800 12.8407
20900 12.8356
21000 12.8855
21100 12.853
21200 12.8929
21300 12.9219
21400 12.9152
21500 12.9426
21600 12.9705
21700 13.0447
21800 13.0841
21900 13.1156
22000 13.1318
22100 13.0704
22200 13.0569
22300 13.0119
22400 13.0183
22500 13.1132
22600 13.1876
22700 13.229
22800 13.2524
22900 13.2723
23000 13.3297
23100 13.3134
23200 13.3777
23300 13.4538
23400 13.5659
23500 13.6195
23600 13.6209
23700 13.6656
23800 13.7436
23900 13.7958
24000 13.8179
24100 13.8997
24200 13.9298
24300 13.9055
24400 13.9292
24500 13.889
24600 13.9894
24700 14.07
24800 14.0803
24900 14.0706
25000 14.0049
25100 13.9769
25200 14.0895
25300 14.182
25400 14.2377
25500 14.2598
25600 14.2824
25700 14.4787
25800 14.682
25900 14.8666
26000 15.0073
26100 15.0531
26200 15.0652
26300 15.1103
26400 15.085
26500 15.1029
26600 15.1796
26700 15.2927
26800 15.3302
26900 15.3509
27000 15.449
27100 15.6111
27200 15.7245
27300 15.8055
27400 15.9376
27500 16.0466
27600 16.1566
27700 16.2074
27800 16.3001
27900 16.4162
28000 16.5554
28100 16.6201
28200 16.6994
28300 16.736
28400 16.67
28500 16.5696
28600 16.598
28700 16.5651
28800 16.5292
28900 16.4574
29000 16.4778
29100 16.5458
29200 16.6189
29300 16.596
29400 16.7173
29500 16.8277
29600 17.0153
29700 17.048
29800 17.1258
29900 17.3422
30000 17.4793
30100 17.5145
30200 17.5824
30300 17.8156
30400 18.0779
30500 18.2409
30600 18.3999
30700 18.574
30800 18.6309
30900 18.7405
31000 18.8475
31100 19.0117
31200 19.0913
31300 19.1352
31400 19.1924
31500 19.3417
31600 19.4783
31700 19.6158
31800 19.6919
31900 19.7332
32000 19.81
32100 19.9735
32200 20.0988
32300 20.2402
32400 20.4691
32500 20.6429
32600 20.7732
32700 20.9203
32800 21.1124
32900 21.2649
33000 21.3497
33100 21.5578
33200 21.7427
33300 21.9151
33400 22.0842
33500 22.2381
33600 22.4162
33700 22.5554
33800 22.5731
33900 22.6365
34000 22.7412
34100 22.791
34200 22.7315
34300 22.6662
34400 22.6315
34500 22.5486
34600 22.4956
34700 22.5981
34800 22.7425
34900 22.8108
35000 22.9993
35100 23.1114
35200 23.251
35300 23.5234
35400 23.6859
35500 23.8455
35600 24.0348
35700 24.2495
35800 24.4379
35900 24.6305
36000 24.7856
36100 24.8783
36200 24.9103
36300 24.924
36400 24.8976
36500 24.8612
36600 24.9704
36700 25.1531
36800 25.279
36900 25.2376
37000 25.2616
37100 25.4826
37200 25.6512
37300 25.6092
37400 25.6059
37500 25.6577
37600 25.6491
37700 25.653
37800 25.6834
37900 25.6858
38000 25.8472
38100 25.9231
38200 25.9252
38300 26.0232
38400 26.2048
38500 26.3233
38600 26.3711
38700 26.4388
38800 26.5116
38900 26.5078
39000 26.4684
39100 26.4298
39200 26.5063
39300 26.6819
39400 26.8545
39500 26.9139
39600 26.8945
39700 26.927
39800 27.0714
39900 27.2314
40000 27.4
40100 27.5365
40200 27.7426
40300 27.8439
40400 27.951
40500 27.961
40600 28.0232
40700 28.1359
40800 28.206
40900 28.1065
41000 28.0152
41100 27.895
41200 27.9474
41300 27.8632
41400 27.7781
41500 27.6503
41600 27.6927
41700 27.824
41800 27.998
41900 28.1572
42000 28.3342
42100 28.4458
42200 28.6103
42300 28.666
42400 28.6702
42500 28.6747
42600 28.7528
42700 28.7421
42800 28.7645
42900 28.8573
43000 28.9957
43100 29.1248
43200 29.3461
43300 29.4619
43400 29.5025
43500 29.5422
43600 29.5346
43700 29.6252
43800 29.7604
43900 29.8795
44000 30.037
44100 30.0244
44200 29.9661
44300 30.0953
44400 30.1332
44500 30.3114
44600 30.5419
44700 30.6735
44800 30.6531
44900 30.9379
45000 31.1433
45100 31.2831
45200 31.3951
45300 31.6205
45400 31.921
45500 32.1007
45600 32.2237
45700 32.3883
45800 32.5215
45900 32.6552
46000 32.7747
46100 32.9106
46200 33.0378
46300 33.1808
46400 33.3237
46500 33.4503
46600 33.5208
46700 33.6682
46800 33.7241
46900 33.6923
47000 33.6298
47100 33.7667
47200 33.8659
47300 33.9175
47400 34.0194
47500 34.1507
47600 34.1693
47700 34.2824
47800 34.4177
47900 34.5051
48000 34.4877
48100 34.42
48200 34.3352
48300 34.2766
48400 34.1871
48500 34.0698
48600 33.9697
48700 33.8489
48800 33.7697
48900 33.8379
49000 33.7773
49100 33.5251
49200 33.5249
49300 33.6627
49400 33.6196
49500 33.6901
49600 33.8144
49700 33.8223
49800 33.9076
49900 34.0699
50000 34.1364
50100 34.2407
50200 34.2843
50300 34.2926
50400 34.3253
50500 34.3172
50600 34.3198
50700 34.1943
50800 34.1325
50900 34.1835
51000 34.2626
51100 34.4253
51200 34.4762
51300 34.503
51400 34.5112
51500 34.5578
51600 34.6672
51700 34.7699
51800 34.8833
51900 34.9788
52000 35.0429
52100 35.0979
52200 35.1831
52300 35.1823
52400 35.1446
52500 35.3061
52600 35.471
52700 35.4841
52800 35.4814
52900 35.5004
53000 35.5833
53100 35.5408
53200 35.5829
53300 35.7294
53400 35.7317
53500 35.7404
53600 35.7945
53700 35.9347
53800 36.115
53900 36.2049
54000 36.2782
54100 36.3597
54200 36.5073
54300 36.5509
54400 36.5662
54500 36.4834
54600 36.3666
54700 36.2614
54800 36.1994
54900 36.1778
55000 36.1045
55100 35.9836
55200 35.9809
55300 36.1798
55400 36.2077
55500 36.1109
55600 36.1213
55700 36.039
55800 35.9441
55900 35.8866
56000 35.698
56100 35.6653
56200 35.5028
56300 35.4455
56400 35.581
56500 35.7203
56600 35.7494
56700 35.8497
56800 35.8335
56900 35.8409
57000 35.996
57100 36.1058
57200 36.1103
57300 36.1453
57400 36.0495
57500 35.9107
57600 36.0057
57700 36.08
57800 36.0283
57900 35.9221
58000 35.9954
58100 35.9962
58200 36.0018
58300 35.8681
58400 35.9332
58500 35.9975
58600 36.033
58700 36.1637
58800 36.2276
58900 36.1632
59000 36.0776
59100 36.2137
59200 36.3131
59300 36.3978
59400 36.3261
59500 36.2375
59600 36.2308
59700 36.2393
59800 36.3256
59900 36.501
60000 36.6368
60100 36.759
60200 36.7953
60300 36.775
60400 36.9001
60500 36.981
60600 37.0349
60700 37.0364
60800 37.0826
60900 37.1484
61000 37.238
61100 37.2967
61200 37.3559
61300 37.4387
61400 37.4607
61500 37.4432
61600 37.4743
61700 37.5191
61800 37.5342
61900 37.5342
62000 37.5084
62100 37.4579
62200 37.6108
62300 37.7164
62400 37.727
62500 37.673
62600 37.7204
62700 37.7588
62800 37.5837
62900 37.5066
63000 37.5023
63100 37.5037
63200 37.4505
63300 37.4836
63400 37.6886
63500 37.76
63600 37.7906
63700 37.9275
63800 37.9902
63900 37.9023
64000 37.7484
64100 37.5007
64200 37.4629
64300 37.5612
64400 37.7123
64500 37.8068
64600 37.8571
64700 37.8405
64800 37.7886
64900 37.868
65000 37.8426
65100 37.873
65200 37.9047
65300 37.9727
65400 38.0654
65500 37.9065
65600 37.7754
65700 37.6485
65800 37.4985
65900 37.4414
66000 37.4759
66100 37.369
66200 37.3387
66300 37.4718
66400 37.5157
66500 37.5637
66600 37.5883
66700 37.6888
66800 37.7792
66900 37.8485
67000 37.7784
67100 38.037
67200 38.159
